leg,roll,splice_ret_pct,factor_gap_pct,artifact_flag
M2K,2019-06-13,-0.06,0.256,1
M2K,2019-09-12,0.012,0.108,0
M2K,2019-12-12,0.076,0.147,0
M2K,2020-03-12,0.172,-0.345,0
M2K,2020-06-11,-0.171,-0.213,0
M2K,2020-09-10,-0.047,-0.234,0
M2K,2020-12-10,0.005,-0.104,0
M2K,2021-03-11,0.013,-0.125,0
M2K,2021-06-10,-0.018,-0.133,0
M2K,2021-09-09,-0.06,-0.209,0
M2K,2021-12-09,-0.05,-0.088,0
M2K,2022-03-10,-0.227,-0.153,0
M2K,2022-06-09,0.053,0.016,0
M2K,2022-09-08,-0.036,0.353,0
M2K,2022-12-08,-0.071,0.786,0
M2K,2023-03-09,0.011,0.93,0
M2K,2023-06-08,-0.032,0.966,0
M2K,2023-09-07,-0.003,1.018,0
M2K,2023-12-07,0.064,1.057,0
M2K,2024-03-07,0.0,1.154,0
M2K,2024-06-13,0.042,1.121,0
M2K,2024-09-12,0.041,0.965,0
M2K,2024-12-12,0.072,1.093,0
M2K,2025-03-13,0.006,0.82,0
M2K,2025-06-12,-0.028,0.808,0
M2K,2025-09-11,-0.023,0.742,0
M2K,2025-12-11,0.012,0.787,0
M2K,2026-03-12,-0.141,0.655,0
MES,2019-06-13,0.017,0.139,0
MES,2019-09-12,0.024,0.058,0
MES,2019-12-12,0.023,0.087,0
MES,2020-03-12,-0.004,-0.427,0
MES,2020-06-11,-0.025,-0.338,0
MES,2020-09-10,-0.043,-0.301,0
MES,2020-12-10,-0.029,-0.224,0
MES,2021-03-11,0.002,-0.249,0
MES,2021-06-10,0.006,-0.225,0
MES,2021-09-09,-0.01,-0.205,0
MES,2021-12-09,-0.054,-0.144,0
MES,2022-03-10,-0.226,-0.199,0
MES,2022-06-09,0.055,0.049,0
MES,2022-09-08,-0.008,0.416,0
MES,2022-12-08,-0.026,0.788,0
MES,2023-03-09,0.059,0.94,0
MES,2023-06-08,-0.018,1.01,0
MES,2023-09-07,-0.006,1.099,0
MES,2023-12-07,0.012,1.1,0
MES,2024-03-07,0.024,1.213,0
MES,2024-06-13,0.064,1.195,0
MES,2024-09-12,0.023,1.072,0
MES,2024-12-12,0.04,1.107,0
MES,2025-03-13,-0.034,0.92,0
MES,2025-06-12,-0.015,0.884,0
MES,2025-09-11,-0.001,0.834,0
MES,2025-12-11,-0.033,0.847,0
MES,2026-03-12,-0.097,0.75,0
