series,base_step_min,q,vr,ci_lo,ci_hi,p_lt_1
LEGA,1,2,0.9883,0.9666,1.0059,0.16
LEGA,1,5,0.9785,0.9558,1.0023,0.043
LEGA,1,15,0.9415,0.9029,0.9829,0.003
LEGA,1,30,0.8654,0.8039,0.9268,0.0
LEGA,1,60,0.8575,0.7972,0.9224,0.0
LEGA,1,120,0.8312,0.7526,0.9216,0.0
LEGA,15,2,0.9192,0.8416,0.9941,0.007
LEGA,15,5,0.9292,0.8257,1.0312,0.098
LEGA,15,15,0.9125,0.7848,1.065,0.128
LEGA,15,30,,,,
LEGA,15,60,,,,
LEGA,15,120,,,,
LEGB,1,2,1.0116,0.9959,1.0272,0.935
LEGB,1,5,0.9868,0.9651,1.0086,0.087
LEGB,1,15,0.974,0.9349,1.0076,0.065
LEGB,1,30,0.9354,0.8924,0.9849,0.005
LEGB,1,60,0.8942,0.8316,0.9534,0.0
LEGB,1,120,0.866,0.7818,0.9456,0.0
LEGB,15,2,0.9603,0.8983,1.0091,0.083
LEGB,15,5,0.9251,0.8471,1.0008,0.028
LEGB,15,15,1.0125,0.8992,1.13,0.578
LEGB,15,30,,,,
LEGB,15,60,,,,
LEGB,15,120,,,,
RES1,1,2,0.9546,0.9376,0.9704,0.0
RES1,1,5,0.8933,0.8591,0.9228,0.0
RES1,1,15,0.851,0.8254,0.8805,0.0
RES1,1,30,0.8133,0.7406,0.8767,0.0
RES1,1,60,0.7837,0.7139,0.8589,0.0
RES1,1,120,0.7705,0.6797,0.8594,0.0
RES1,5,2,0.9658,0.9339,0.9917,0.0
RES1,5,5,0.8971,0.8154,0.963,0.0
RES1,5,15,0.8653,0.7907,0.9407,0.0
RES1,5,30,0.9417,0.8464,1.04,0.133
RES1,5,60,0.9396,0.8243,1.0469,0.15
RES1,5,120,,,,
RES1,15,2,0.9557,0.8911,1.0081,0.06
RES1,15,5,0.9084,0.8156,0.9815,0.007
RES1,15,15,1.2009,1.0785,1.3295,1.0
RES1,15,30,,,,
RES1,15,60,,,,
RES1,15,120,,,,
RES2,1,2,0.9234,0.905,0.9411,0.0
RES2,1,5,0.8751,0.848,0.9011,0.0
RES2,1,15,0.8135,0.76,0.8723,0.0
RES2,1,30,0.7756,0.6847,0.8492,0.0
RES2,1,60,0.7966,0.7141,0.8861,0.0
RES2,1,120,0.7696,0.682,0.8616,0.0
