leg,roll,splice_ret_pct,factor_gap_pct,artifact_flag
MES,2019-06-13,0.017,0.139,0
MES,2019-09-12,0.024,0.058,0
MES,2019-12-12,0.023,0.087,0
MES,2020-03-12,-0.004,-0.427,0
MES,2020-06-11,-0.025,-0.338,0
MES,2020-09-10,-0.043,-0.301,0
MES,2020-12-10,-0.029,-0.224,0
MES,2021-03-11,0.002,-0.249,0
MES,2021-06-10,0.006,-0.225,0
MES,2021-09-09,-0.01,-0.205,0
MES,2021-12-09,-0.054,-0.144,0
MES,2022-03-10,-0.226,-0.199,0
MES,2022-06-09,0.055,0.049,0
MES,2022-09-08,-0.008,0.416,0
MES,2022-12-08,-0.026,0.788,0
MES,2023-03-09,0.059,0.94,0
MES,2023-06-08,-0.018,1.01,0
MES,2023-09-07,-0.006,1.099,0
MES,2023-12-07,0.012,1.1,0
MES,2024-03-07,0.024,1.213,0
MES,2024-06-13,0.064,1.195,0
MES,2024-09-12,0.023,1.072,0
MES,2024-12-12,0.04,1.107,0
MES,2025-03-13,-0.034,0.92,0
MES,2025-06-12,-0.015,0.884,0
MES,2025-09-11,-0.001,0.834,0
MES,2025-12-11,-0.033,0.847,0
MES,2026-03-12,-0.097,0.75,0
MNQ,2019-06-13,-0.029,0.351,0
MNQ,2019-09-12,0.035,0.272,0
MNQ,2019-12-12,-0.065,0.294,0
MNQ,2020-03-12,-0.045,-0.138,0
MNQ,2020-06-11,-0.01,-0.146,0
MNQ,2020-09-10,-0.017,-0.116,0
MNQ,2020-12-10,-0.089,-0.016,0
MNQ,2021-03-11,-0.067,-0.078,0
MNQ,2021-06-10,0.036,-0.072,0
MNQ,2021-09-09,0.007,-0.058,0
MNQ,2021-12-09,-0.103,0.023,0
MNQ,2022-03-10,-0.21,-0.02,0
MNQ,2022-06-09,0.051,0.24,0
MNQ,2022-09-08,-0.044,0.61,0
MNQ,2022-12-08,-0.008,0.976,0
MNQ,2023-03-09,0.084,1.145,0
MNQ,2023-06-08,0.002,1.205,0
MNQ,2023-09-07,-0.035,1.276,0
MNQ,2023-12-07,-0.006,1.275,0
MNQ,2024-03-07,0.047,1.35,0
MNQ,2024-06-13,0.073,1.328,0
MNQ,2024-09-12,0.006,1.202,0
MNQ,2024-12-12,0.075,1.236,0
MNQ,2025-03-13,-0.082,1.056,0
MNQ,2025-06-12,-0.017,1.029,0
MNQ,2025-09-11,-0.002,0.976,0
MNQ,2025-12-11,-0.046,0.994,0
MNQ,2026-03-12,-0.117,0.869,0
