series,base_step_min,q,vr,ci_lo,ci_hi,p_lt_1
LEGA,1,2,0.9883,0.9666,1.0059,0.16
LEGA,1,5,0.9785,0.9558,1.0023,0.043
LEGA,1,15,0.9415,0.9029,0.9829,0.003
LEGA,1,30,0.8654,0.8039,0.9268,0.0
LEGA,1,60,0.8575,0.7972,0.9224,0.0
LEGA,1,120,0.8312,0.7526,0.9216,0.0
LEGA,15,2,0.9192,0.8416,0.9941,0.007
LEGA,15,5,0.9292,0.8257,1.0312,0.098
LEGA,15,15,0.9125,0.7848,1.065,0.128
LEGA,15,30,,,,
LEGA,15,60,,,,
LEGA,15,120,,,,
LEGB,1,2,1.0168,1.0057,1.025,1.0
LEGB,1,5,1.006,0.991,1.0233,0.752
LEGB,1,15,0.9849,0.9525,1.0171,0.19
LEGB,1,30,0.954,0.9111,0.9997,0.022
LEGB,1,60,0.9505,0.9023,1.0028,0.035
LEGB,1,120,0.9303,0.8606,1.0028,0.033
LEGB,15,2,0.9687,0.9141,1.0149,0.1
LEGB,15,5,0.9774,0.9061,1.0467,0.263
LEGB,15,15,1.0407,0.9415,1.1523,0.805
LEGB,15,30,,,,
LEGB,15,60,,,,
LEGB,15,120,,,,
RES1,1,2,0.9457,0.8973,0.9815,0.0
RES1,1,5,0.9558,0.9248,0.9804,0.0
RES1,1,15,0.944,0.9066,0.9801,0.0
RES1,1,30,0.9281,0.8396,1.0025,0.028
RES1,1,60,0.9177,0.8426,0.9979,0.02
RES1,1,120,0.9221,0.8219,1.0085,0.058
RES1,5,2,0.9645,0.8987,1.0063,0.125
RES1,5,5,0.9413,0.8744,0.9948,0.02
RES1,5,15,0.953,0.876,1.0288,0.115
RES1,5,30,1.088,0.9756,1.1855,0.955
RES1,5,60,1.0955,0.9743,1.2088,0.948
RES1,5,120,,,,
RES1,15,2,0.9832,0.9274,1.0377,0.352
RES1,15,5,0.9649,0.8888,1.0375,0.163
RES1,15,15,1.3089,1.1729,1.4308,1.0
RES1,15,30,,,,
RES1,15,60,,,,
RES1,15,120,,,,
RES2,1,2,0.8987,0.8467,0.946,0.0
RES2,1,5,0.8951,0.8605,0.9257,0.0
RES2,1,15,0.8512,0.7877,0.909,0.0
RES2,1,30,0.8288,0.7184,0.9213,0.0
RES2,1,60,0.838,0.7264,0.9491,0.0
RES2,1,120,0.8523,0.7441,0.9683,0.013
