leg,roll,splice_ret_pct,factor_gap_pct,artifact_flag
MES,2019-06-13,0.017,0.139,0
MES,2019-09-12,0.024,0.058,0
MES,2019-12-12,0.023,0.087,0
MES,2020-03-12,-0.004,-0.427,0
MES,2020-06-11,-0.025,-0.338,0
MES,2020-09-10,-0.043,-0.301,0
MES,2020-12-10,-0.029,-0.224,0
MES,2021-03-11,0.002,-0.249,0
MES,2021-06-10,0.006,-0.225,0
MES,2021-09-09,-0.01,-0.205,0
MES,2021-12-09,-0.054,-0.144,0
MES,2022-03-10,-0.226,-0.199,0
MES,2022-06-09,0.055,0.049,0
MES,2022-09-08,-0.008,0.416,0
MES,2022-12-08,-0.026,0.788,0
MES,2023-03-09,0.059,0.94,0
MES,2023-06-08,-0.018,1.01,0
MES,2023-09-07,-0.006,1.099,0
MES,2023-12-07,0.012,1.1,0
MES,2024-03-07,0.024,1.213,0
MES,2024-06-13,0.064,1.195,0
MES,2024-09-12,0.023,1.072,0
MES,2024-12-12,0.04,1.107,0
MES,2025-03-13,-0.034,0.92,0
MES,2025-06-12,-0.015,0.884,0
MES,2025-09-11,-0.001,0.834,0
MES,2025-12-11,-0.033,0.847,0
MES,2026-03-12,-0.097,0.75,0
MYM,2019-06-13,-0.015,0.011,0
MYM,2019-09-12,0.022,-0.063,0
MYM,2019-12-12,-0.082,-0.011,1
MYM,2020-03-12,0.145,-0.563,0
MYM,2020-06-11,-0.016,-0.479,0
MYM,2020-09-10,0.009,-0.434,0
MYM,2020-12-10,-0.008,-0.325,0
MYM,2021-03-11,0.034,-0.348,0
MYM,2021-06-10,-0.009,-0.311,0
MYM,2021-09-09,-0.004,-0.329,0
MYM,2021-12-09,-0.004,-0.245,0
MYM,2022-03-10,-0.236,-0.315,0
MYM,2022-06-09,0.052,-0.073,0
MYM,2022-09-08,0.002,0.286,0
MYM,2022-12-08,-0.034,0.71,0
MYM,2023-03-09,0.041,0.829,0
MYM,2023-06-08,-0.006,0.856,0
MYM,2023-09-07,-0.007,0.943,0
MYM,2023-12-07,-0.004,0.973,0
MYM,2024-03-07,0.019,1.11,0
MYM,2024-06-13,0.048,1.056,0
MYM,2024-09-12,0.06,0.944,0
MYM,2024-12-12,0.019,1.043,0
MYM,2025-03-13,-0.015,0.821,0
MYM,2025-06-12,-0.031,0.764,0
MYM,2025-09-11,-0.017,0.723,0
MYM,2025-12-11,-0.04,0.755,0
MYM,2026-03-12,-0.081,0.637,0
