series,base_step_min,q,vr,ci_lo,ci_hi,p_lt_1
LEGA,1,2,0.9885,0.9674,1.0081,0.145
LEGA,1,5,0.9786,0.9529,1.0034,0.037
LEGA,1,15,0.9415,0.9019,0.9838,0.0
LEGA,1,30,0.865,0.8001,0.9307,0.0
LEGA,1,60,0.8571,0.7907,0.9256,0.0
LEGA,1,120,0.8284,0.746,0.9132,0.0
LEGA,15,2,0.9188,0.8364,0.9933,0.013
LEGA,15,5,0.927,0.808,1.0295,0.105
LEGA,15,15,0.9125,0.7736,1.0477,0.14
LEGA,15,30,,,,
LEGA,15,60,,,,
LEGA,15,120,,,,
LEGB,1,2,0.99,0.9672,1.0089,0.217
LEGB,1,5,0.969,0.938,0.9968,0.02
LEGB,1,15,0.935,0.892,0.9803,0.0
LEGB,1,30,0.8662,0.8061,0.9327,0.0
LEGB,1,60,0.8479,0.7826,0.9229,0.0
LEGB,1,120,0.8159,0.7284,0.9017,0.0
LEGB,15,2,0.9265,0.8673,0.9834,0.0
LEGB,15,5,0.9167,0.8275,1.0026,0.033
LEGB,15,15,0.9055,0.7793,1.0534,0.083
LEGB,15,30,,,,
LEGB,15,60,,,,
LEGB,15,120,,,,
RES1,1,2,0.8866,0.8381,0.9318,0.0
RES1,1,5,0.85,0.8045,0.9017,0.0
RES1,1,15,0.7952,0.6793,0.8858,0.0
RES1,1,30,0.7557,0.6238,0.8886,0.0
RES1,1,60,0.7467,0.6037,0.8909,0.0
RES1,1,120,0.7488,0.6161,0.893,0.0
RES1,5,2,0.9636,0.9168,0.9968,0.01
RES1,5,5,0.8516,0.7474,0.9582,0.0
RES1,5,15,0.8649,0.7307,0.9822,0.005
RES1,5,30,0.9931,0.8628,1.1236,0.522
RES1,5,60,0.9824,0.827,1.1238,0.42
RES1,5,120,,,,
RES1,15,2,0.9504,0.8674,1.0217,0.095
RES1,15,5,0.9245,0.8341,1.0099,0.05
RES1,15,15,1.2566,1.1193,1.3958,1.0
RES1,15,30,,,,
RES1,15,60,,,,
RES1,15,120,,,,
RES2,1,2,0.9064,0.8662,0.9458,0.0
RES2,1,5,0.8876,0.8478,0.926,0.0
RES2,1,15,0.8466,0.7445,0.9251,0.0
RES2,1,30,0.8168,0.6942,0.9371,0.0
RES2,1,60,0.8464,0.7204,0.9693,0.003
RES2,1,120,0.8297,0.6965,0.9523,0.003
