spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
S1,1.5,5,0.022,0.034,5.75,0.446,40987.0
S1,1.5,15,0.032,0.058,5.62,0.479,39708.0
S1,1.5,30,0.029,0.069,4.34,0.491,38099.0
S1,1.5,60,0.028,0.103,3.92,0.502,35222.0
S1,1.5,120,0.019,0.173,4.28,0.502,29939.0
S1,2.0,5,0.028,0.053,6.71,0.458,24911.0
S1,2.0,15,0.028,0.079,5.87,0.481,24308.0
S1,2.0,30,0.022,0.104,5.4,0.489,23527.0
S1,2.0,60,0.02,0.186,6.19,0.502,22199.0
S1,2.0,120,-0.001,0.286,6.59,0.501,19751.0
S1,2.5,5,0.022,0.061,5.73,0.461,12216.0
S1,2.5,15,0.025,0.119,6.98,0.479,12007.0
S1,2.5,30,0.009,0.153,5.97,0.489,11766.0
S1,2.5,60,0.017,0.248,7.26,0.491,11337.0
S1,2.5,120,-0.007,0.253,5.29,0.499,10405.0
S1,3.0,5,0.013,0.077,5.29,0.456,5887.0
S1,3.0,15,0.005,0.115,4.95,0.476,5851.0
S1,3.0,30,0.01,0.15,4.99,0.49,5794.0
S1,3.0,60,0.022,0.232,5.37,0.492,5692.0
S1,3.0,120,-0.029,0.197,3.27,0.5,5421.0
S2,1.5,5,0.026,0.035,5.47,0.449,42377.0
S2,1.5,15,0.036,0.064,5.9,0.483,41116.0
S2,1.5,30,0.028,0.053,2.98,0.489,39436.0
S2,1.5,60,0.017,0.084,3.09,0.493,36448.0
S2,1.5,120,0.009,0.162,4.2,0.498,30819.0
S2,2.0,5,0.034,0.05,5.5,0.458,24510.0
S2,2.0,15,0.038,0.077,5.29,0.482,23903.0
S2,2.0,30,0.041,0.112,5.19,0.499,23159.0
S2,2.0,60,0.047,0.194,5.98,0.501,21913.0
S2,2.0,120,0.025,0.231,5.48,0.503,19497.0
S2,2.5,5,0.033,0.044,3.26,0.464,11980.0
S2,2.5,15,0.044,0.097,4.99,0.49,11827.0
S2,2.5,30,0.04,0.131,4.64,0.499,11578.0
S2,2.5,60,0.056,0.219,5.47,0.498,11109.0
S2,2.5,120,0.051,0.258,5.14,0.509,10266.0
S2,3.0,5,0.037,0.067,3.87,0.476,5441.0
S2,3.0,15,0.04,0.131,5.19,0.483,5400.0
S2,3.0,30,0.027,0.137,3.79,0.494,5359.0
S2,3.0,60,0.018,0.179,3.57,0.478,5224.0
S2,3.0,120,-0.03,0.16,2.48,0.491,4975.0
S3,1.5,5,0.033,0.047,6.47,0.454,40325.0
S3,1.5,15,0.041,0.092,7.73,0.479,39248.0
S3,1.5,30,0.038,0.126,6.61,0.49,37851.0
S3,1.5,60,0.025,0.175,5.89,0.492,35400.0
S3,1.5,120,-0.007,0.237,5.26,0.489,30470.0
S3,2.0,5,0.027,0.064,6.92,0.459,24510.0
S3,2.0,15,0.027,0.112,7.71,0.482,24024.0
S3,2.0,30,0.028,0.17,7.25,0.491,23445.0
S3,2.0,60,0.006,0.253,7.18,0.487,22402.0
S3,2.0,120,-0.017,0.391,7.88,0.489,20474.0
S3,2.5,5,0.035,0.097,7.47,0.465,12449.0
S3,2.5,15,0.046,0.173,8.01,0.489,12325.0
S3,2.5,30,0.052,0.256,8.75,0.501,12157.0
S3,2.5,60,0.044,0.38,9.44,0.492,11848.0
S3,2.5,120,-0.002,0.421,7.58,0.492,11232.0
S3,3.0,5,0.025,0.08,4.71,0.464,6058.0
S3,3.0,15,0.05,0.167,6.59,0.491,6033.0
S3,3.0,30,0.081,0.282,8.17,0.508,5997.0
S3,3.0,60,0.058,0.335,7.13,0.498,5898.0
S3,3.0,120,-0.009,0.359,5.64,0.487,5702.0
