leg,roll,splice_ret_pct,factor_gap_pct,artifact_flag
ZF,2019-08-30,-0.0,0.36,0
ZF,2019-11-29,-0.013,0.29,0
ZF,2020-02-28,0.017,0.386,0
ZF,2020-05-29,0.006,-0.162,0
ZF,2020-08-31,0.012,0.099,0
ZF,2020-11-30,-0.006,0.261,0
ZF,2021-02-26,-0.038,-0.345,0
ZF,2021-05-28,0.0,-0.452,0
ZF,2021-08-31,-0.0,-0.371,0
ZF,2021-11-30,-0.039,-0.443,0
ZF,2022-02-28,0.041,-0.305,0
ZF,2022-05-31,-0.036,-0.35,0
ZF,2022-08-31,-0.014,0.021,0
ZF,2022-11-30,-0.006,0.326,0
ZF,2023-02-28,-0.037,0.366,0
ZF,2023-05-31,-0.009,0.593,0
ZF,2023-08-31,-0.022,0.485,0
ZF,2023-11-30,-0.014,0.491,0
ZF,2024-02-29,-0.008,0.382,0
ZF,2024-05-31,-0.001,0.349,0
ZF,2024-08-30,-0.028,0.509,0
ZF,2024-11-29,-0.022,0.211,0
ZF,2025-02-28,-0.001,0.167,0
ZF,2025-05-30,-0.015,0.101,0
ZF,2025-08-29,-0.007,0.172,0
ZF,2025-11-28,0.0,0.078,0
ZF,2026-02-27,0.014,0.057,0
ZN,2019-08-30,-0.023,0.513,0
ZN,2019-11-29,0.0,0.072,0
ZN,2020-02-28,-0.011,-0.081,0
ZN,2020-05-29,0.023,-0.225,0
ZN,2020-08-31,0.0,-0.101,0
ZN,2020-11-30,0.0,-0.271,0
ZN,2021-02-26,-0.035,-0.808,0
ZN,2021-05-28,0.012,-0.694,0
ZN,2021-08-31,-0.012,-0.443,0
ZN,2021-11-30,-0.023,-0.584,0
ZN,2022-02-28,0.037,-0.062,0
ZN,2022-05-31,-0.042,-0.285,0
ZN,2022-08-31,-0.027,0.053,0
ZN,2022-11-30,0.028,0.236,0
ZN,2023-02-28,-0.015,0.423,0
ZN,2023-05-31,0.013,0.758,0
ZN,2023-08-31,-0.028,0.439,0
ZN,2023-11-30,-0.027,0.327,0
ZN,2024-02-29,-0.029,0.484,0
ZN,2024-05-31,-0.029,0.288,0
ZN,2024-08-30,-0.027,0.482,0
ZN,2024-11-29,-0.014,0.155,0
ZN,2025-02-28,-0.028,0.028,0
ZN,2025-05-30,-0.0,0.028,0
ZN,2025-08-29,0.0,0.042,0
ZN,2025-11-28,-0.028,-0.055,0
ZN,2026-02-27,0.028,-0.055,0
