series,base_step_min,q,vr,ci_lo,ci_hi,p_lt_1
LEGA,1,2,0.8887,0.8771,0.8988,0.0
LEGA,1,5,0.7871,0.7687,0.8063,0.0
LEGA,1,15,0.7493,0.7257,0.7729,0.0
LEGA,1,30,0.7551,0.7243,0.7851,0.0
LEGA,1,60,0.7271,0.6851,0.7683,0.0
LEGA,1,120,0.7224,0.6702,0.776,0.0
LEGA,15,2,1.0077,0.9808,1.0351,0.693
LEGA,15,5,0.9506,0.9022,1.005,0.04
LEGA,15,15,1.0952,0.992,1.2081,0.953
LEGA,15,30,,,,
LEGA,15,60,,,,
LEGA,15,120,,,,
LEGB,1,2,0.818,0.8087,0.8275,0.0
LEGB,1,5,0.6776,0.6624,0.6909,0.0
LEGB,1,15,0.6121,0.5933,0.6304,0.0
LEGB,1,30,0.6073,0.5855,0.6299,0.0
LEGB,1,60,0.5815,0.5552,0.6096,0.0
LEGB,1,120,0.5837,0.5472,0.621,0.0
LEGB,15,2,0.9922,0.9692,1.0144,0.26
LEGB,15,5,0.9349,0.8909,0.983,0.003
LEGB,15,15,1.0845,0.9952,1.1929,0.97
LEGB,15,30,,,,
LEGB,15,60,,,,
LEGB,15,120,,,,
RES1,1,2,0.5625,0.558,0.5675,0.0
RES1,1,5,0.2863,0.28,0.2929,0.0
RES1,1,15,0.162,0.1538,0.1722,0.0
RES1,1,30,0.134,0.1254,0.1441,0.0
RES1,1,60,0.1133,0.105,0.1234,0.0
RES1,1,120,0.1051,0.0931,0.1182,0.0
RES1,5,2,0.672,0.6569,0.6872,0.0
RES1,5,5,0.467,0.4427,0.4919,0.0
RES1,5,15,0.3873,0.3481,0.4424,0.0
RES1,5,30,0.42,0.3779,0.4857,0.0
RES1,5,60,0.4041,0.3586,0.4586,0.0
RES1,5,120,,,,
RES1,15,2,0.8273,0.7977,0.858,0.0
RES1,15,5,0.6845,0.6272,0.7595,0.0
RES1,15,15,0.7141,0.6294,0.8068,0.0
RES1,15,30,,,,
RES1,15,60,,,,
RES1,15,120,,,,
RES2,1,2,0.5627,0.5581,0.5673,0.0
RES2,1,5,0.2838,0.2779,0.2904,0.0
RES2,1,15,0.1581,0.1506,0.1664,0.0
RES2,1,30,0.1296,0.1221,0.1387,0.0
RES2,1,60,0.1164,0.1073,0.1264,0.0
RES2,1,120,0.1134,0.1015,0.1246,0.0
