spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
S1,1.5,5,0.035,0.066,3.8,0.449,30904.0
S1,1.5,15,0.045,0.127,4.4,0.477,29967.0
S1,1.5,30,0.039,0.166,3.73,0.486,28786.0
S1,1.5,60,0.05,0.285,4.02,0.497,26717.0
S1,1.5,120,0.064,0.491,4.69,0.5,22831.0
S1,2.0,5,0.044,0.102,4.94,0.457,19064.0
S1,2.0,15,0.05,0.161,4.66,0.486,18631.0
S1,2.0,30,0.038,0.221,4.51,0.488,18135.0
S1,2.0,60,0.012,0.372,5.15,0.494,17200.0
S1,2.0,120,0.042,0.62,5.7,0.496,15385.0
S1,2.5,5,0.068,0.181,6.14,0.463,9502.0
S1,2.5,15,0.057,0.269,6.24,0.491,9374.0
S1,2.5,30,0.077,0.364,5.99,0.499,9224.0
S1,2.5,60,0.032,0.52,5.89,0.495,8912.0
S1,2.5,120,0.127,0.656,5.35,0.507,8238.0
S1,3.0,5,0.089,0.233,6.31,0.477,4647.0
S1,3.0,15,0.06,0.384,6.92,0.49,4618.0
S1,3.0,30,0.061,0.521,6.63,0.501,4597.0
S1,3.0,60,0.079,0.664,6.49,0.511,4495.0
S1,3.0,120,0.07,0.598,3.99,0.512,4302.0
S2,1.5,5,0.039,0.054,3.25,0.454,30902.0
S2,1.5,15,0.044,0.098,3.31,0.482,29962.0
S2,1.5,30,0.039,0.132,2.94,0.49,28735.0
S2,1.5,60,0.078,0.256,3.84,0.503,26587.0
S2,1.5,120,0.116,0.463,4.67,0.509,22499.0
S2,2.0,5,0.043,0.089,4.05,0.461,18574.0
S2,2.0,15,0.054,0.154,4.16,0.483,18136.0
S2,2.0,30,0.054,0.199,3.73,0.493,17591.0
S2,2.0,60,0.078,0.344,4.28,0.502,16574.0
S2,2.0,120,0.099,0.499,4.33,0.503,14620.0
S2,2.5,5,0.057,0.162,5.26,0.469,9503.0
S2,2.5,15,0.095,0.282,5.8,0.491,9364.0
S2,2.5,30,0.098,0.346,5.36,0.497,9196.0
S2,2.5,60,0.043,0.489,5.32,0.494,8833.0
S2,2.5,120,0.002,0.397,3.13,0.498,8122.0
S2,3.0,5,0.07,0.191,5.1,0.48,4662.0
S2,3.0,15,0.097,0.305,4.97,0.495,4613.0
S2,3.0,30,0.113,0.435,5.29,0.498,4581.0
S2,3.0,60,-0.068,0.462,4.04,0.495,4482.0
S2,3.0,120,-0.268,0.233,1.47,0.49,4245.0
S3,1.5,5,0.056,0.099,5.41,0.454,29260.0
S3,1.5,15,0.077,0.17,5.84,0.483,28466.0
S3,1.5,30,0.068,0.249,5.7,0.488,27432.0
S3,1.5,60,0.115,0.464,6.69,0.503,25446.0
S3,1.5,120,0.095,0.691,5.95,0.504,21992.0
S3,2.0,5,0.059,0.111,5.14,0.46,18212.0
S3,2.0,15,0.111,0.255,6.6,0.499,17863.0
S3,2.0,30,0.127,0.388,7.12,0.502,17397.0
S3,2.0,60,0.099,0.61,6.9,0.499,16569.0
S3,2.0,120,0.1,0.879,6.91,0.504,15053.0
S3,2.5,5,0.055,0.133,4.54,0.468,9560.0
S3,2.5,15,0.028,0.228,4.62,0.483,9455.0
S3,2.5,30,0.051,0.393,5.02,0.493,9326.0
S3,2.5,60,0.052,0.683,6.11,0.497,9043.0
S3,2.5,120,0.067,0.816,5.34,0.505,8433.0
S3,3.0,5,0.079,0.235,5.5,0.474,4847.0
S3,3.0,15,0.081,0.384,6.32,0.496,4817.0
S3,3.0,30,0.127,0.591,6.99,0.507,4792.0
S3,3.0,60,0.087,0.714,6.35,0.502,4702.0
S3,3.0,120,0.046,0.723,4.49,0.498,4525.0
