leg,roll,splice_ret_pct,factor_gap_pct,artifact_flag
ZB,2019-08-30,-0.038,-0.489,0
ZB,2019-11-29,0.019,-0.489,0
ZB,2020-02-28,-0.007,-0.612,0
ZB,2020-05-29,0.04,-0.893,0
ZB,2020-08-31,0.056,-0.938,0
ZB,2020-11-30,-0.0,0.648,0
ZB,2021-02-26,-0.081,-0.935,0
ZB,2021-05-28,-0.001,-1.027,0
ZB,2021-08-31,0.035,-0.946,0
ZB,2021-11-30,-0.05,-0.964,0
ZB,2022-02-28,0.151,1.126,0
ZB,2022-05-31,-0.011,-0.704,0
ZB,2022-08-31,-0.023,-0.389,0
ZB,2022-11-30,0.049,-0.049,0
ZB,2023-02-28,-0.049,0.88,0
ZB,2023-05-31,0.048,0.27,0
ZB,2023-08-31,-0.052,0.103,1
ZB,2023-11-30,-0.027,0.0,0
ZB,2024-02-29,0.026,0.0,0
ZB,2024-05-31,-0.027,0.081,0
ZB,2024-08-30,-0.025,0.152,0
ZB,2024-11-29,-0.001,0.184,0
ZB,2025-02-28,0.001,-0.186,0
ZB,2025-05-30,-0.027,-0.331,0
ZB,2025-08-29,-0.002,-0.353,0
ZB,2025-11-28,-0.001,-0.344,0
ZB,2026-02-27,0.081,-0.344,1
ZN,2019-08-30,-0.023,0.513,0
ZN,2019-11-29,0.0,0.072,0
ZN,2020-02-28,-0.011,-0.081,0
ZN,2020-05-29,0.023,-0.225,0
ZN,2020-08-31,0.0,-0.101,0
ZN,2020-11-30,0.0,-0.271,0
ZN,2021-02-26,-0.035,-0.808,0
ZN,2021-05-28,0.012,-0.694,0
ZN,2021-08-31,-0.012,-0.443,0
ZN,2021-11-30,-0.023,-0.584,0
ZN,2022-02-28,0.037,-0.062,0
ZN,2022-05-31,-0.042,-0.285,0
ZN,2022-08-31,-0.027,0.053,0
ZN,2022-11-30,0.028,0.236,0
ZN,2023-02-28,-0.015,0.423,0
ZN,2023-05-31,0.013,0.758,0
ZN,2023-08-31,-0.028,0.439,0
ZN,2023-11-30,-0.027,0.327,0
ZN,2024-02-29,-0.029,0.484,0
ZN,2024-05-31,-0.029,0.288,0
ZN,2024-08-30,-0.027,0.482,0
ZN,2024-11-29,-0.014,0.155,0
ZN,2025-02-28,-0.028,0.028,0
ZN,2025-05-30,-0.0,0.028,0
ZN,2025-08-29,0.0,0.042,0
ZN,2025-11-28,-0.028,-0.055,0
ZN,2026-02-27,0.028,-0.055,0
