series,base_step_min,q,vr,ci_lo,ci_hi,p_lt_1
LEGA,1,2,0.818,0.8087,0.8275,0.0
LEGA,1,5,0.6776,0.6624,0.6909,0.0
LEGA,1,15,0.6121,0.5933,0.6304,0.0
LEGA,1,30,0.6073,0.5855,0.6299,0.0
LEGA,1,60,0.5815,0.5552,0.6096,0.0
LEGA,1,120,0.5837,0.5472,0.621,0.0
LEGA,15,2,0.9922,0.9692,1.0144,0.26
LEGA,15,5,0.9349,0.8909,0.983,0.003
LEGA,15,15,1.0845,0.9952,1.1929,0.97
LEGA,15,30,,,,
LEGA,15,60,,,,
LEGA,15,120,,,,
LEGB,1,2,0.8681,0.8593,0.8775,0.0
LEGB,1,5,0.7685,0.7472,0.7881,0.0
LEGB,1,15,0.7148,0.69,0.7376,0.0
LEGB,1,30,0.7046,0.6772,0.7349,0.0
LEGB,1,60,0.6938,0.6555,0.7383,0.0
LEGB,1,120,0.6794,0.6304,0.7264,0.0
LEGB,15,2,0.9857,0.9493,1.0187,0.195
LEGB,15,5,0.9553,0.8974,1.012,0.062
LEGB,15,15,1.1032,0.9938,1.2093,0.968
LEGB,15,30,,,,
LEGB,15,60,,,,
LEGB,15,120,,,,
RES1,1,2,0.605,0.5976,0.6144,0.0
RES1,1,5,0.3513,0.3366,0.3672,0.0
RES1,1,15,0.2335,0.2187,0.2495,0.0
RES1,1,30,0.2085,0.1936,0.2277,0.0
RES1,1,60,0.1899,0.1721,0.2097,0.0
RES1,1,120,0.1815,0.1631,0.2011,0.0
RES1,5,2,0.7509,0.7342,0.7687,0.0
RES1,5,5,0.5937,0.5548,0.646,0.0
RES1,5,15,0.5358,0.4806,0.6158,0.0
RES1,5,30,0.5931,0.5137,0.6943,0.0
RES1,5,60,0.6016,0.5126,0.7247,0.0
RES1,5,120,,,,
RES1,15,2,0.8928,0.8584,0.9279,0.0
RES1,15,5,0.8061,0.7388,0.9011,0.0
RES1,15,15,0.9073,0.7795,1.0793,0.135
RES1,15,30,,,,
RES1,15,60,,,,
RES1,15,120,,,,
RES2,1,2,0.6133,0.6056,0.6216,0.0
RES2,1,5,0.3644,0.3526,0.3772,0.0
RES2,1,15,0.2504,0.2368,0.2647,0.0
RES2,1,30,0.2296,0.2143,0.2452,0.0
RES2,1,60,0.2203,0.1991,0.2429,0.0
RES2,1,120,0.2315,0.2072,0.2567,0.0
