spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
S1,1.5,5,0.016,0.031,6.93,0.444,30283.0
S1,1.5,15,0.021,0.04,5.26,0.478,29415.0
S1,1.5,30,0.02,0.052,4.37,0.492,28290.0
S1,1.5,60,0.027,0.088,4.48,0.494,26208.0
S1,1.5,120,0.029,0.133,4.65,0.503,22326.0
S1,2.0,5,0.017,0.037,5.68,0.448,18848.0
S1,2.0,15,0.021,0.058,6.18,0.479,18395.0
S1,2.0,30,0.018,0.088,6.86,0.492,17873.0
S1,2.0,60,0.015,0.137,6.79,0.495,16946.0
S1,2.0,120,0.004,0.202,6.88,0.49,15184.0
S1,2.5,5,0.009,0.034,4.54,0.448,9763.0
S1,2.5,15,0.017,0.072,5.98,0.48,9612.0
S1,2.5,30,0.008,0.099,5.75,0.481,9422.0
S1,2.5,60,0.006,0.157,6.32,0.484,9103.0
S1,2.5,120,-0.028,0.187,5.42,0.473,8370.0
S1,3.0,5,0.02,0.055,5.37,0.465,4837.0
S1,3.0,15,0.029,0.101,6.82,0.494,4799.0
S1,3.0,30,0.029,0.149,7.12,0.489,4765.0
S1,3.0,60,0.021,0.199,6.93,0.49,4675.0
S1,3.0,120,-0.029,0.171,4.27,0.47,4465.0
S2,1.5,5,0.016,0.024,5.34,0.447,32961.0
S2,1.5,15,0.018,0.028,3.72,0.48,32081.0
S2,1.5,30,0.014,0.035,2.86,0.491,30839.0
S2,1.5,60,0.018,0.069,3.46,0.495,28692.0
S2,1.5,120,0.017,0.109,4.02,0.497,24275.0
S2,2.0,5,0.019,0.03,4.99,0.461,19074.0
S2,2.0,15,0.026,0.043,4.18,0.495,18649.0
S2,2.0,30,0.02,0.059,3.95,0.5,18129.0
S2,2.0,60,0.024,0.097,4.19,0.502,17096.0
S2,2.0,120,0.012,0.136,4.26,0.498,15136.0
S2,2.5,5,0.015,0.034,3.94,0.458,9531.0
S2,2.5,15,0.019,0.066,4.56,0.492,9376.0
S2,2.5,30,-0.003,0.075,3.71,0.492,9184.0
S2,2.5,60,-0.017,0.135,4.63,0.491,8860.0
S2,2.5,120,-0.033,0.172,4.57,0.482,8159.0
S2,3.0,5,0.019,0.054,5.11,0.461,4526.0
S2,3.0,15,0.019,0.081,4.74,0.496,4490.0
S2,3.0,30,0.004,0.101,4.03,0.5,4432.0
S2,3.0,60,0.018,0.156,4.69,0.51,4322.0
S2,3.0,120,0.011,0.184,4.0,0.49,4122.0
S3,1.5,5,0.009,0.021,4.02,0.438,24882.0
S3,1.5,15,0.002,0.029,3.02,0.463,24183.0
S3,1.5,30,-0.003,0.042,2.88,0.476,23253.0
S3,1.5,60,-0.011,0.079,3.5,0.481,21677.0
S3,1.5,120,-0.007,0.145,4.03,0.495,18737.0
S3,2.0,5,0.015,0.034,4.85,0.449,15966.0
S3,2.0,15,0.018,0.069,5.41,0.477,15651.0
S3,2.0,30,0.012,0.081,4.7,0.486,15277.0
S3,2.0,60,0.017,0.16,6.19,0.483,14585.0
S3,2.0,120,0.016,0.272,7.48,0.488,13282.0
S3,2.5,5,0.025,0.051,5.23,0.462,8617.0
S3,2.5,15,0.034,0.097,6.32,0.493,8519.0
S3,2.5,30,0.042,0.138,6.26,0.497,8420.0
S3,2.5,60,0.04,0.238,7.41,0.489,8191.0
S3,2.5,120,0.034,0.309,7.69,0.495,7736.0
S3,3.0,5,0.008,0.046,3.87,0.452,4652.0
S3,3.0,15,0.04,0.128,6.56,0.483,4624.0
S3,3.0,30,0.034,0.163,6.24,0.499,4604.0
S3,3.0,60,0.054,0.267,6.86,0.496,4540.0
S3,3.0,120,0.032,0.263,5.37,0.496,4387.0
