leg,roll,splice_ret_pct,factor_gap_pct,artifact_flag
ZF,2019-08-30,-0.0,0.36,0
ZF,2019-11-29,-0.013,0.29,0
ZF,2020-02-28,0.017,0.386,0
ZF,2020-05-29,0.006,-0.162,0
ZF,2020-08-31,0.012,0.099,0
ZF,2020-11-30,-0.006,0.261,0
ZF,2021-02-26,-0.038,-0.345,0
ZF,2021-05-28,0.0,-0.452,0
ZF,2021-08-31,-0.0,-0.371,0
ZF,2021-11-30,-0.039,-0.443,0
ZF,2022-02-28,0.041,-0.305,0
ZF,2022-05-31,-0.036,-0.35,0
ZF,2022-08-31,-0.014,0.021,0
ZF,2022-11-30,-0.006,0.326,0
ZF,2023-02-28,-0.037,0.366,0
ZF,2023-05-31,-0.009,0.593,0
ZF,2023-08-31,-0.022,0.485,0
ZF,2023-11-30,-0.014,0.491,0
ZF,2024-02-29,-0.008,0.382,0
ZF,2024-05-31,-0.001,0.349,0
ZF,2024-08-30,-0.028,0.509,0
ZF,2024-11-29,-0.022,0.211,0
ZF,2025-02-28,-0.001,0.167,0
ZF,2025-05-30,-0.015,0.101,0
ZF,2025-08-29,-0.007,0.172,0
ZF,2025-11-28,0.0,0.078,0
ZF,2026-02-27,0.014,0.057,0
ZT,2019-08-30,-0.007,0.239,0
ZT,2019-11-29,0.0,0.193,0
ZT,2020-02-28,0.014,0.202,0
ZT,2020-05-29,0.007,0.12,0
ZT,2020-08-31,0.004,0.043,0
ZT,2020-11-30,0.004,-0.004,0
ZT,2021-02-26,-0.011,-0.035,0
ZT,2021-05-28,-0.007,-0.064,0
ZT,2021-08-31,-0.0,-0.145,0
ZT,2021-11-30,-0.029,-0.288,0
ZT,2022-02-28,0.004,-0.366,0
ZT,2022-05-31,-0.001,-0.434,0
ZT,2022-08-31,-0.011,-0.105,0
ZT,2022-11-30,-0.026,0.279,0
ZT,2023-02-28,-0.008,0.192,0
ZT,2023-05-31,-0.004,0.631,0
ZT,2023-08-31,-0.061,0.431,1
ZT,2023-11-30,-0.045,0.487,0
ZT,2024-02-29,-0.042,0.479,0
ZT,2024-05-31,-0.008,0.339,0
ZT,2024-08-30,-0.034,0.514,0
ZT,2024-11-29,-0.011,0.217,0
ZT,2025-02-28,-0.001,0.246,0
ZT,2025-05-30,-0.0,0.291,0
ZT,2025-08-29,-0.004,0.278,0
ZT,2025-11-28,-0.006,0.174,0
ZT,2026-02-27,0.011,0.153,0
