series,base_step_min,q,vr,ci_lo,ci_hi,p_lt_1
LEGA,1,2,0.8725,0.8537,0.8901,0.0
LEGA,1,5,0.7492,0.7213,0.7743,0.0
LEGA,1,15,0.7127,0.6779,0.7457,0.0
LEGA,1,30,0.718,0.6816,0.7539,0.0
LEGA,1,60,0.6849,0.6349,0.7269,0.0
LEGA,1,120,0.6662,0.6172,0.7189,0.0
LEGA,15,2,1.0075,0.9715,1.0427,0.682
LEGA,15,5,0.9368,0.8711,1.003,0.035
LEGA,15,15,1.0488,0.9241,1.1573,0.777
LEGA,15,30,,,,
LEGA,15,60,,,,
LEGA,15,120,,,,
LEGB,1,2,0.8887,0.8771,0.8988,0.0
LEGB,1,5,0.7871,0.7687,0.8063,0.0
LEGB,1,15,0.7493,0.7257,0.7729,0.0
LEGB,1,30,0.7551,0.7243,0.7851,0.0
LEGB,1,60,0.7271,0.6851,0.7683,0.0
LEGB,1,120,0.7224,0.6702,0.776,0.0
LEGB,15,2,1.0077,0.9808,1.0351,0.693
LEGB,15,5,0.9506,0.9022,1.005,0.04
LEGB,15,15,1.0952,0.992,1.2081,0.953
LEGB,15,30,,,,
LEGB,15,60,,,,
LEGB,15,120,,,,
RES1,1,2,0.619,0.6106,0.6289,0.0
RES1,1,5,0.375,0.3622,0.3888,0.0
RES1,1,15,0.2663,0.2476,0.2852,0.0
RES1,1,30,0.2408,0.2189,0.2633,0.0
RES1,1,60,0.21,0.1917,0.2325,0.0
RES1,1,120,0.203,0.1808,0.233,0.0
RES1,5,2,0.7679,0.7513,0.7869,0.0
RES1,5,5,0.6226,0.5889,0.6529,0.0
RES1,5,15,0.5742,0.5275,0.6245,0.0
RES1,5,30,0.6198,0.5541,0.6945,0.0
RES1,5,60,0.5812,0.5123,0.6544,0.0
RES1,5,120,,,,
RES1,15,2,0.9043,0.8684,0.9416,0.0
RES1,15,5,0.8087,0.759,0.8687,0.0
RES1,15,15,0.8246,0.7367,0.9218,0.0
RES1,15,30,,,,
RES1,15,60,,,,
RES1,15,120,,,,
RES2,1,2,0.6301,0.6181,0.6447,0.0
RES2,1,5,0.3904,0.3752,0.4086,0.0
RES2,1,15,0.2913,0.2662,0.3195,0.0
RES2,1,30,0.2743,0.2454,0.3052,0.0
RES2,1,60,0.2651,0.2355,0.3026,0.0
RES2,1,120,0.2778,0.2334,0.3306,0.0
