spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
S1,1.5,5,0.02,0.026,3.84,0.448,26383.0
S1,1.5,15,0.013,0.039,3.43,0.475,25611.0
S1,1.5,30,0.012,0.057,3.55,0.49,24662.0
S1,1.5,60,0.003,0.074,2.93,0.494,22935.0
S1,1.5,120,-0.014,0.11,2.94,0.495,19509.0
S1,2.0,5,0.01,0.029,3.4,0.443,16964.0
S1,2.0,15,0.006,0.041,3.02,0.472,16596.0
S1,2.0,30,0.006,0.071,3.61,0.484,16119.0
S1,2.0,60,-0.004,0.127,4.21,0.48,15298.0
S1,2.0,120,-0.062,0.166,4.07,0.478,13674.0
S1,2.5,5,0.001,0.035,3.62,0.45,8962.0
S1,2.5,15,-0.005,0.062,3.7,0.472,8849.0
S1,2.5,30,-0.036,0.079,3.15,0.468,8695.0
S1,2.5,60,-0.052,0.153,4.08,0.473,8378.0
S1,2.5,120,-0.127,0.153,2.98,0.472,7753.0
S1,3.0,5,0.001,0.039,3.07,0.453,4493.0
S1,3.0,15,0.005,0.098,4.48,0.474,4455.0
S1,3.0,30,-0.042,0.103,3.43,0.465,4424.0
S1,3.0,60,-0.075,0.157,3.65,0.457,4341.0
S1,3.0,120,-0.131,0.149,2.52,0.456,4201.0
S2,1.5,5,0.016,0.019,3.14,0.444,27516.0
S2,1.5,15,0.019,0.035,2.81,0.48,26748.0
S2,1.5,30,0.008,0.026,1.39,0.489,25678.0
S2,1.5,60,-0.003,0.038,1.41,0.49,23823.0
S2,1.5,120,-0.005,0.101,2.5,0.489,20195.0
S2,2.0,5,0.012,0.014,1.77,0.449,16493.0
S2,2.0,15,0.01,0.033,1.93,0.48,16108.0
S2,2.0,30,0.005,0.051,2.14,0.491,15641.0
S2,2.0,60,-0.004,0.09,2.48,0.486,14858.0
S2,2.0,120,-0.056,0.135,2.92,0.492,13161.0
S2,2.5,5,0.005,0.02,1.61,0.449,8480.0
S2,2.5,15,0.006,0.068,3.41,0.482,8353.0
S2,2.5,30,-0.016,0.082,2.82,0.48,8217.0
S2,2.5,60,0.003,0.142,3.3,0.491,7930.0
S2,2.5,120,-0.011,0.14,2.5,0.494,7340.0
S2,3.0,5,0.007,0.021,1.42,0.453,4283.0
S2,3.0,15,0.021,0.077,3.3,0.482,4245.0
S2,3.0,30,-0.001,0.095,2.78,0.48,4209.0
S2,3.0,60,0.007,0.132,2.73,0.496,4127.0
S2,3.0,120,-0.104,0.075,1.15,0.481,3944.0
S3,1.5,5,0.008,0.019,2.12,0.437,22600.0
S3,1.5,15,0.007,0.047,2.91,0.47,21991.0
S3,1.5,30,0.005,0.083,2.97,0.482,21221.0
S3,1.5,60,-0.023,0.106,2.43,0.481,19831.0
S3,1.5,120,-0.072,0.168,2.7,0.482,17209.0
S3,2.0,5,0.009,0.051,4.52,0.44,14592.0
S3,2.0,15,0.005,0.089,4.29,0.471,14329.0
S3,2.0,30,-0.001,0.119,4.37,0.484,14021.0
S3,2.0,60,-0.03,0.189,4.37,0.481,13437.0
S3,2.0,120,-0.068,0.334,5.77,0.486,12261.0
S3,2.5,5,0.011,0.045,3.14,0.451,7983.0
S3,2.5,15,-0.002,0.077,3.03,0.472,7908.0
S3,2.5,30,-0.0,0.127,3.79,0.483,7817.0
S3,2.5,60,-0.031,0.261,5.21,0.484,7624.0
S3,2.5,120,-0.056,0.379,5.79,0.485,7243.0
S3,3.0,5,-0.012,0.038,2.03,0.45,4487.0
S3,3.0,15,0.004,0.108,3.5,0.481,4459.0
S3,3.0,30,0.002,0.191,4.7,0.478,4428.0
S3,3.0,60,0.032,0.314,5.34,0.485,4371.0
S3,3.0,120,-0.068,0.276,3.52,0.47,4263.0
