leg,roll,splice_ret_pct,factor_gap_pct,artifact_flag
ZN,2019-08-30,-0.023,0.513,0
ZN,2019-11-29,0.0,0.072,0
ZN,2020-02-28,-0.011,-0.081,0
ZN,2020-05-29,0.023,-0.225,0
ZN,2020-08-31,0.0,-0.101,0
ZN,2020-11-30,0.0,-0.271,0
ZN,2021-02-26,-0.035,-0.808,0
ZN,2021-05-28,0.012,-0.694,0
ZN,2021-08-31,-0.012,-0.443,0
ZN,2021-11-30,-0.023,-0.584,0
ZN,2022-02-28,0.037,-0.062,0
ZN,2022-05-31,-0.042,-0.285,0
ZN,2022-08-31,-0.027,0.053,0
ZN,2022-11-30,0.028,0.236,0
ZN,2023-02-28,-0.015,0.423,0
ZN,2023-05-31,0.013,0.758,0
ZN,2023-08-31,-0.028,0.439,0
ZN,2023-11-30,-0.027,0.327,0
ZN,2024-02-29,-0.029,0.484,0
ZN,2024-05-31,-0.029,0.288,0
ZN,2024-08-30,-0.027,0.482,0
ZN,2024-11-29,-0.014,0.155,0
ZN,2025-02-28,-0.028,0.028,0
ZN,2025-05-30,-0.0,0.028,0
ZN,2025-08-29,0.0,0.042,0
ZN,2025-11-28,-0.028,-0.055,0
ZN,2026-02-27,0.028,-0.055,0
ZT,2019-08-30,-0.007,0.239,0
ZT,2019-11-29,0.0,0.193,0
ZT,2020-02-28,0.014,0.202,0
ZT,2020-05-29,0.007,0.12,0
ZT,2020-08-31,0.004,0.043,0
ZT,2020-11-30,0.004,-0.004,0
ZT,2021-02-26,-0.011,-0.035,0
ZT,2021-05-28,-0.007,-0.064,0
ZT,2021-08-31,-0.0,-0.145,0
ZT,2021-11-30,-0.029,-0.288,0
ZT,2022-02-28,0.004,-0.366,0
ZT,2022-05-31,-0.001,-0.434,0
ZT,2022-08-31,-0.011,-0.105,0
ZT,2022-11-30,-0.026,0.279,0
ZT,2023-02-28,-0.008,0.192,0
ZT,2023-05-31,-0.004,0.631,0
ZT,2023-08-31,-0.061,0.431,1
ZT,2023-11-30,-0.045,0.487,0
ZT,2024-02-29,-0.042,0.479,0
ZT,2024-05-31,-0.008,0.339,0
ZT,2024-08-30,-0.034,0.514,0
ZT,2024-11-29,-0.011,0.217,0
ZT,2025-02-28,-0.001,0.246,0
ZT,2025-05-30,-0.0,0.291,0
ZT,2025-08-29,-0.004,0.278,0
ZT,2025-11-28,-0.006,0.174,0
ZT,2026-02-27,0.011,0.153,0
