series,base_step_min,q,vr,ci_lo,ci_hi,p_lt_1
LEGA,1,2,0.8725,0.8537,0.8901,0.0
LEGA,1,5,0.7492,0.7213,0.7743,0.0
LEGA,1,15,0.7127,0.6779,0.7457,0.0
LEGA,1,30,0.718,0.6816,0.7539,0.0
LEGA,1,60,0.6849,0.6349,0.7269,0.0
LEGA,1,120,0.6662,0.6172,0.7189,0.0
LEGA,15,2,1.0075,0.9715,1.0427,0.682
LEGA,15,5,0.9368,0.8711,1.003,0.035
LEGA,15,15,1.0488,0.9241,1.1573,0.777
LEGA,15,30,,,,
LEGA,15,60,,,,
LEGA,15,120,,,,
LEGB,1,2,0.818,0.8087,0.8275,0.0
LEGB,1,5,0.6776,0.6624,0.6909,0.0
LEGB,1,15,0.6121,0.5933,0.6304,0.0
LEGB,1,30,0.6073,0.5855,0.6299,0.0
LEGB,1,60,0.5815,0.5552,0.6096,0.0
LEGB,1,120,0.5837,0.5472,0.621,0.0
LEGB,15,2,0.9922,0.9692,1.0144,0.26
LEGB,15,5,0.9349,0.8909,0.983,0.003
LEGB,15,15,1.0845,0.9952,1.1929,0.97
LEGB,15,30,,,,
LEGB,15,60,,,,
LEGB,15,120,,,,
RES1,1,2,0.6541,0.6424,0.6668,0.0
RES1,1,5,0.4302,0.4117,0.4486,0.0
RES1,1,15,0.3345,0.3079,0.3638,0.0
RES1,1,30,0.322,0.2894,0.355,0.0
RES1,1,60,0.294,0.2667,0.3295,0.0
RES1,1,120,0.2885,0.2534,0.3306,0.0
RES1,5,2,0.8189,0.7986,0.8431,0.0
RES1,5,5,0.7124,0.6713,0.7531,0.0
RES1,5,15,0.7033,0.6269,0.799,0.0
RES1,5,30,0.7952,0.7012,0.9181,0.0
RES1,5,60,0.7621,0.6619,0.8733,0.0
RES1,5,120,,,,
RES1,15,2,0.9625,0.9236,1.0068,0.04
RES1,15,5,0.9044,0.8239,1.0169,0.043
RES1,15,15,0.9744,0.8517,1.1048,0.32
RES1,15,30,,,,
RES1,15,60,,,,
RES1,15,120,,,,
RES2,1,2,0.6709,0.6568,0.6867,0.0
RES2,1,5,0.4484,0.4287,0.4692,0.0
RES2,1,15,0.3633,0.3346,0.3951,0.0
RES2,1,30,0.3552,0.3239,0.3907,0.0
RES2,1,60,0.354,0.3178,0.393,0.0
RES2,1,120,0.376,0.3283,0.4323,0.0
