signal,signal_label,minutes_from_open,share
0,z0_rolling390,0,0.227
0,z0_rolling390,30,0.148
0,z0_rolling390,60,0.122
0,z0_rolling390,90,0.118
0,z0_rolling390,120,0.085
0,z0_rolling390,150,0.064
0,z0_rolling390,180,0.043
0,z0_rolling390,210,0.035
0,z0_rolling390,240,0.025
0,z0_rolling390,270,0.025
0,z0_rolling390,300,0.023
0,z0_rolling390,330,0.028
0,z0_rolling390,360,0.053
0,z0_rolling390,390,0.004
1,z1_session_anchored,30,0.203
1,z1_session_anchored,60,0.138
1,z1_session_anchored,90,0.102
1,z1_session_anchored,120,0.08
1,z1_session_anchored,150,0.065
1,z1_session_anchored,180,0.054
1,z1_session_anchored,210,0.049
1,z1_session_anchored,240,0.045
1,z1_session_anchored,270,0.058
1,z1_session_anchored,300,0.058
1,z1_session_anchored,330,0.062
1,z1_session_anchored,360,0.082
1,z1_session_anchored,390,0.005
