key,value
S_SPECS,anchor=unit|S1_beta_med=1.0|S1_beta_p5=1.0|S1_beta_p95=1.0
S_SIGDEF,z0=rolling390|z1=session_anchored|warmup=30|open_win=30|vr=inherited_from_nb02
S_OPENSHARE0,share=0.2275|n_events=10063
S_OPENSHARE1,share=0.0|n_events=7762
S_GATE,PASS|both legs adjudicated non-gap-shaped
S_ZCOVER,z0_defined=683907|z1_defined=630418|bars=684300|z0_first_bar_events=525
S_KEYS,68
S_HL1,z1_b=-0.0185047|z1_hl=37.1|n=628638
S_ALIGN,bars=684300|sessions=1780|medbars=390|first=2019-06-03|last=2026-04-24|dropA=0|dropB=0
S_PAIR,MES_M2K|markets=cme/cme|anchor=unit|rolls=index|nb=06
S_HOLIDAYS,n=96|memorial21=1|span=2018-2027
S_BUILD_MES,rolls=28|flags=0|med_ovl=390|nonmedian=0
S_FLAG_M2K190613,sr=-0.06|gap=0.2563|thr=0.05|mad=0.0|ratio=0.23|gapshaped=0|why=sign_mismatch
S_BUILD_M2K,rolls=28|flags=1|med_ovl=390|nonmedian=0
D020_GATE1_REPRODUCTION,PASS|60 cells reproduced exactly
D020_GATE2_IMPLEMENTATION,PASS|open share 22.7% (Z0) -> 0.0% (Z1)
