signal,signal_label,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
0,z0_rolling390,S1,1.5,5,0.086,-0.626,-3.73,0.499,14397.0
0,z0_rolling390,S1,1.5,15,0.103,-1.293,-4.6,0.499,14007.0
0,z0_rolling390,S1,1.5,30,0.027,-1.857,-4.55,0.498,13569.0
0,z0_rolling390,S1,1.5,60,0.24,-1.969,-3.36,0.504,12817.0
0,z0_rolling390,S1,1.5,120,0.023,-1.075,-1.4,0.499,11408.0
0,z0_rolling390,S1,2.0,5,0.178,-0.309,-1.49,0.499,9867.0
0,z0_rolling390,S1,2.0,15,-0.062,-0.762,-2.17,0.495,9662.0
0,z0_rolling390,S1,2.0,30,0.025,-0.491,-0.96,0.498,9471.0
0,z0_rolling390,S1,2.0,60,-0.017,0.699,1.01,0.496,9177.0
0,z0_rolling390,S1,2.0,120,0.219,2.645,3.08,0.5,8642.0
0,z0_rolling390,S1,2.5,5,0.205,0.221,0.71,0.496,6163.0
0,z0_rolling390,S1,2.5,15,0.436,1.143,2.28,0.509,6084.0
0,z0_rolling390,S1,2.5,30,0.677,2.403,3.59,0.512,6024.0
0,z0_rolling390,S1,2.5,60,0.854,3.869,4.63,0.517,5930.0
0,z0_rolling390,S1,2.5,120,0.903,5.095,5.12,0.507,5754.0
0,z0_rolling390,S1,3.0,5,0.601,1.022,2.07,0.502,3817.0
0,z0_rolling390,S1,3.0,15,0.762,2.277,3.3,0.519,3788.0
0,z0_rolling390,S1,3.0,30,1.785,4.616,5.69,0.528,3772.0
0,z0_rolling390,S1,3.0,60,1.666,5.572,5.7,0.517,3746.0
0,z0_rolling390,S1,3.0,120,2.372,6.305,5.31,0.515,3679.0
0,z0_rolling390,S2,1.5,5,0.148,-0.068,-0.66,0.501,14663.0
0,z0_rolling390,S2,1.5,15,-0.026,-0.669,-3.52,0.499,14117.0
0,z0_rolling390,S2,1.5,30,-0.056,-0.952,-3.39,0.498,13515.0
0,z0_rolling390,S2,1.5,60,-0.151,-1.297,-3.14,0.494,12523.0
0,z0_rolling390,S2,1.5,120,-0.214,-0.828,-1.49,0.493,10775.0
0,z0_rolling390,S2,2.0,5,0.051,-0.136,-0.92,0.5,9402.0
0,z0_rolling390,S2,2.0,15,-0.065,-0.455,-1.92,0.501,9091.0
0,z0_rolling390,S2,2.0,30,-0.106,-0.2,-0.58,0.501,8753.0
0,z0_rolling390,S2,2.0,60,-0.664,-0.072,-0.14,0.483,8269.0
0,z0_rolling390,S2,2.0,120,-0.353,1.319,2.11,0.488,7447.0
0,z0_rolling390,S2,2.5,5,0.236,0.481,2.07,0.503,5543.0
0,z0_rolling390,S2,2.5,15,-0.065,0.41,1.15,0.491,5384.0
0,z0_rolling390,S2,2.5,30,-0.251,0.746,1.61,0.492,5254.0
0,z0_rolling390,S2,2.5,60,-1.132,1.176,1.91,0.485,5063.0
0,z0_rolling390,S2,2.5,120,-1.074,2.375,3.14,0.47,4726.0
0,z0_rolling390,S2,3.0,5,0.357,0.869,2.84,0.506,3159.0
0,z0_rolling390,S2,3.0,15,0.172,1.523,3.23,0.492,3079.0
0,z0_rolling390,S2,3.0,30,-0.222,2.081,3.37,0.491,3030.0
0,z0_rolling390,S2,3.0,60,-1.136,2.341,2.91,0.472,2962.0
0,z0_rolling390,S2,3.0,120,-0.715,3.388,3.51,0.472,2841.0
0,z0_rolling390,S3,1.5,5,0.156,-0.622,-2.94,0.5,14184.0
0,z0_rolling390,S3,1.5,15,0.442,-1.031,-3.2,0.504,13812.0
0,z0_rolling390,S3,1.5,30,0.661,-1.487,-3.22,0.509,13406.0
0,z0_rolling390,S3,1.5,60,0.66,-1.611,-2.38,0.504,12722.0
0,z0_rolling390,S3,1.5,120,0.675,-0.687,-0.76,0.499,11370.0
0,z0_rolling390,S3,2.0,5,0.093,-0.467,-1.97,0.5,9715.0
0,z0_rolling390,S3,2.0,15,0.357,-0.644,-1.55,0.516,9523.0
0,z0_rolling390,S3,2.0,30,0.822,-0.209,-0.34,0.512,9357.0
0,z0_rolling390,S3,2.0,60,0.782,1.184,1.41,0.507,9076.0
0,z0_rolling390,S3,2.0,120,0.699,3.14,3.07,0.5,8536.0
0,z0_rolling390,S3,2.5,5,0.197,0.374,1.2,0.492,6084.0
0,z0_rolling390,S3,2.5,15,0.219,1.433,2.64,0.502,6009.0
0,z0_rolling390,S3,2.5,30,0.559,2.569,3.35,0.503,5945.0
0,z0_rolling390,S3,2.5,60,1.311,5.15,5.22,0.513,5850.0
0,z0_rolling390,S3,2.5,120,1.526,6.322,5.37,0.508,5646.0
0,z0_rolling390,S3,3.0,5,0.999,1.321,2.14,0.512,3680.0
0,z0_rolling390,S3,3.0,15,1.283,2.823,3.44,0.52,3656.0
0,z0_rolling390,S3,3.0,30,2.14,5.249,5.62,0.526,3636.0
0,z0_rolling390,S3,3.0,60,2.444,7.265,6.21,0.519,3609.0
0,z0_rolling390,S3,3.0,120,2.707,7.889,5.63,0.51,3533.0
1,z1_session_anchored,S1,1.5,5,0.096,-0.059,-0.59,0.505,16841.0
1,z1_session_anchored,S1,1.5,15,0.276,0.215,0.92,0.503,16359.0
1,z1_session_anchored,S1,1.5,30,0.24,0.322,1.01,0.508,15769.0
1,z1_session_anchored,S1,1.5,60,0.657,1.71,3.8,0.502,14653.0
1,z1_session_anchored,S1,1.5,120,0.516,2.732,4.76,0.502,12518.0
1,z1_session_anchored,S1,2.0,5,0.261,0.31,2.03,0.512,7560.0
1,z1_session_anchored,S1,2.0,15,0.404,0.888,3.0,0.516,7320.0
1,z1_session_anchored,S1,2.0,30,0.436,1.5,3.66,0.515,7055.0
1,z1_session_anchored,S1,2.0,60,0.599,2.403,4.0,0.505,6546.0
1,z1_session_anchored,S1,2.0,120,0.887,3.734,4.94,0.512,5579.0
1,z1_session_anchored,S1,2.5,5,0.244,0.732,2.42,0.517,2415.0
1,z1_session_anchored,S1,2.5,15,0.381,1.734,3.49,0.535,2319.0
1,z1_session_anchored,S1,2.5,30,-0.324,1.321,1.97,0.519,2203.0
1,z1_session_anchored,S1,2.5,60,0.338,1.989,2.09,0.521,2038.0
1,z1_session_anchored,S1,2.5,120,2.534,4.202,3.37,0.545,1724.0
1,z1_session_anchored,S1,3.0,5,1.16,2.197,3.22,0.507,663.0
1,z1_session_anchored,S1,3.0,15,1.343,3.004,3.1,0.51,630.0
1,z1_session_anchored,S1,3.0,30,0.454,2.757,2.1,0.512,590.0
1,z1_session_anchored,S1,3.0,60,0.939,3.575,1.84,0.533,537.0
1,z1_session_anchored,S1,3.0,120,2.598,4.024,1.56,0.536,429.0
1,z1_session_anchored,S2,1.5,5,-0.018,-0.163,-2.48,0.501,19148.0
1,z1_session_anchored,S2,1.5,15,-0.002,-0.376,-2.82,0.499,18549.0
1,z1_session_anchored,S2,1.5,30,0.014,-0.334,-1.62,0.499,17846.0
1,z1_session_anchored,S2,1.5,60,-0.161,-0.056,-0.19,0.499,16513.0
1,z1_session_anchored,S2,1.5,120,-0.172,0.754,1.73,0.496,13888.0
1,z1_session_anchored,S2,2.0,5,0.229,0.137,1.15,0.519,10234.0
1,z1_session_anchored,S2,2.0,15,0.181,0.16,0.92,0.51,9866.0
1,z1_session_anchored,S2,2.0,30,0.452,0.521,2.08,0.515,9415.0
1,z1_session_anchored,S2,2.0,60,0.04,0.705,1.88,0.494,8621.0
1,z1_session_anchored,S2,2.0,120,-0.218,1.494,2.66,0.493,7148.0
1,z1_session_anchored,S2,2.5,5,0.4,0.561,2.97,0.534,3938.0
1,z1_session_anchored,S2,2.5,15,0.233,0.742,2.62,0.512,3735.0
1,z1_session_anchored,S2,2.5,30,0.089,0.739,1.99,0.509,3517.0
1,z1_session_anchored,S2,2.5,60,-0.491,0.19,0.36,0.494,3161.0
1,z1_session_anchored,S2,2.5,120,0.194,1.315,1.69,0.497,2539.0
1,z1_session_anchored,S2,3.0,5,0.441,0.688,2.36,0.521,1291.0
1,z1_session_anchored,S2,3.0,15,-0.144,0.49,1.06,0.482,1193.0
1,z1_session_anchored,S2,3.0,30,-0.982,0.233,0.36,0.496,1111.0
1,z1_session_anchored,S2,3.0,60,-1.875,-0.356,-0.38,0.495,1002.0
1,z1_session_anchored,S2,3.0,120,0.014,1.322,1.08,0.505,778.0
1,z1_session_anchored,S3,1.5,5,0.111,-0.121,-0.88,0.502,16487.0
1,z1_session_anchored,S3,1.5,15,0.308,0.255,0.93,0.504,16054.0
1,z1_session_anchored,S3,1.5,30,0.345,0.492,1.21,0.508,15526.0
1,z1_session_anchored,S3,1.5,60,0.663,1.948,3.62,0.501,14520.0
1,z1_session_anchored,S3,1.5,120,0.608,3.076,4.5,0.504,12535.0
1,z1_session_anchored,S3,2.0,5,0.31,0.39,2.16,0.507,7386.0
1,z1_session_anchored,S3,2.0,15,0.586,1.133,3.19,0.512,7166.0
1,z1_session_anchored,S3,2.0,30,0.539,1.675,3.44,0.51,6933.0
1,z1_session_anchored,S3,2.0,60,0.759,2.556,3.6,0.501,6485.0
1,z1_session_anchored,S3,2.0,120,1.324,4.572,5.12,0.506,5525.0
