signal,signal_label,minutes_from_open,share
0,z0_rolling390,0,0.247
0,z0_rolling390,30,0.15
0,z0_rolling390,60,0.13
0,z0_rolling390,90,0.112
0,z0_rolling390,120,0.082
0,z0_rolling390,150,0.059
0,z0_rolling390,180,0.039
0,z0_rolling390,210,0.032
0,z0_rolling390,240,0.023
0,z0_rolling390,270,0.023
0,z0_rolling390,300,0.024
0,z0_rolling390,330,0.026
0,z0_rolling390,360,0.046
0,z0_rolling390,390,0.005
1,z1_session_anchored,30,0.192
1,z1_session_anchored,60,0.146
1,z1_session_anchored,90,0.111
1,z1_session_anchored,120,0.091
1,z1_session_anchored,150,0.064
1,z1_session_anchored,180,0.057
1,z1_session_anchored,210,0.055
1,z1_session_anchored,240,0.045
1,z1_session_anchored,270,0.053
1,z1_session_anchored,300,0.053
1,z1_session_anchored,330,0.058
1,z1_session_anchored,360,0.069
1,z1_session_anchored,390,0.006
