signal,signal_label,minutes_from_open,share
0,z0_rolling390,0,0.243
0,z0_rolling390,30,0.135
0,z0_rolling390,60,0.133
0,z0_rolling390,90,0.109
0,z0_rolling390,120,0.082
0,z0_rolling390,150,0.06
0,z0_rolling390,180,0.039
0,z0_rolling390,210,0.037
0,z0_rolling390,240,0.031
0,z0_rolling390,270,0.028
0,z0_rolling390,300,0.024
0,z0_rolling390,330,0.029
0,z0_rolling390,360,0.046
0,z0_rolling390,390,0.003
1,z1_session_anchored,30,0.175
1,z1_session_anchored,60,0.13
1,z1_session_anchored,90,0.108
1,z1_session_anchored,120,0.076
1,z1_session_anchored,150,0.069
1,z1_session_anchored,180,0.057
1,z1_session_anchored,210,0.061
1,z1_session_anchored,240,0.058
1,z1_session_anchored,270,0.067
1,z1_session_anchored,300,0.059
1,z1_session_anchored,330,0.063
1,z1_session_anchored,360,0.074
1,z1_session_anchored,390,0.004
