signal,signal_label,minutes_from_open,share
0,z0_rolling390,0,0.127
0,z0_rolling390,30,0.134
0,z0_rolling390,60,0.14
0,z0_rolling390,90,0.1
0,z0_rolling390,120,0.073
0,z0_rolling390,150,0.06
0,z0_rolling390,180,0.053
0,z0_rolling390,210,0.049
0,z0_rolling390,240,0.048
0,z0_rolling390,270,0.048
0,z0_rolling390,300,0.045
0,z0_rolling390,330,0.051
0,z0_rolling390,360,0.067
0,z0_rolling390,390,0.004
1,z1_session_anchored,30,0.098
1,z1_session_anchored,60,0.093
1,z1_session_anchored,90,0.09
1,z1_session_anchored,120,0.086
1,z1_session_anchored,150,0.087
1,z1_session_anchored,180,0.079
1,z1_session_anchored,210,0.078
1,z1_session_anchored,240,0.082
1,z1_session_anchored,270,0.079
1,z1_session_anchored,300,0.078
1,z1_session_anchored,330,0.075
1,z1_session_anchored,360,0.072
1,z1_session_anchored,390,0.003
