signal,signal_label,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
0,z0_rolling390,S1,1.5,5,0.022,0.034,5.75,0.446,40987.0
0,z0_rolling390,S1,1.5,15,0.032,0.058,5.62,0.479,39708.0
0,z0_rolling390,S1,1.5,30,0.029,0.069,4.34,0.491,38099.0
0,z0_rolling390,S1,1.5,60,0.028,0.103,3.92,0.502,35222.0
0,z0_rolling390,S1,1.5,120,0.019,0.173,4.28,0.502,29939.0
0,z0_rolling390,S1,2.0,5,0.028,0.053,6.71,0.458,24911.0
0,z0_rolling390,S1,2.0,15,0.028,0.079,5.87,0.481,24308.0
0,z0_rolling390,S1,2.0,30,0.022,0.104,5.4,0.489,23527.0
0,z0_rolling390,S1,2.0,60,0.02,0.186,6.19,0.502,22199.0
0,z0_rolling390,S1,2.0,120,-0.001,0.286,6.59,0.501,19751.0
0,z0_rolling390,S1,2.5,5,0.022,0.061,5.73,0.461,12216.0
0,z0_rolling390,S1,2.5,15,0.025,0.119,6.98,0.479,12007.0
0,z0_rolling390,S1,2.5,30,0.009,0.153,5.97,0.489,11766.0
0,z0_rolling390,S1,2.5,60,0.017,0.248,7.26,0.491,11337.0
0,z0_rolling390,S1,2.5,120,-0.007,0.253,5.29,0.499,10405.0
0,z0_rolling390,S1,3.0,5,0.013,0.077,5.29,0.456,5887.0
0,z0_rolling390,S1,3.0,15,0.005,0.115,4.95,0.476,5851.0
0,z0_rolling390,S1,3.0,30,0.01,0.15,4.99,0.49,5794.0
0,z0_rolling390,S1,3.0,60,0.022,0.232,5.37,0.492,5692.0
0,z0_rolling390,S1,3.0,120,-0.029,0.197,3.27,0.5,5421.0
0,z0_rolling390,S2,1.5,5,0.026,0.035,5.47,0.449,42377.0
0,z0_rolling390,S2,1.5,15,0.036,0.064,5.9,0.483,41116.0
0,z0_rolling390,S2,1.5,30,0.028,0.053,2.98,0.489,39436.0
0,z0_rolling390,S2,1.5,60,0.017,0.084,3.09,0.493,36448.0
0,z0_rolling390,S2,1.5,120,0.009,0.162,4.2,0.498,30819.0
0,z0_rolling390,S2,2.0,5,0.034,0.05,5.5,0.458,24510.0
0,z0_rolling390,S2,2.0,15,0.038,0.077,5.29,0.482,23903.0
0,z0_rolling390,S2,2.0,30,0.041,0.112,5.19,0.499,23159.0
0,z0_rolling390,S2,2.0,60,0.047,0.194,5.98,0.501,21913.0
0,z0_rolling390,S2,2.0,120,0.025,0.231,5.48,0.503,19497.0
0,z0_rolling390,S2,2.5,5,0.033,0.044,3.26,0.464,11980.0
0,z0_rolling390,S2,2.5,15,0.044,0.097,4.99,0.49,11827.0
0,z0_rolling390,S2,2.5,30,0.04,0.131,4.64,0.499,11578.0
0,z0_rolling390,S2,2.5,60,0.056,0.219,5.47,0.498,11109.0
0,z0_rolling390,S2,2.5,120,0.051,0.258,5.14,0.509,10266.0
0,z0_rolling390,S2,3.0,5,0.037,0.067,3.87,0.476,5441.0
0,z0_rolling390,S2,3.0,15,0.04,0.131,5.19,0.483,5400.0
0,z0_rolling390,S2,3.0,30,0.027,0.137,3.79,0.494,5359.0
0,z0_rolling390,S2,3.0,60,0.018,0.179,3.57,0.478,5224.0
0,z0_rolling390,S2,3.0,120,-0.03,0.16,2.48,0.491,4975.0
0,z0_rolling390,S3,1.5,5,0.033,0.047,6.47,0.454,40325.0
0,z0_rolling390,S3,1.5,15,0.041,0.092,7.73,0.479,39248.0
0,z0_rolling390,S3,1.5,30,0.038,0.126,6.61,0.49,37851.0
0,z0_rolling390,S3,1.5,60,0.025,0.175,5.89,0.492,35400.0
0,z0_rolling390,S3,1.5,120,-0.007,0.237,5.26,0.489,30470.0
0,z0_rolling390,S3,2.0,5,0.027,0.064,6.92,0.459,24510.0
0,z0_rolling390,S3,2.0,15,0.027,0.112,7.71,0.482,24024.0
0,z0_rolling390,S3,2.0,30,0.028,0.17,7.25,0.491,23445.0
0,z0_rolling390,S3,2.0,60,0.006,0.253,7.18,0.487,22402.0
0,z0_rolling390,S3,2.0,120,-0.017,0.391,7.88,0.489,20474.0
0,z0_rolling390,S3,2.5,5,0.035,0.097,7.47,0.465,12449.0
0,z0_rolling390,S3,2.5,15,0.046,0.173,8.01,0.489,12325.0
0,z0_rolling390,S3,2.5,30,0.052,0.256,8.75,0.501,12157.0
0,z0_rolling390,S3,2.5,60,0.044,0.38,9.44,0.492,11848.0
0,z0_rolling390,S3,2.5,120,-0.002,0.421,7.58,0.492,11232.0
0,z0_rolling390,S3,3.0,5,0.025,0.08,4.71,0.464,6058.0
0,z0_rolling390,S3,3.0,15,0.05,0.167,6.59,0.491,6033.0
0,z0_rolling390,S3,3.0,30,0.081,0.282,8.17,0.508,5997.0
0,z0_rolling390,S3,3.0,60,0.058,0.335,7.13,0.498,5898.0
0,z0_rolling390,S3,3.0,120,-0.009,0.359,5.64,0.487,5702.0
1,z1_session_anchored,S1,1.5,5,0.028,0.025,5.49,0.452,61590.0
1,z1_session_anchored,S1,1.5,15,0.035,0.024,2.55,0.481,60100.0
1,z1_session_anchored,S1,1.5,30,0.04,0.027,1.85,0.496,57953.0
1,z1_session_anchored,S1,1.5,60,0.04,0.049,2.46,0.503,53545.0
1,z1_session_anchored,S1,1.5,120,0.022,0.079,2.6,0.502,44108.0
1,z1_session_anchored,S1,2.0,5,0.046,0.051,8.26,0.462,32786.0
1,z1_session_anchored,S1,2.0,15,0.05,0.058,5.57,0.492,31949.0
1,z1_session_anchored,S1,2.0,30,0.059,0.078,4.62,0.505,30755.0
1,z1_session_anchored,S1,2.0,60,0.072,0.13,5.4,0.514,28244.0
1,z1_session_anchored,S1,2.0,120,0.05,0.163,4.72,0.513,22973.0
1,z1_session_anchored,S1,2.5,5,0.045,0.072,7.24,0.468,12806.0
1,z1_session_anchored,S1,2.5,15,0.059,0.105,7.16,0.497,12480.0
1,z1_session_anchored,S1,2.5,30,0.059,0.116,5.53,0.514,11977.0
1,z1_session_anchored,S1,2.5,60,0.071,0.158,5.5,0.524,10972.0
1,z1_session_anchored,S1,2.5,120,0.073,0.194,4.82,0.517,8851.0
1,z1_session_anchored,S1,3.0,5,0.043,0.09,5.32,0.473,3931.0
1,z1_session_anchored,S1,3.0,15,0.025,0.088,3.66,0.494,3855.0
1,z1_session_anchored,S1,3.0,30,0.031,0.131,3.95,0.521,3729.0
1,z1_session_anchored,S1,3.0,60,-0.002,0.11,2.56,0.508,3434.0
1,z1_session_anchored,S1,3.0,120,-0.051,0.163,2.63,0.505,2754.0
1,z1_session_anchored,S2,1.5,5,0.031,0.032,7.99,0.452,62097.0
1,z1_session_anchored,S2,1.5,15,0.037,0.029,3.65,0.481,60687.0
1,z1_session_anchored,S2,1.5,30,0.042,0.034,2.73,0.498,58552.0
1,z1_session_anchored,S2,1.5,60,0.049,0.055,2.69,0.505,54215.0
