stat,point,ci_lo,ci_hi,n_pairs
ab_1,0.033,0.0205,0.0469,680740.0
ab_2,0.0006,-0.0084,0.0088,678960.0
ab_3,-0.0003,-0.0081,0.0068,677180.0
ab_4,0.0001,-0.0072,0.0069,675400.0
ab_5,-0.0083,-0.0229,0.002,673620.0
ba_1,0.0041,-0.0097,0.0159,680740.0
ba_2,-0.0076,-0.0192,0.0019,678960.0
ba_3,-0.0042,-0.0107,0.0021,677180.0
ba_4,0.0057,-0.002,0.0134,675400.0
ba_5,-0.0015,-0.0089,0.0067,673620.0
asym_1,0.0289,0.0135,0.0473,680740.0
asym_2,0.0082,-0.0051,0.0223,678960.0
asym_3,0.004,-0.0026,0.0122,677180.0
asym_4,-0.0056,-0.0146,0.0018,675400.0
asym_5,-0.0067,-0.0193,0.0033,673620.0
c0,0.7878,0.7682,0.8036,682520.0
