signal,signal_label,spec,entry_z,delay,matched,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
0,z0_rolling390,S1,1.5,1,False,5,0.086,-0.626,-3.73,0.499,14397.0
0,z0_rolling390,S1,1.5,1,True,5,0.08,-0.648,-3.74,0.499,13902.0
0,z0_rolling390,S1,1.5,2,True,5,0.135,-0.463,-2.75,0.499,13902.0
0,z0_rolling390,S1,1.5,5,True,5,-0.036,-0.433,-3.16,0.499,13902.0
0,z0_rolling390,S1,1.5,15,True,5,0.073,-0.173,-1.38,0.504,13902.0
0,z0_rolling390,S1,1.5,1,False,15,0.103,-1.293,-4.6,0.499,14007.0
0,z0_rolling390,S1,1.5,1,True,15,0.094,-1.365,-4.75,0.5,13595.0
0,z0_rolling390,S1,1.5,2,True,15,0.082,-1.318,-4.72,0.501,13595.0
0,z0_rolling390,S1,1.5,5,True,15,0.058,-0.955,-3.77,0.5,13595.0
0,z0_rolling390,S1,1.5,15,True,15,-0.002,-0.595,-2.47,0.497,13595.0
0,z0_rolling390,S1,1.5,1,False,30,0.027,-1.857,-4.55,0.498,13569.0
0,z0_rolling390,S1,1.5,1,True,30,0.05,-1.831,-4.41,0.498,13206.0
0,z0_rolling390,S1,1.5,2,True,30,0.102,-1.665,-4.04,0.504,13206.0
0,z0_rolling390,S1,1.5,5,True,30,0.081,-1.305,-3.39,0.499,13206.0
0,z0_rolling390,S1,1.5,15,True,30,0.176,-0.722,-1.91,0.505,13206.0
0,z0_rolling390,S1,1.5,1,False,60,0.24,-1.969,-3.36,0.504,12817.0
0,z0_rolling390,S1,1.5,1,True,60,0.244,-1.884,-3.18,0.504,12511.0
0,z0_rolling390,S1,1.5,2,True,60,0.255,-1.716,-2.93,0.505,12511.0
0,z0_rolling390,S1,1.5,5,True,60,0.153,-1.354,-2.43,0.5,12511.0
0,z0_rolling390,S1,1.5,15,True,60,0.142,-0.667,-1.3,0.5,12511.0
0,z0_rolling390,S1,1.5,1,False,120,0.023,-1.075,-1.4,0.499,11408.0
0,z0_rolling390,S1,1.5,1,True,120,-0.044,-1.08,-1.39,0.499,11053.0
0,z0_rolling390,S1,1.5,2,True,120,-0.004,-0.908,-1.18,0.497,11053.0
0,z0_rolling390,S1,1.5,5,True,120,-0.134,-0.599,-0.81,0.502,11053.0
0,z0_rolling390,S1,1.5,15,True,120,-0.009,0.134,0.19,0.503,11053.0
0,z0_rolling390,S1,2.0,1,False,5,0.178,-0.309,-1.49,0.499,9867.0
0,z0_rolling390,S1,2.0,1,True,5,0.186,-0.267,-1.25,0.499,9604.0
0,z0_rolling390,S1,2.0,2,True,5,0.178,-0.232,-1.14,0.504,9604.0
0,z0_rolling390,S1,2.0,5,True,5,-0.026,-0.292,-1.62,0.493,9604.0
0,z0_rolling390,S1,2.0,15,True,5,-0.127,-0.168,-0.95,0.488,9604.0
0,z0_rolling390,S1,2.0,1,False,15,-0.062,-0.762,-2.17,0.495,9662.0
0,z0_rolling390,S1,2.0,1,True,15,-0.041,-0.716,-2.02,0.495,9482.0
0,z0_rolling390,S1,2.0,2,True,15,-0.036,-0.648,-1.91,0.496,9482.0
0,z0_rolling390,S1,2.0,5,True,15,-0.246,-0.558,-1.78,0.493,9482.0
0,z0_rolling390,S1,2.0,15,True,15,-0.056,-0.001,-0.0,0.498,9482.0
0,z0_rolling390,S1,2.0,1,False,30,0.025,-0.491,-0.96,0.498,9471.0
0,z0_rolling390,S1,2.0,1,True,30,0.066,-0.429,-0.83,0.498,9320.0
0,z0_rolling390,S1,2.0,2,True,30,0.031,-0.441,-0.87,0.496,9320.0
0,z0_rolling390,S1,2.0,5,True,30,-0.113,-0.195,-0.41,0.502,9320.0
0,z0_rolling390,S1,2.0,15,True,30,-0.055,0.503,1.12,0.501,9320.0
0,z0_rolling390,S1,2.0,1,False,60,-0.017,0.699,1.01,0.496,9177.0
0,z0_rolling390,S1,2.0,1,True,60,-0.017,0.877,1.24,0.497,9055.0
0,z0_rolling390,S1,2.0,2,True,60,-0.079,0.935,1.36,0.496,9055.0
0,z0_rolling390,S1,2.0,5,True,60,-0.154,1.27,1.89,0.5,9055.0
0,z0_rolling390,S1,2.0,15,True,60,-0.062,1.693,2.78,0.502,9055.0
0,z0_rolling390,S1,2.0,1,False,120,0.219,2.645,3.08,0.5,8642.0
0,z0_rolling390,S1,2.0,1,True,120,0.173,2.602,3.03,0.498,8528.0
0,z0_rolling390,S1,2.0,2,True,120,0.189,2.646,3.16,0.501,8528.0
0,z0_rolling390,S1,2.0,5,True,120,0.082,2.891,3.54,0.506,8528.0
0,z0_rolling390,S1,2.0,15,True,120,0.261,3.299,4.3,0.504,8528.0
0,z0_rolling390,S1,2.5,1,False,5,0.205,0.221,0.71,0.496,6163.0
0,z0_rolling390,S1,2.5,1,True,5,0.209,0.257,0.81,0.496,6070.0
0,z0_rolling390,S1,2.5,2,True,5,-0.057,0.04,0.14,0.491,6070.0
0,z0_rolling390,S1,2.5,5,True,5,0.222,0.302,1.29,0.5,6070.0
0,z0_rolling390,S1,2.5,15,True,5,0.146,0.54,2.26,0.5,6070.0
0,z0_rolling390,S1,2.5,1,False,15,0.436,1.143,2.28,0.509,6084.0
0,z0_rolling390,S1,2.5,1,True,15,0.449,1.195,2.36,0.509,6029.0
0,z0_rolling390,S1,2.5,2,True,15,0.242,1.103,2.33,0.506,6029.0
0,z0_rolling390,S1,2.5,5,True,15,0.37,1.315,3.16,0.506,6029.0
0,z0_rolling390,S1,2.5,15,True,15,0.236,1.209,2.93,0.504,6029.0
0,z0_rolling390,S1,2.5,1,False,30,0.677,2.403,3.59,0.512,6024.0
0,z0_rolling390,S1,2.5,1,True,30,0.703,2.427,3.61,0.513,5986.0
0,z0_rolling390,S1,2.5,2,True,30,0.455,2.16,3.42,0.505,5986.0
0,z0_rolling390,S1,2.5,5,True,30,0.53,2.273,3.9,0.502,5986.0
