window,window_name,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events,label
C,S-CASH,1.5,5,-0.009,-0.024,-1.0,0.466,3676.0,EXPLORATORY_open_subset
C,S-CASH,1.5,15,-0.008,-0.072,-1.76,0.481,3676.0,EXPLORATORY_open_subset
C,S-CASH,1.5,30,-0.016,-0.082,-1.73,0.487,3676.0,EXPLORATORY_open_subset
C,S-CASH,1.5,60,-0.017,-0.094,-1.61,0.487,3676.0,EXPLORATORY_open_subset
C,S-CASH,1.5,120,0.003,-0.109,-1.45,0.479,3676.0,EXPLORATORY_open_subset
C,S-CASH,2.0,5,-0.047,-0.016,-0.61,0.46,3301.0,EXPLORATORY_open_subset
C,S-CASH,2.0,15,-0.047,-0.052,-1.18,0.477,3301.0,EXPLORATORY_open_subset
C,S-CASH,2.0,30,-0.052,-0.061,-1.14,0.481,3301.0,EXPLORATORY_open_subset
C,S-CASH,2.0,60,-0.074,-0.089,-1.39,0.482,3301.0,EXPLORATORY_open_subset
C,S-CASH,2.0,120,-0.111,-0.105,-1.31,0.481,3301.0,EXPLORATORY_open_subset
C,S-CASH,2.5,5,-0.015,0.05,1.62,0.465,2839.0,EXPLORATORY_open_subset
C,S-CASH,2.5,15,-0.037,0.019,0.39,0.475,2839.0,EXPLORATORY_open_subset
C,S-CASH,2.5,30,-0.052,0.027,0.45,0.48,2839.0,EXPLORATORY_open_subset
C,S-CASH,2.5,60,-0.101,-0.029,-0.39,0.473,2839.0,EXPLORATORY_open_subset
C,S-CASH,2.5,120,-0.121,-0.048,-0.53,0.464,2839.0,EXPLORATORY_open_subset
C,S-CASH,3.0,5,-0.013,0.063,1.79,0.465,2117.0,EXPLORATORY_open_subset
C,S-CASH,3.0,15,-0.023,0.086,1.55,0.468,2117.0,EXPLORATORY_open_subset
C,S-CASH,3.0,30,-0.002,0.114,1.68,0.479,2117.0,EXPLORATORY_open_subset
C,S-CASH,3.0,60,-0.044,0.058,0.72,0.475,2117.0,EXPLORATORY_open_subset
C,S-CASH,3.0,120,-0.016,0.082,0.81,0.478,2117.0,EXPLORATORY_open_subset
R,S-RTH,1.5,5,-0.002,-0.001,-0.05,0.466,3579.0,EXPLORATORY_open_subset
R,S-RTH,1.5,15,-0.01,-0.031,-1.02,0.486,3579.0,EXPLORATORY_open_subset
R,S-RTH,1.5,30,-0.021,-0.072,-1.71,0.485,3579.0,EXPLORATORY_open_subset
R,S-RTH,1.5,60,-0.032,-0.049,-0.88,0.481,3579.0,EXPLORATORY_open_subset
R,S-RTH,1.5,120,-0.085,-0.094,-1.35,0.481,3573.0,EXPLORATORY_open_subset
R,S-RTH,2.0,5,0.003,0.031,1.44,0.477,3351.0,EXPLORATORY_open_subset
R,S-RTH,2.0,15,0.016,0.044,1.38,0.487,3351.0,EXPLORATORY_open_subset
R,S-RTH,2.0,30,-0.01,-0.004,-0.09,0.483,3351.0,EXPLORATORY_open_subset
R,S-RTH,2.0,60,-0.034,0.009,0.16,0.481,3351.0,EXPLORATORY_open_subset
R,S-RTH,2.0,120,-0.111,-0.036,-0.51,0.469,3348.0,EXPLORATORY_open_subset
R,S-RTH,2.5,5,0.008,0.043,2.09,0.469,2854.0,EXPLORATORY_open_subset
R,S-RTH,2.5,15,0.008,0.059,1.74,0.482,2854.0,EXPLORATORY_open_subset
R,S-RTH,2.5,30,0.0,0.073,1.56,0.487,2854.0,EXPLORATORY_open_subset
R,S-RTH,2.5,60,-0.051,0.065,1.07,0.484,2854.0,EXPLORATORY_open_subset
R,S-RTH,2.5,120,-0.114,0.024,0.31,0.475,2850.0,EXPLORATORY_open_subset
R,S-RTH,3.0,5,0.018,0.062,2.47,0.474,2346.0,EXPLORATORY_open_subset
R,S-RTH,3.0,15,-0.013,0.048,1.23,0.492,2346.0,EXPLORATORY_open_subset
R,S-RTH,3.0,30,0.013,0.079,1.45,0.499,2346.0,EXPLORATORY_open_subset
R,S-RTH,3.0,60,0.018,0.108,1.53,0.494,2346.0,EXPLORATORY_open_subset
R,S-RTH,3.0,120,0.001,0.074,0.82,0.493,2344.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,5,0.02,0.04,2.07,0.475,3173.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,15,0.004,0.014,0.46,0.49,3173.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,30,-0.032,-0.022,-0.51,0.482,3173.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,60,-0.049,0.002,0.03,0.468,3173.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,120,-0.096,-0.044,-0.6,0.478,3169.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,5,-0.001,0.032,1.55,0.464,2646.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,15,-0.007,0.023,0.68,0.478,2646.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,30,0.009,0.035,0.71,0.492,2646.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,60,-0.046,0.028,0.45,0.481,2646.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,120,-0.083,0.005,0.06,0.484,2641.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,5,0.018,0.048,2.0,0.483,2178.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,15,0.022,0.054,1.41,0.497,2178.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,30,-0.003,0.035,0.63,0.5,2178.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,60,0.018,0.087,1.22,0.51,2178.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,120,0.013,0.042,0.49,0.501,2173.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,5,0.04,0.068,2.62,0.493,1664.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,15,0.055,0.093,2.08,0.508,1664.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,30,0.076,0.151,2.31,0.511,1664.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,60,0.072,0.173,2.09,0.508,1664.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,120,-0.022,0.136,1.32,0.483,1659.0,EXPLORATORY_open_subset
H,S-HALF,1.5,5,-0.025,-0.034,-1.58,0.445,3537.0,EXPLORATORY_open_subset
H,S-HALF,1.5,15,-0.007,-0.04,-1.41,0.484,3537.0,EXPLORATORY_open_subset
H,S-HALF,1.5,30,0.011,-0.012,-0.34,0.487,3537.0,EXPLORATORY_open_subset
H,S-HALF,1.5,60,-0.05,-0.13,-2.69,0.477,3537.0,EXPLORATORY_open_subset
H,S-HALF,1.5,120,-0.011,-0.039,-0.62,0.488,3536.0,EXPLORATORY_open_subset
H,S-HALF,2.0,5,-0.004,-0.018,-0.89,0.463,3372.0,EXPLORATORY_open_subset
H,S-HALF,2.0,15,-0.009,-0.024,-0.82,0.488,3372.0,EXPLORATORY_open_subset
H,S-HALF,2.0,30,-0.005,-0.0,-0.01,0.473,3372.0,EXPLORATORY_open_subset
H,S-HALF,2.0,60,-0.097,-0.108,-2.23,0.463,3372.0,EXPLORATORY_open_subset
H,S-HALF,2.0,120,-0.07,-0.05,-0.79,0.476,3371.0,EXPLORATORY_open_subset
H,S-HALF,2.5,5,0.001,0.007,0.31,0.461,2981.0,EXPLORATORY_open_subset
H,S-HALF,2.5,15,0.009,0.017,0.53,0.488,2981.0,EXPLORATORY_open_subset
H,S-HALF,2.5,30,-0.038,0.012,0.3,0.479,2981.0,EXPLORATORY_open_subset
H,S-HALF,2.5,60,-0.165,-0.108,-2.04,0.457,2975.0,EXPLORATORY_open_subset
