window,window_name,series,base_step,q,vr,ci_lo,ci_hi,p_lt_1
C,S-CASH,LEGA,1,2,0.9358,0.9251,0.9484,0.0
C,S-CASH,LEGA,1,5,0.8804,0.8622,0.8972,0.0
C,S-CASH,LEGA,1,15,0.8798,0.8541,0.9074,0.0
C,S-CASH,LEGA,1,30,0.8575,0.8224,0.8922,0.0
C,S-CASH,LEGA,1,60,0.8778,0.8236,0.9309,0.0
C,S-CASH,LEGA,1,120,0.8832,0.8273,0.9355,0.0
C,S-CASH,LEGA,15,2,0.9747,0.9448,1.0066,0.052
C,S-CASH,LEGA,15,5,0.9584,0.91,1.0057,0.045
C,S-CASH,LEGA,15,15,1.3098,1.2093,1.4265,1.0
C,S-CASH,LEGA,15,30,,,,
C,S-CASH,LEGA,15,60,,,,
C,S-CASH,LEGA,15,120,,,,
C,S-CASH,LEGB,1,2,0.8797,0.8716,0.8903,0.0
C,S-CASH,LEGB,1,5,0.7897,0.7735,0.804,0.0
C,S-CASH,LEGB,1,15,0.7632,0.7415,0.7864,0.0
C,S-CASH,LEGB,1,30,0.7435,0.7142,0.7715,0.0
C,S-CASH,LEGB,1,60,0.7652,0.7242,0.8087,0.0
C,S-CASH,LEGB,1,120,0.7688,0.722,0.8172,0.0
C,S-CASH,LEGB,15,2,0.9742,0.9472,1.0011,0.03
C,S-CASH,LEGB,15,5,0.9676,0.9239,1.009,0.06
C,S-CASH,LEGB,15,15,1.3143,1.2248,1.4172,1.0
C,S-CASH,LEGB,15,30,,,,
C,S-CASH,LEGB,15,60,,,,
C,S-CASH,LEGB,15,120,,,,
C,S-CASH,RES1,1,2,0.5693,0.5647,0.5749,0.0
C,S-CASH,RES1,1,5,0.307,0.2979,0.3184,0.0
C,S-CASH,RES1,1,15,0.1761,0.1684,0.1836,0.0
C,S-CASH,RES1,1,30,0.1451,0.1375,0.1529,0.0
C,S-CASH,RES1,1,60,0.1324,0.1236,0.1432,0.0
C,S-CASH,RES1,1,120,0.1203,0.1087,0.134,0.0
C,S-CASH,RES1,5,2,0.7096,0.6935,0.7244,0.0
C,S-CASH,RES1,5,5,0.4988,0.475,0.5242,0.0
C,S-CASH,RES1,5,15,0.4075,0.3815,0.4325,0.0
C,S-CASH,RES1,5,30,0.4024,0.3737,0.4319,0.0
C,S-CASH,RES1,5,60,0.4018,0.3577,0.4409,0.0
C,S-CASH,RES1,5,120,,,,
C,S-CASH,RES1,15,2,0.8244,0.7973,0.847,0.0
C,S-CASH,RES1,15,5,0.7105,0.6726,0.7459,0.0
C,S-CASH,RES1,15,15,0.7585,0.6904,0.8308,0.0
C,S-CASH,RES1,15,30,,,,
C,S-CASH,RES1,15,60,,,,
C,S-CASH,RES1,15,120,,,,
C,S-CASH,RES2,1,2,0.5739,0.5692,0.5797,0.0
C,S-CASH,RES2,1,5,0.3122,0.3046,0.3205,0.0
C,S-CASH,RES2,1,15,0.1932,0.1842,0.2022,0.0
C,S-CASH,RES2,1,30,0.1608,0.1521,0.1699,0.0
C,S-CASH,RES2,1,60,0.1503,0.1395,0.162,0.0
C,S-CASH,RES2,1,120,0.1394,0.125,0.1578,0.0
S,S-SETTLE,RES1,1,2,0.5629,0.5578,0.5683,0.0
