window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
C,S-CASH,S1,1.5,5,0.006,0.007,1.14,0.454,46440.0
C,S-CASH,S1,1.5,15,0.013,0.027,1.98,0.479,45014.0
C,S-CASH,S1,1.5,30,-0.005,0.025,1.4,0.486,43185.0
C,S-CASH,S1,1.5,60,-0.014,0.052,1.73,0.489,40098.0
C,S-CASH,S1,1.5,120,-0.021,0.117,2.76,0.491,34256.0
C,S-CASH,S1,2.0,5,0.011,0.024,2.62,0.464,28042.0
C,S-CASH,S1,2.0,15,0.014,0.057,3.35,0.482,27350.0
C,S-CASH,S1,2.0,30,0.003,0.101,4.32,0.49,26548.0
C,S-CASH,S1,2.0,60,0.006,0.203,5.9,0.496,25169.0
C,S-CASH,S1,2.0,120,-0.022,0.304,6.76,0.493,22522.0
C,S-CASH,S1,2.5,5,0.018,0.054,4.33,0.472,13600.0
C,S-CASH,S1,2.5,15,0.009,0.075,3.53,0.487,13343.0
C,S-CASH,S1,2.5,30,0.023,0.155,5.32,0.501,13093.0
C,S-CASH,S1,2.5,60,-0.009,0.241,5.96,0.491,12622.0
C,S-CASH,S1,2.5,120,-0.032,0.324,6.16,0.486,11722.0
C,S-CASH,S1,3.0,5,0.008,0.099,5.43,0.471,5947.0
C,S-CASH,S1,3.0,15,-0.0,0.161,5.28,0.485,5865.0
C,S-CASH,S1,3.0,30,0.008,0.243,6.22,0.493,5750.0
C,S-CASH,S1,3.0,60,0.007,0.285,5.5,0.499,5569.0
C,S-CASH,S1,3.0,120,0.008,0.345,5.33,0.496,5314.0
C,S-CASH,S2,1.5,5,0.015,0.019,2.23,0.457,45256.0
C,S-CASH,S2,1.5,15,0.017,0.023,1.58,0.483,43940.0
C,S-CASH,S2,1.5,30,0.004,0.022,0.99,0.485,42203.0
C,S-CASH,S2,1.5,60,-0.015,0.02,0.53,0.488,39094.0
C,S-CASH,S2,1.5,120,-0.047,0.076,1.63,0.484,33314.0
C,S-CASH,S2,2.0,5,0.023,0.031,3.11,0.466,26588.0
C,S-CASH,S2,2.0,15,0.023,0.025,1.26,0.484,25957.0
C,S-CASH,S2,2.0,30,0.026,0.072,2.77,0.495,25186.0
C,S-CASH,S2,2.0,60,0.024,0.154,4.1,0.496,23893.0
C,S-CASH,S2,2.0,120,-0.019,0.23,4.4,0.492,21325.0
C,S-CASH,S2,2.5,5,0.021,0.059,4.18,0.47,12599.0
C,S-CASH,S2,2.5,15,0.028,0.104,4.09,0.493,12368.0
C,S-CASH,S2,2.5,30,0.053,0.191,5.51,0.51,12114.0
C,S-CASH,S2,2.5,60,0.058,0.285,6.42,0.504,11660.0
C,S-CASH,S2,2.5,120,0.061,0.378,6.14,0.504,10823.0
C,S-CASH,S2,3.0,5,0.015,0.096,4.39,0.473,5501.0
C,S-CASH,S2,3.0,15,0.008,0.134,3.75,0.487,5443.0
C,S-CASH,S2,3.0,30,0.012,0.2,4.48,0.501,5356.0
C,S-CASH,S2,3.0,60,0.041,0.284,4.85,0.496,5158.0
C,S-CASH,S2,3.0,120,0.035,0.307,4.02,0.498,4935.0
C,S-CASH,S3,1.5,5,0.023,0.036,4.44,0.462,42074.0
C,S-CASH,S3,1.5,15,0.021,0.054,3.85,0.482,40880.0
C,S-CASH,S3,1.5,30,0.006,0.067,2.81,0.483,39406.0
C,S-CASH,S3,1.5,60,-0.008,0.124,3.84,0.486,36769.0
C,S-CASH,S3,1.5,120,-0.021,0.218,4.29,0.482,31540.0
C,S-CASH,S3,2.0,5,0.02,0.051,4.73,0.465,25597.0
C,S-CASH,S3,2.0,15,0.032,0.105,5.93,0.487,25098.0
C,S-CASH,S3,2.0,30,0.028,0.16,6.09,0.492,24524.0
C,S-CASH,S3,2.0,60,0.027,0.269,6.59,0.492,23480.0
C,S-CASH,S3,2.0,120,0.037,0.47,8.5,0.491,21188.0
C,S-CASH,S3,2.5,5,0.025,0.095,6.27,0.471,12865.0
C,S-CASH,S3,2.5,15,0.026,0.178,7.13,0.481,12712.0
C,S-CASH,S3,2.5,30,0.025,0.267,8.03,0.491,12499.0
C,S-CASH,S3,2.5,60,0.014,0.405,8.44,0.493,12148.0
C,S-CASH,S3,2.5,120,-0.019,0.539,7.94,0.489,11367.0
C,S-CASH,S3,3.0,5,0.012,0.089,4.56,0.47,5942.0
C,S-CASH,S3,3.0,15,0.029,0.236,7.25,0.485,5885.0
C,S-CASH,S3,3.0,30,-0.004,0.265,6.14,0.492,5832.0
C,S-CASH,S3,3.0,60,-0.005,0.379,6.25,0.49,5693.0
C,S-CASH,S3,3.0,120,-0.02,0.415,5.02,0.491,5381.0
H,S-HALF,S1,1.5,5,0.016,0.026,4.23,0.445,41727.0
H,S-HALF,S1,1.5,15,0.025,0.053,4.35,0.48,40477.0
H,S-HALF,S1,1.5,30,0.022,0.068,3.83,0.491,38807.0
H,S-HALF,S1,1.5,60,0.008,0.076,2.8,0.5,35804.0
H,S-HALF,S1,1.5,120,0.004,0.171,3.91,0.501,30390.0
H,S-HALF,S1,2.0,5,0.027,0.047,5.78,0.459,25563.0
H,S-HALF,S1,2.0,15,0.02,0.068,4.72,0.478,24974.0
H,S-HALF,S1,2.0,30,0.016,0.106,5.05,0.486,24147.0
H,S-HALF,S1,2.0,60,0.008,0.147,4.78,0.494,22829.0
H,S-HALF,S1,2.0,120,-0.027,0.232,5.36,0.499,20342.0
H,S-HALF,S1,2.5,5,0.022,0.059,5.49,0.464,12709.0
H,S-HALF,S1,2.5,15,0.014,0.106,5.74,0.481,12507.0
H,S-HALF,S1,2.5,30,0.005,0.153,6.57,0.491,12232.0
H,S-HALF,S1,2.5,60,-0.017,0.198,6.0,0.488,11804.0
H,S-HALF,S1,2.5,120,-0.052,0.233,4.76,0.489,10841.0
H,S-HALF,S1,3.0,5,0.009,0.06,3.79,0.468,5851.0
H,S-HALF,S1,3.0,15,0.011,0.132,5.61,0.489,5814.0
H,S-HALF,S1,3.0,30,-0.004,0.192,6.56,0.498,5746.0
H,S-HALF,S1,3.0,60,-0.065,0.171,3.93,0.486,5621.0
H,S-HALF,S1,3.0,120,-0.079,0.204,3.32,0.489,5312.0
H,S-HALF,S2,1.5,5,0.026,0.041,5.98,0.452,42869.0
H,S-HALF,S2,1.5,15,0.03,0.057,4.36,0.481,41692.0
H,S-HALF,S2,1.5,30,0.021,0.068,3.61,0.488,40008.0
H,S-HALF,S2,1.5,60,0.006,0.076,2.75,0.492,36887.0
H,S-HALF,S2,1.5,120,-0.01,0.126,3.11,0.492,31087.0
H,S-HALF,S2,2.0,5,0.033,0.05,5.33,0.461,25140.0
H,S-HALF,S2,2.0,15,0.035,0.06,3.9,0.487,24590.0
H,S-HALF,S2,2.0,30,0.031,0.093,4.22,0.495,23795.0
H,S-HALF,S2,2.0,60,0.02,0.157,4.85,0.494,22499.0
H,S-HALF,S2,2.0,120,0.007,0.235,5.26,0.499,19915.0
H,S-HALF,S2,2.5,5,0.027,0.046,3.54,0.463,12188.0
H,S-HALF,S2,2.5,15,0.025,0.083,4.27,0.486,11984.0
H,S-HALF,S2,2.5,30,0.023,0.138,5.0,0.494,11705.0
H,S-HALF,S2,2.5,60,0.02,0.22,5.47,0.491,11341.0
H,S-HALF,S2,2.5,120,-0.002,0.263,4.85,0.498,10441.0
H,S-HALF,S2,3.0,5,0.034,0.072,3.87,0.47,5420.0
H,S-HALF,S2,3.0,15,0.063,0.143,5.36,0.498,5371.0
H,S-HALF,S2,3.0,30,0.036,0.174,4.73,0.497,5285.0
H,S-HALF,S2,3.0,60,0.002,0.179,3.36,0.487,5198.0
H,S-HALF,S2,3.0,120,-0.053,0.195,2.91,0.484,4912.0
H,S-HALF,S3,1.5,5,0.034,0.061,7.98,0.458,40498.0
H,S-HALF,S3,1.5,15,0.037,0.101,8.08,0.479,39456.0
H,S-HALF,S3,1.5,30,0.035,0.141,7.35,0.489,38027.0
