window,window_name,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events,label
C,S-CASH,1.5,5,-0.002,-0.04,-0.69,0.477,2713.0,EXPLORATORY_open_subset
C,S-CASH,1.5,15,-0.042,-0.185,-1.94,0.462,2713.0,EXPLORATORY_open_subset
C,S-CASH,1.5,30,0.015,-0.129,-1.07,0.474,2713.0,EXPLORATORY_open_subset
C,S-CASH,1.5,60,0.108,-0.02,-0.13,0.488,2713.0,EXPLORATORY_open_subset
C,S-CASH,1.5,120,0.252,0.066,0.33,0.489,2713.0,EXPLORATORY_open_subset
C,S-CASH,2.0,5,-0.013,-0.017,-0.27,0.468,2619.0,EXPLORATORY_open_subset
C,S-CASH,2.0,15,0.02,-0.015,-0.14,0.483,2619.0,EXPLORATORY_open_subset
C,S-CASH,2.0,30,0.019,-0.023,-0.18,0.482,2619.0,EXPLORATORY_open_subset
C,S-CASH,2.0,60,0.037,0.003,0.02,0.488,2619.0,EXPLORATORY_open_subset
C,S-CASH,2.0,120,0.069,-0.023,-0.11,0.484,2619.0,EXPLORATORY_open_subset
C,S-CASH,2.5,5,0.013,0.109,1.64,0.47,2176.0,EXPLORATORY_open_subset
C,S-CASH,2.5,15,0.151,0.298,2.58,0.494,2176.0,EXPLORATORY_open_subset
C,S-CASH,2.5,30,0.148,0.228,1.62,0.507,2176.0,EXPLORATORY_open_subset
C,S-CASH,2.5,60,0.075,0.219,1.18,0.491,2176.0,EXPLORATORY_open_subset
C,S-CASH,2.5,120,0.087,0.312,1.34,0.496,2176.0,EXPLORATORY_open_subset
C,S-CASH,3.0,5,0.114,0.289,3.59,0.475,1764.0,EXPLORATORY_open_subset
C,S-CASH,3.0,15,0.291,0.555,4.19,0.489,1764.0,EXPLORATORY_open_subset
C,S-CASH,3.0,30,0.345,0.581,3.51,0.507,1764.0,EXPLORATORY_open_subset
C,S-CASH,3.0,60,0.301,0.529,2.39,0.494,1764.0,EXPLORATORY_open_subset
C,S-CASH,3.0,120,0.095,0.416,1.56,0.489,1764.0,EXPLORATORY_open_subset
R,S-RTH,1.5,5,0.026,0.009,0.2,0.462,2686.0,EXPLORATORY_open_subset
R,S-RTH,1.5,15,-0.04,-0.063,-0.83,0.488,2686.0,EXPLORATORY_open_subset
R,S-RTH,1.5,30,-0.07,-0.049,-0.45,0.483,2686.0,EXPLORATORY_open_subset
R,S-RTH,1.5,60,-0.095,-0.042,-0.31,0.484,2686.0,EXPLORATORY_open_subset
R,S-RTH,1.5,120,-0.04,-0.039,-0.23,0.482,2681.0,EXPLORATORY_open_subset
R,S-RTH,2.0,5,0.059,0.068,1.44,0.469,2687.0,EXPLORATORY_open_subset
R,S-RTH,2.0,15,-0.048,-0.028,-0.35,0.483,2687.0,EXPLORATORY_open_subset
R,S-RTH,2.0,30,-0.102,-0.048,-0.43,0.484,2687.0,EXPLORATORY_open_subset
R,S-RTH,2.0,60,-0.08,0.066,0.48,0.484,2687.0,EXPLORATORY_open_subset
R,S-RTH,2.0,120,-0.046,0.072,0.4,0.481,2687.0,EXPLORATORY_open_subset
R,S-RTH,2.5,5,0.031,0.076,1.57,0.471,2357.0,EXPLORATORY_open_subset
R,S-RTH,2.5,15,0.014,0.015,0.18,0.489,2357.0,EXPLORATORY_open_subset
R,S-RTH,2.5,30,-0.038,-0.042,-0.36,0.484,2357.0,EXPLORATORY_open_subset
R,S-RTH,2.5,60,-0.057,0.042,0.29,0.489,2357.0,EXPLORATORY_open_subset
R,S-RTH,2.5,120,-0.057,0.019,0.1,0.489,2356.0,EXPLORATORY_open_subset
R,S-RTH,3.0,5,0.028,0.113,2.11,0.485,1963.0,EXPLORATORY_open_subset
R,S-RTH,3.0,15,0.033,0.076,0.82,0.5,1963.0,EXPLORATORY_open_subset
R,S-RTH,3.0,30,0.091,0.079,0.62,0.51,1963.0,EXPLORATORY_open_subset
R,S-RTH,3.0,60,0.078,0.138,0.86,0.502,1963.0,EXPLORATORY_open_subset
R,S-RTH,3.0,120,0.148,0.204,0.98,0.505,1962.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,5,0.042,0.036,0.71,0.473,2358.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,15,0.019,-0.003,-0.04,0.486,2358.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,30,0.031,0.034,0.31,0.495,2358.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,60,0.043,0.037,0.27,0.499,2358.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,120,0.236,0.27,1.53,0.503,2358.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,5,0.029,0.047,0.92,0.466,2090.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,15,-0.017,-0.031,-0.35,0.478,2090.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,30,-0.029,-0.104,-0.88,0.491,2090.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,60,0.057,0.04,0.27,0.507,2090.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,120,0.015,0.098,0.5,0.496,2089.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,5,0.054,0.111,1.81,0.486,1743.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,15,0.08,0.051,0.5,0.505,1743.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,30,0.007,0.003,0.02,0.5,1743.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,60,0.095,0.096,0.54,0.508,1743.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,120,-0.006,0.038,0.17,0.494,1740.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,5,0.057,0.153,2.39,0.487,1482.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,15,0.063,0.192,1.71,0.482,1482.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,30,0.136,0.271,1.77,0.513,1482.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,60,0.011,0.236,1.19,0.509,1482.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,120,-0.069,0.09,0.36,0.491,1477.0,EXPLORATORY_open_subset
H,S-HALF,1.5,5,0.03,0.002,0.04,0.469,2617.0,EXPLORATORY_open_subset
H,S-HALF,1.5,15,-0.016,-0.066,-0.96,0.481,2617.0,EXPLORATORY_open_subset
H,S-HALF,1.5,30,-0.054,-0.071,-0.79,0.48,2617.0,EXPLORATORY_open_subset
H,S-HALF,1.5,60,-0.023,-0.042,-0.34,0.479,2616.0,EXPLORATORY_open_subset
H,S-HALF,1.5,120,-0.103,-0.02,-0.13,0.483,2615.0,EXPLORATORY_open_subset
H,S-HALF,2.0,5,-0.017,-0.059,-1.27,0.463,2604.0,EXPLORATORY_open_subset
H,S-HALF,2.0,15,-0.017,-0.066,-0.95,0.485,2604.0,EXPLORATORY_open_subset
H,S-HALF,2.0,30,-0.003,-0.016,-0.17,0.482,2604.0,EXPLORATORY_open_subset
H,S-HALF,2.0,60,-0.022,-0.074,-0.57,0.471,2604.0,EXPLORATORY_open_subset
H,S-HALF,2.0,120,-0.042,-0.042,-0.25,0.488,2603.0,EXPLORATORY_open_subset
H,S-HALF,2.5,5,-0.008,-0.02,-0.41,0.453,2566.0,EXPLORATORY_open_subset
H,S-HALF,2.5,15,0.006,-0.003,-0.04,0.477,2566.0,EXPLORATORY_open_subset
H,S-HALF,2.5,30,0.007,0.04,0.4,0.482,2566.0,EXPLORATORY_open_subset
H,S-HALF,2.5,60,-0.025,-0.035,-0.25,0.464,2566.0,EXPLORATORY_open_subset
H,S-HALF,2.5,120,-0.053,0.044,0.24,0.478,2565.0,EXPLORATORY_open_subset
H,S-HALF,3.0,5,-0.045,0.039,0.73,0.455,2174.0,EXPLORATORY_open_subset
H,S-HALF,3.0,15,-0.053,0.056,0.69,0.465,2174.0,EXPLORATORY_open_subset
H,S-HALF,3.0,30,0.014,0.202,1.87,0.478,2174.0,EXPLORATORY_open_subset
H,S-HALF,3.0,60,-0.045,0.15,0.97,0.467,2174.0,EXPLORATORY_open_subset
H,S-HALF,3.0,120,-0.08,0.13,0.64,0.494,2173.0,EXPLORATORY_open_subset
U,S-USED,1.5,5,-0.034,-0.061,-1.44,0.453,2589.0,EXPLORATORY_open_subset
U,S-USED,1.5,15,-0.052,-0.167,-2.62,0.455,2589.0,EXPLORATORY_open_subset
U,S-USED,1.5,30,-0.052,-0.141,-1.66,0.473,2587.0,EXPLORATORY_open_subset
U,S-USED,1.5,60,-0.113,-0.193,-1.67,0.464,2583.0,EXPLORATORY_open_subset
U,S-USED,1.5,120,-0.264,-0.361,-2.37,0.462,2583.0,EXPLORATORY_open_subset
U,S-USED,2.0,5,-0.051,-0.032,-0.76,0.438,2647.0,EXPLORATORY_open_subset
U,S-USED,2.0,15,-0.124,-0.168,-2.52,0.456,2647.0,EXPLORATORY_open_subset
U,S-USED,2.0,30,-0.114,-0.163,-1.86,0.467,2647.0,EXPLORATORY_open_subset
U,S-USED,2.0,60,-0.187,-0.216,-1.81,0.466,2644.0,EXPLORATORY_open_subset
U,S-USED,2.0,120,-0.312,-0.358,-2.29,0.46,2644.0,EXPLORATORY_open_subset
U,S-USED,2.5,5,0.016,0.045,0.96,0.461,2380.0,EXPLORATORY_open_subset
U,S-USED,2.5,15,-0.076,-0.084,-1.24,0.466,2380.0,EXPLORATORY_open_subset
U,S-USED,2.5,30,-0.059,-0.058,-0.61,0.485,2380.0,EXPLORATORY_open_subset
U,S-USED,2.5,60,-0.174,-0.081,-0.64,0.472,2379.0,EXPLORATORY_open_subset
U,S-USED,2.5,120,-0.277,-0.252,-1.5,0.48,2379.0,EXPLORATORY_open_subset
U,S-USED,3.0,5,0.029,0.086,1.78,0.467,2077.0,EXPLORATORY_open_subset
U,S-USED,3.0,15,-0.016,0.091,1.2,0.474,2077.0,EXPLORATORY_open_subset
U,S-USED,3.0,30,-0.028,0.07,0.65,0.494,2077.0,EXPLORATORY_open_subset
U,S-USED,3.0,60,-0.036,0.136,0.99,0.485,2076.0,EXPLORATORY_open_subset
U,S-USED,3.0,120,-0.102,0.016,0.09,0.5,2076.0,EXPLORATORY_open_subset
