window,window_name,series,base_step,q,vr,ci_lo,ci_hi,p_lt_1
C,S-CASH,LEGA,1,2,0.8797,0.8716,0.8903,0.0
C,S-CASH,LEGA,1,5,0.7898,0.7735,0.8041,0.0
C,S-CASH,LEGA,1,15,0.7632,0.7416,0.7864,0.0
C,S-CASH,LEGA,1,30,0.7435,0.7142,0.7716,0.0
C,S-CASH,LEGA,1,60,0.7652,0.7242,0.8086,0.0
C,S-CASH,LEGA,1,120,0.7688,0.722,0.8172,0.0
C,S-CASH,LEGA,15,2,0.9742,0.9472,1.0012,0.03
C,S-CASH,LEGA,15,5,0.9676,0.9239,1.009,0.06
C,S-CASH,LEGA,15,15,1.3142,1.2248,1.4171,1.0
C,S-CASH,LEGA,15,30,,,,
C,S-CASH,LEGA,15,60,,,,
C,S-CASH,LEGA,15,120,,,,
C,S-CASH,LEGB,1,2,0.9138,0.9056,0.9223,0.0
C,S-CASH,LEGB,1,5,0.8502,0.8358,0.8635,0.0
C,S-CASH,LEGB,1,15,0.831,0.8084,0.8506,0.0
C,S-CASH,LEGB,1,30,0.8194,0.7905,0.8505,0.0
C,S-CASH,LEGB,1,60,0.843,0.8021,0.8923,0.0
C,S-CASH,LEGB,1,120,0.8432,0.7976,0.8885,0.0
C,S-CASH,LEGB,15,2,0.986,0.9586,1.0108,0.142
C,S-CASH,LEGB,15,5,0.9728,0.9319,1.0141,0.087
C,S-CASH,LEGB,15,15,1.2705,1.1851,1.3787,1.0
C,S-CASH,LEGB,15,30,,,,
C,S-CASH,LEGB,15,60,,,,
C,S-CASH,LEGB,15,120,,,,
C,S-CASH,RES1,1,2,0.6254,0.617,0.634,0.0
C,S-CASH,RES1,1,5,0.3938,0.3791,0.4134,0.0
C,S-CASH,RES1,1,15,0.2817,0.2677,0.2954,0.0
C,S-CASH,RES1,1,30,0.2517,0.2362,0.2673,0.0
C,S-CASH,RES1,1,60,0.2345,0.2165,0.2534,0.0
C,S-CASH,RES1,1,120,0.2319,0.2118,0.259,0.0
C,S-CASH,RES1,5,2,0.8029,0.7903,0.8163,0.0
C,S-CASH,RES1,5,5,0.6533,0.6279,0.6833,0.0
C,S-CASH,RES1,5,15,0.5759,0.5379,0.6122,0.0
C,S-CASH,RES1,5,30,0.6052,0.5657,0.6563,0.0
C,S-CASH,RES1,5,60,0.5992,0.5274,0.6669,0.0
C,S-CASH,RES1,5,120,,,,
C,S-CASH,RES1,15,2,0.8935,0.8655,0.9205,0.0
C,S-CASH,RES1,15,5,0.8053,0.7619,0.8458,0.0
C,S-CASH,RES1,15,15,0.878,0.8077,0.9642,0.0
C,S-CASH,RES1,15,30,,,,
C,S-CASH,RES1,15,60,,,,
C,S-CASH,RES1,15,120,,,,
C,S-CASH,RES2,1,2,0.6409,0.6332,0.6494,0.0
C,S-CASH,RES2,1,5,0.4169,0.4029,0.4333,0.0
C,S-CASH,RES2,1,15,0.3163,0.2994,0.3343,0.0
C,S-CASH,RES2,1,30,0.2812,0.2672,0.2936,0.0
C,S-CASH,RES2,1,60,0.2748,0.2584,0.2952,0.0
C,S-CASH,RES2,1,120,0.2723,0.2495,0.2979,0.0
S,S-SETTLE,RES1,1,2,0.6138,0.6052,0.6236,0.0
S,S-SETTLE,RES1,1,5,0.3715,0.3548,0.3896,0.0
S,S-SETTLE,RES1,1,15,0.2557,0.2406,0.2724,0.0
S,S-SETTLE,RES1,1,30,0.2283,0.2112,0.2498,0.0
S,S-SETTLE,RES1,1,60,0.2134,0.1952,0.2308,0.0
S,S-SETTLE,RES1,1,120,0.2119,0.1914,0.2345,0.0
S,S-SETTLE,RES1,5,2,0.7757,0.7594,0.7931,0.0
S,S-SETTLE,RES1,5,5,0.6235,0.6009,0.6457,0.0
