window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
C,S-CASH,S1,1.5,5,0.032,0.032,1.55,0.464,32988.0
C,S-CASH,S1,1.5,15,0.038,0.029,0.85,0.487,31947.0
C,S-CASH,S1,1.5,30,0.037,0.045,0.85,0.491,30601.0
C,S-CASH,S1,1.5,60,0.048,0.127,1.61,0.494,28369.0
C,S-CASH,S1,1.5,120,0.105,0.318,2.82,0.498,24044.0
C,S-CASH,S1,2.0,5,0.029,0.048,2.0,0.468,20327.0
C,S-CASH,S1,2.0,15,0.048,0.151,3.58,0.492,19775.0
C,S-CASH,S1,2.0,30,0.027,0.228,3.61,0.491,19207.0
C,S-CASH,S1,2.0,60,0.001,0.464,5.09,0.494,18263.0
C,S-CASH,S1,2.0,120,0.023,0.842,6.78,0.497,16347.0
C,S-CASH,S1,2.5,5,0.031,0.081,2.48,0.476,10091.0
C,S-CASH,S1,2.5,15,0.07,0.265,4.54,0.495,9907.0
C,S-CASH,S1,2.5,30,0.094,0.475,6.21,0.508,9706.0
C,S-CASH,S1,2.5,60,0.09,0.769,7.08,0.509,9370.0
C,S-CASH,S1,2.5,120,0.09,1.014,6.91,0.502,8736.0
C,S-CASH,S1,3.0,5,0.067,0.269,5.59,0.48,4689.0
C,S-CASH,S1,3.0,15,0.141,0.537,6.71,0.506,4640.0
C,S-CASH,S1,3.0,30,0.254,0.769,7.12,0.526,4568.0
C,S-CASH,S1,3.0,60,0.231,0.959,6.52,0.52,4451.0
C,S-CASH,S1,3.0,120,0.264,1.044,5.66,0.515,4242.0
C,S-CASH,S2,1.5,5,0.025,0.042,2.17,0.462,32904.0
C,S-CASH,S2,1.5,15,0.009,-0.011,-0.3,0.484,31930.0
C,S-CASH,S2,1.5,30,-0.004,0.0,0.01,0.487,30660.0
C,S-CASH,S2,1.5,60,-0.014,-0.005,-0.06,0.49,28533.0
C,S-CASH,S2,1.5,120,0.001,0.148,1.22,0.49,24298.0
C,S-CASH,S2,2.0,5,0.02,0.039,1.3,0.464,19824.0
C,S-CASH,S2,2.0,15,0.004,0.017,0.35,0.485,19326.0
C,S-CASH,S2,2.0,30,0.026,0.116,1.69,0.493,18768.0
C,S-CASH,S2,2.0,60,-0.017,0.312,3.12,0.494,17772.0
C,S-CASH,S2,2.0,120,-0.077,0.504,3.67,0.495,15868.0
C,S-CASH,S2,2.5,5,0.033,0.131,3.6,0.47,9888.0
C,S-CASH,S2,2.5,15,0.035,0.143,1.7,0.494,9719.0
C,S-CASH,S2,2.5,30,0.033,0.204,2.02,0.504,9527.0
C,S-CASH,S2,2.5,60,0.065,0.437,3.47,0.513,9158.0
C,S-CASH,S2,2.5,120,0.034,0.562,3.28,0.507,8439.0
C,S-CASH,S2,3.0,5,0.033,0.203,3.84,0.473,4817.0
C,S-CASH,S2,3.0,15,0.032,0.298,2.79,0.499,4768.0
C,S-CASH,S2,3.0,30,0.002,0.386,3.11,0.5,4694.0
C,S-CASH,S2,3.0,60,0.006,0.555,3.58,0.504,4563.0
C,S-CASH,S2,3.0,120,-0.066,0.544,2.61,0.496,4352.0
C,S-CASH,S3,1.5,5,0.036,0.044,2.05,0.464,30757.0
C,S-CASH,S3,1.5,15,0.058,0.074,2.14,0.484,29819.0
C,S-CASH,S3,1.5,30,0.057,0.106,1.95,0.489,28652.0
C,S-CASH,S3,1.5,60,0.05,0.167,1.97,0.493,26698.0
C,S-CASH,S3,1.5,120,0.132,0.414,3.45,0.5,22832.0
C,S-CASH,S3,2.0,5,0.027,0.077,3.03,0.466,19023.0
C,S-CASH,S3,2.0,15,0.048,0.162,3.44,0.488,18604.0
C,S-CASH,S3,2.0,30,0.047,0.303,4.03,0.493,18119.0
C,S-CASH,S3,2.0,60,0.047,0.53,5.18,0.491,17348.0
C,S-CASH,S3,2.0,120,0.12,0.925,7.0,0.498,15630.0
C,S-CASH,S3,2.5,5,0.032,0.146,4.3,0.472,10089.0
C,S-CASH,S3,2.5,15,0.076,0.333,5.28,0.491,9915.0
C,S-CASH,S3,2.5,30,0.112,0.513,5.81,0.509,9755.0
C,S-CASH,S3,2.5,60,0.13,0.813,6.82,0.511,9462.0
C,S-CASH,S3,2.5,120,0.115,1.121,7.35,0.5,8800.0
C,S-CASH,S3,3.0,5,0.04,0.218,4.18,0.484,4801.0
C,S-CASH,S3,3.0,15,0.06,0.529,5.61,0.5,4742.0
C,S-CASH,S3,3.0,30,0.146,0.728,6.04,0.52,4691.0
C,S-CASH,S3,3.0,60,0.14,0.875,5.93,0.519,4590.0
C,S-CASH,S3,3.0,120,0.297,1.172,5.93,0.508,4392.0
H,S-HALF,S1,1.5,5,0.031,0.06,3.41,0.454,31323.0
H,S-HALF,S1,1.5,15,0.037,0.128,4.27,0.48,30418.0
H,S-HALF,S1,1.5,30,0.029,0.181,3.75,0.485,29150.0
H,S-HALF,S1,1.5,60,0.017,0.254,3.5,0.494,27059.0
H,S-HALF,S1,1.5,120,0.006,0.463,3.99,0.494,22852.0
H,S-HALF,S1,2.0,5,0.053,0.097,4.62,0.466,19189.0
H,S-HALF,S1,2.0,15,0.052,0.165,4.67,0.49,18724.0
H,S-HALF,S1,2.0,30,0.055,0.241,4.58,0.491,18099.0
H,S-HALF,S1,2.0,60,0.033,0.367,4.61,0.492,17199.0
H,S-HALF,S1,2.0,120,0.047,0.639,5.63,0.498,15401.0
H,S-HALF,S1,2.5,5,0.043,0.12,3.98,0.462,10127.0
H,S-HALF,S1,2.5,15,0.025,0.239,4.89,0.489,9988.0
H,S-HALF,S1,2.5,30,0.023,0.392,5.87,0.496,9772.0
H,S-HALF,S1,2.5,60,-0.032,0.519,5.52,0.489,9473.0
H,S-HALF,S1,2.5,120,-0.003,0.668,5.1,0.499,8766.0
H,S-HALF,S1,3.0,5,0.018,0.179,4.56,0.466,4906.0
H,S-HALF,S1,3.0,15,0.046,0.38,6.67,0.486,4874.0
H,S-HALF,S1,3.0,30,0.064,0.603,7.42,0.49,4811.0
H,S-HALF,S1,3.0,60,0.075,0.704,6.45,0.493,4738.0
H,S-HALF,S1,3.0,120,0.004,0.681,4.34,0.505,4488.0
H,S-HALF,S2,1.5,5,0.037,0.06,3.19,0.457,31129.0
H,S-HALF,S2,1.5,15,0.041,0.114,3.62,0.484,30300.0
H,S-HALF,S2,1.5,30,0.034,0.171,3.69,0.491,29025.0
H,S-HALF,S2,1.5,60,0.039,0.212,3.12,0.501,26788.0
H,S-HALF,S2,1.5,120,0.084,0.419,3.92,0.503,22733.0
H,S-HALF,S2,2.0,5,0.053,0.076,3.22,0.465,18741.0
H,S-HALF,S2,2.0,15,0.055,0.137,3.27,0.483,18317.0
H,S-HALF,S2,2.0,30,0.055,0.201,3.45,0.492,17694.0
H,S-HALF,S2,2.0,60,0.028,0.305,3.73,0.494,16681.0
H,S-HALF,S2,2.0,120,-0.005,0.439,3.67,0.496,14697.0
H,S-HALF,S2,2.5,5,0.056,0.171,5.55,0.474,9918.0
H,S-HALF,S2,2.5,15,0.033,0.292,5.52,0.486,9756.0
H,S-HALF,S2,2.5,30,0.021,0.364,5.18,0.496,9505.0
H,S-HALF,S2,2.5,60,-0.054,0.507,5.15,0.493,9200.0
H,S-HALF,S2,2.5,120,-0.189,0.441,3.13,0.492,8462.0
H,S-HALF,S2,3.0,5,0.03,0.168,4.18,0.475,4699.0
H,S-HALF,S2,3.0,15,0.076,0.384,5.77,0.491,4667.0
H,S-HALF,S2,3.0,30,0.009,0.442,5.18,0.487,4592.0
H,S-HALF,S2,3.0,60,-0.076,0.478,4.15,0.497,4505.0
H,S-HALF,S2,3.0,120,-0.322,0.268,1.55,0.483,4243.0
H,S-HALF,S3,1.5,5,0.057,0.086,4.85,0.46,29420.0
H,S-HALF,S3,1.5,15,0.084,0.196,6.18,0.49,28634.0
H,S-HALF,S3,1.5,30,0.069,0.254,4.98,0.492,27503.0
H,S-HALF,S3,1.5,60,0.082,0.391,5.22,0.501,25643.0
H,S-HALF,S3,1.5,120,0.105,0.715,5.96,0.503,22041.0
H,S-HALF,S3,2.0,5,0.049,0.081,3.42,0.464,18073.0
H,S-HALF,S3,2.0,15,0.064,0.21,5.01,0.49,17743.0
H,S-HALF,S3,2.0,30,0.066,0.332,5.27,0.496,17283.0
H,S-HALF,S3,2.0,60,0.05,0.563,6.1,0.496,16517.0
H,S-HALF,S3,2.0,120,0.04,0.858,7.02,0.505,15017.0
H,S-HALF,S3,2.5,5,0.047,0.134,4.22,0.469,9961.0
H,S-HALF,S3,2.5,15,0.031,0.253,4.76,0.486,9841.0
H,S-HALF,S3,2.5,30,0.062,0.427,5.65,0.494,9647.0
H,S-HALF,S3,2.5,60,0.038,0.659,6.13,0.487,9363.0
H,S-HALF,S3,2.5,120,0.087,0.909,5.71,0.495,8768.0
H,S-HALF,S3,3.0,5,0.004,0.142,3.48,0.463,5017.0
H,S-HALF,S3,3.0,15,0.008,0.369,5.63,0.49,4989.0
H,S-HALF,S3,3.0,30,0.11,0.69,7.64,0.489,4931.0
H,S-HALF,S3,3.0,60,0.17,0.801,6.57,0.498,4867.0
H,S-HALF,S3,3.0,120,0.191,0.832,4.87,0.504,4657.0
R,S-RTH,S1,1.5,5,0.031,0.069,4.23,0.455,31754.0
R,S-RTH,S1,1.5,15,0.041,0.114,3.79,0.484,30787.0
R,S-RTH,S1,1.5,30,0.028,0.143,3.13,0.489,29576.0
R,S-RTH,S1,1.5,60,0.01,0.203,2.86,0.494,27317.0
R,S-RTH,S1,1.5,120,-0.002,0.343,3.22,0.489,23075.0
R,S-RTH,S1,2.0,5,0.057,0.122,5.63,0.465,19582.0
R,S-RTH,S1,2.0,15,0.05,0.171,4.28,0.49,19166.0
R,S-RTH,S1,2.0,30,0.043,0.216,3.58,0.493,18694.0
R,S-RTH,S1,2.0,60,-0.002,0.367,4.28,0.49,17677.0
R,S-RTH,S1,2.0,120,0.007,0.614,5.31,0.495,15949.0
R,S-RTH,S1,2.5,5,0.036,0.125,4.43,0.466,9755.0
