window,window_name,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events,label
C,S-CASH,1.5,5,-0.001,-0.008,-0.62,0.455,2770.0,EXPLORATORY_open_subset
C,S-CASH,1.5,15,0.015,0.002,0.09,0.49,2770.0,EXPLORATORY_open_subset
C,S-CASH,1.5,30,0.018,-0.022,-0.72,0.508,2770.0,EXPLORATORY_open_subset
C,S-CASH,1.5,60,0.037,0.013,0.33,0.515,2770.0,EXPLORATORY_open_subset
C,S-CASH,1.5,120,-0.014,-0.028,-0.53,0.5,2770.0,EXPLORATORY_open_subset
C,S-CASH,2.0,5,-0.001,-0.002,-0.15,0.46,2589.0,EXPLORATORY_open_subset
C,S-CASH,2.0,15,0.013,0.006,0.22,0.489,2589.0,EXPLORATORY_open_subset
C,S-CASH,2.0,30,0.026,0.014,0.44,0.511,2589.0,EXPLORATORY_open_subset
C,S-CASH,2.0,60,0.066,0.059,1.38,0.532,2589.0,EXPLORATORY_open_subset
C,S-CASH,2.0,120,-0.005,0.009,0.16,0.505,2589.0,EXPLORATORY_open_subset
C,S-CASH,2.5,5,0.0,0.01,0.64,0.471,2130.0,EXPLORATORY_open_subset
C,S-CASH,2.5,15,0.002,0.015,0.58,0.481,2130.0,EXPLORATORY_open_subset
C,S-CASH,2.5,30,0.023,0.029,0.83,0.515,2130.0,EXPLORATORY_open_subset
C,S-CASH,2.5,60,0.052,0.06,1.29,0.53,2130.0,EXPLORATORY_open_subset
C,S-CASH,2.5,120,0.052,0.045,0.73,0.53,2130.0,EXPLORATORY_open_subset
C,S-CASH,3.0,5,-0.012,0.019,1.09,0.464,1782.0,EXPLORATORY_open_subset
C,S-CASH,3.0,15,0.015,0.09,2.92,0.483,1782.0,EXPLORATORY_open_subset
C,S-CASH,3.0,30,-0.001,0.103,2.49,0.499,1782.0,EXPLORATORY_open_subset
C,S-CASH,3.0,60,0.011,0.146,2.63,0.502,1782.0,EXPLORATORY_open_subset
C,S-CASH,3.0,120,-0.056,0.065,0.92,0.492,1782.0,EXPLORATORY_open_subset
R,S-RTH,1.5,5,0.006,0.002,0.13,0.466,2545.0,EXPLORATORY_open_subset
R,S-RTH,1.5,15,0.008,-0.022,-1.08,0.493,2545.0,EXPLORATORY_open_subset
R,S-RTH,1.5,30,-0.018,-0.059,-2.14,0.484,2545.0,EXPLORATORY_open_subset
R,S-RTH,1.5,60,-0.027,-0.098,-2.69,0.483,2545.0,EXPLORATORY_open_subset
R,S-RTH,1.5,120,-0.015,-0.075,-1.51,0.487,2543.0,EXPLORATORY_open_subset
R,S-RTH,2.0,5,-0.008,-0.012,-0.96,0.455,2352.0,EXPLORATORY_open_subset
R,S-RTH,2.0,15,-0.015,-0.031,-1.43,0.476,2352.0,EXPLORATORY_open_subset
R,S-RTH,2.0,30,-0.033,-0.062,-2.03,0.481,2352.0,EXPLORATORY_open_subset
R,S-RTH,2.0,60,-0.079,-0.085,-2.12,0.474,2352.0,EXPLORATORY_open_subset
R,S-RTH,2.0,120,-0.076,-0.094,-1.84,0.486,2350.0,EXPLORATORY_open_subset
R,S-RTH,2.5,5,0.006,0.004,0.27,0.457,2184.0,EXPLORATORY_open_subset
R,S-RTH,2.5,15,0.001,-0.009,-0.36,0.479,2184.0,EXPLORATORY_open_subset
R,S-RTH,2.5,30,0.008,-0.029,-0.87,0.505,2184.0,EXPLORATORY_open_subset
R,S-RTH,2.5,60,-0.054,-0.071,-1.61,0.485,2184.0,EXPLORATORY_open_subset
R,S-RTH,2.5,120,-0.069,-0.086,-1.53,0.474,2183.0,EXPLORATORY_open_subset
R,S-RTH,3.0,5,-0.004,0.007,0.48,0.463,1888.0,EXPLORATORY_open_subset
R,S-RTH,3.0,15,0.001,0.013,0.51,0.475,1888.0,EXPLORATORY_open_subset
R,S-RTH,3.0,30,-0.022,0.004,0.11,0.494,1888.0,EXPLORATORY_open_subset
R,S-RTH,3.0,60,-0.027,-0.009,-0.2,0.497,1888.0,EXPLORATORY_open_subset
R,S-RTH,3.0,120,-0.013,-0.013,-0.21,0.482,1887.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,5,0.001,-0.01,-0.8,0.457,2293.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,15,-0.0,-0.011,-0.53,0.481,2293.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,30,-0.013,-0.028,-0.95,0.473,2293.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,60,-0.014,-0.03,-0.76,0.49,2293.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,120,0.029,0.011,0.21,0.485,2292.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,5,-0.0,-0.003,-0.2,0.46,1910.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,15,-0.018,-0.021,-0.83,0.473,1910.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,30,0.007,-0.022,-0.64,0.49,1910.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,60,0.016,-0.024,-0.53,0.507,1910.0,EXPLORATORY_open_subset
S,S-SETTLE,2.0,120,-0.001,-0.017,-0.29,0.486,1908.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,5,-0.024,-0.018,-1.13,0.438,1700.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,15,-0.042,-0.039,-1.41,0.459,1700.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,30,-0.029,-0.017,-0.47,0.483,1700.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,60,-0.037,-0.023,-0.46,0.496,1700.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,120,0.004,-0.02,-0.32,0.486,1699.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,5,-0.002,0.004,0.21,0.472,1352.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,15,0.004,0.024,0.74,0.476,1352.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,30,0.014,0.044,0.99,0.508,1352.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,60,-0.003,0.017,0.28,0.521,1352.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,120,0.016,0.024,0.34,0.518,1352.0,EXPLORATORY_open_subset
H,S-HALF,1.5,5,0.021,0.005,0.36,0.47,2593.0,EXPLORATORY_open_subset
H,S-HALF,1.5,15,-0.002,-0.033,-1.67,0.477,2593.0,EXPLORATORY_open_subset
H,S-HALF,1.5,30,0.013,-0.021,-0.8,0.494,2593.0,EXPLORATORY_open_subset
H,S-HALF,1.5,60,0.017,-0.02,-0.54,0.5,2590.0,EXPLORATORY_open_subset
H,S-HALF,1.5,120,0.009,-0.032,-0.67,0.5,2588.0,EXPLORATORY_open_subset
H,S-HALF,2.0,5,0.006,0.0,0.0,0.462,2543.0,EXPLORATORY_open_subset
H,S-HALF,2.0,15,-0.002,-0.03,-1.48,0.475,2543.0,EXPLORATORY_open_subset
H,S-HALF,2.0,30,0.026,-0.016,-0.6,0.501,2543.0,EXPLORATORY_open_subset
H,S-HALF,2.0,60,0.05,-0.009,-0.24,0.508,2541.0,EXPLORATORY_open_subset
H,S-HALF,2.0,120,0.028,-0.016,-0.33,0.505,2539.0,EXPLORATORY_open_subset
H,S-HALF,2.5,5,0.004,0.006,0.44,0.457,2386.0,EXPLORATORY_open_subset
H,S-HALF,2.5,15,-0.003,-0.006,-0.27,0.469,2386.0,EXPLORATORY_open_subset
H,S-HALF,2.5,30,-0.017,-0.02,-0.67,0.487,2386.0,EXPLORATORY_open_subset
H,S-HALF,2.5,60,-0.022,-0.024,-0.59,0.471,2385.0,EXPLORATORY_open_subset
H,S-HALF,2.5,120,-0.028,-0.034,-0.67,0.489,2384.0,EXPLORATORY_open_subset
H,S-HALF,3.0,5,-0.002,-0.0,-0.01,0.459,1986.0,EXPLORATORY_open_subset
H,S-HALF,3.0,15,0.015,0.005,0.22,0.491,1986.0,EXPLORATORY_open_subset
H,S-HALF,3.0,30,0.013,-0.005,-0.15,0.509,1986.0,EXPLORATORY_open_subset
H,S-HALF,3.0,60,0.024,-0.012,-0.28,0.502,1986.0,EXPLORATORY_open_subset
H,S-HALF,3.0,120,0.032,-0.011,-0.2,0.502,1984.0,EXPLORATORY_open_subset
U,S-USED,1.5,5,-0.002,0.003,0.23,0.441,2555.0,EXPLORATORY_open_subset
U,S-USED,1.5,15,0.016,-0.005,-0.28,0.485,2555.0,EXPLORATORY_open_subset
U,S-USED,1.5,30,0.028,-0.012,-0.52,0.504,2553.0,EXPLORATORY_open_subset
U,S-USED,1.5,60,0.051,-0.004,-0.12,0.514,2547.0,EXPLORATORY_open_subset
U,S-USED,1.5,120,0.001,-0.057,-1.33,0.508,2547.0,EXPLORATORY_open_subset
U,S-USED,2.0,5,0.0,0.006,0.52,0.446,2560.0,EXPLORATORY_open_subset
U,S-USED,2.0,15,0.017,0.006,0.34,0.489,2560.0,EXPLORATORY_open_subset
U,S-USED,2.0,30,0.015,0.0,0.01,0.498,2560.0,EXPLORATORY_open_subset
U,S-USED,2.0,60,0.023,0.002,0.06,0.506,2559.0,EXPLORATORY_open_subset
U,S-USED,2.0,120,0.013,-0.023,-0.54,0.497,2559.0,EXPLORATORY_open_subset
U,S-USED,2.5,5,-0.012,-0.004,-0.32,0.434,2371.0,EXPLORATORY_open_subset
U,S-USED,2.5,15,-0.001,0.006,0.32,0.468,2371.0,EXPLORATORY_open_subset
U,S-USED,2.5,30,-0.015,-0.016,-0.63,0.466,2371.0,EXPLORATORY_open_subset
U,S-USED,2.5,60,-0.01,-0.013,-0.37,0.489,2371.0,EXPLORATORY_open_subset
U,S-USED,2.5,120,-0.061,-0.023,-0.51,0.463,2371.0,EXPLORATORY_open_subset
U,S-USED,3.0,5,0.007,0.027,1.98,0.458,2100.0,EXPLORATORY_open_subset
U,S-USED,3.0,15,0.005,0.029,1.45,0.483,2100.0,EXPLORATORY_open_subset
U,S-USED,3.0,30,0.007,0.028,0.98,0.476,2100.0,EXPLORATORY_open_subset
U,S-USED,3.0,60,-0.007,0.037,0.98,0.479,2100.0,EXPLORATORY_open_subset
U,S-USED,3.0,120,-0.041,0.018,0.37,0.468,2100.0,EXPLORATORY_open_subset
