window,window_name,series,base_step,q,vr,ci_lo,ci_hi,p_lt_1
C,S-CASH,LEGA,1,2,0.921,0.9034,0.9384,0.0
C,S-CASH,LEGA,1,5,0.8422,0.8189,0.8676,0.0
C,S-CASH,LEGA,1,15,0.8195,0.788,0.8505,0.0
C,S-CASH,LEGA,1,30,0.7992,0.7616,0.8404,0.0
C,S-CASH,LEGA,1,60,0.8109,0.7518,0.8708,0.0
C,S-CASH,LEGA,1,120,0.8129,0.7539,0.868,0.0
C,S-CASH,LEGA,15,2,0.9752,0.9438,1.0148,0.107
C,S-CASH,LEGA,15,5,0.9404,0.8776,0.9973,0.02
C,S-CASH,LEGA,15,15,1.2694,1.1423,1.414,1.0
C,S-CASH,LEGA,15,30,,,,
C,S-CASH,LEGA,15,60,,,,
C,S-CASH,LEGA,15,120,,,,
C,S-CASH,LEGB,1,2,0.9358,0.9251,0.9484,0.0
C,S-CASH,LEGB,1,5,0.8804,0.8622,0.8971,0.0
C,S-CASH,LEGB,1,15,0.8798,0.8541,0.9074,0.0
C,S-CASH,LEGB,1,30,0.8575,0.8224,0.8922,0.0
C,S-CASH,LEGB,1,60,0.8777,0.8236,0.9308,0.0
C,S-CASH,LEGB,1,120,0.8831,0.8273,0.9355,0.0
C,S-CASH,LEGB,15,2,0.9747,0.9449,1.0066,0.052
C,S-CASH,LEGB,15,5,0.9584,0.9099,1.0058,0.045
C,S-CASH,LEGB,15,15,1.3098,1.2093,1.4264,1.0
C,S-CASH,LEGB,15,30,,,,
C,S-CASH,LEGB,15,60,,,,
C,S-CASH,LEGB,15,120,,,,
C,S-CASH,RES1,1,2,0.6374,0.626,0.6509,0.0
C,S-CASH,RES1,1,5,0.4105,0.3947,0.4292,0.0
C,S-CASH,RES1,1,15,0.2925,0.2776,0.3083,0.0
C,S-CASH,RES1,1,30,0.2633,0.2469,0.2797,0.0
C,S-CASH,RES1,1,60,0.2548,0.2356,0.2763,0.0
C,S-CASH,RES1,1,120,0.2491,0.2285,0.2742,0.0
C,S-CASH,RES1,5,2,0.8103,0.7936,0.8287,0.0
C,S-CASH,RES1,5,5,0.6577,0.6272,0.6916,0.0
C,S-CASH,RES1,5,15,0.6028,0.5609,0.6397,0.0
C,S-CASH,RES1,5,30,0.6096,0.5621,0.6538,0.0
C,S-CASH,RES1,5,60,0.621,0.5559,0.695,0.0
C,S-CASH,RES1,5,120,,,,
C,S-CASH,RES1,15,2,0.9001,0.8753,0.9232,0.0
C,S-CASH,RES1,15,5,0.8458,0.8066,0.8905,0.0
C,S-CASH,RES1,15,15,0.9662,0.8639,1.0935,0.307
C,S-CASH,RES1,15,30,,,,
C,S-CASH,RES1,15,60,,,,
C,S-CASH,RES1,15,120,,,,
C,S-CASH,RES2,1,2,0.6523,0.638,0.667,0.0
C,S-CASH,RES2,1,5,0.435,0.4187,0.452,0.0
C,S-CASH,RES2,1,15,0.3293,0.3095,0.3481,0.0
C,S-CASH,RES2,1,30,0.3037,0.2814,0.3252,0.0
C,S-CASH,RES2,1,60,0.3061,0.2762,0.3381,0.0
C,S-CASH,RES2,1,120,0.3064,0.2663,0.3537,0.0
S,S-SETTLE,RES1,1,2,0.6334,0.6252,0.6431,0.0
S,S-SETTLE,RES1,1,5,0.3957,0.382,0.4094,0.0
S,S-SETTLE,RES1,1,15,0.2908,0.2727,0.31,0.0
S,S-SETTLE,RES1,1,30,0.2616,0.2435,0.2833,0.0
S,S-SETTLE,RES1,1,60,0.244,0.2228,0.268,0.0
S,S-SETTLE,RES1,1,120,0.242,0.2171,0.2734,0.0
S,S-SETTLE,RES1,5,2,0.7922,0.7749,0.8111,0.0
S,S-SETTLE,RES1,5,5,0.6605,0.6257,0.6984,0.0
S,S-SETTLE,RES1,5,15,0.6101,0.5629,0.6558,0.0
S,S-SETTLE,RES1,5,30,0.6178,0.5459,0.6822,0.0
S,S-SETTLE,RES1,5,60,0.6076,0.5434,0.6832,0.0
S,S-SETTLE,RES1,5,120,,,,
S,S-SETTLE,RES1,15,2,0.8995,0.8684,0.9281,0.0
S,S-SETTLE,RES1,15,5,0.8302,0.7782,0.8811,0.0
S,S-SETTLE,RES1,15,15,0.8119,0.7278,0.9145,0.0
S,S-SETTLE,RES1,15,30,,,,
S,S-SETTLE,RES1,15,60,,,,
S,S-SETTLE,RES1,15,120,,,,
S,S-SETTLE,RES2,1,2,0.6501,0.6384,0.6631,0.0
S,S-SETTLE,RES2,1,5,0.4158,0.4,0.4318,0.0
S,S-SETTLE,RES2,1,15,0.3196,0.2954,0.346,0.0
S,S-SETTLE,RES2,1,30,0.2953,0.2714,0.3235,0.0
S,S-SETTLE,RES2,1,60,0.2967,0.2637,0.3365,0.0
S,S-SETTLE,RES2,1,120,0.3046,0.269,0.3444,0.0
R,S-RTH,LEGA,1,2,0.8933,0.8771,0.9095,0.0
R,S-RTH,LEGA,1,5,0.7806,0.7594,0.8004,0.0
R,S-RTH,LEGA,1,15,0.75,0.7221,0.7753,0.0
R,S-RTH,LEGA,1,30,0.7531,0.7195,0.785,0.0
R,S-RTH,LEGA,1,60,0.7367,0.6906,0.7826,0.0
R,S-RTH,LEGA,1,120,0.7419,0.6858,0.7933,0.0
R,S-RTH,LEGA,15,2,1.0041,0.9648,1.0394,0.615
R,S-RTH,LEGA,15,5,1.0016,0.9301,1.0717,0.542
R,S-RTH,LEGA,15,15,1.0072,0.8713,1.1535,0.505
R,S-RTH,LEGA,15,30,,,,
R,S-RTH,LEGA,15,60,,,,
R,S-RTH,LEGA,15,120,,,,
R,S-RTH,LEGB,1,2,0.9084,0.8969,0.9174,0.0
R,S-RTH,LEGB,1,5,0.8234,0.8093,0.8381,0.0
R,S-RTH,LEGB,1,15,0.7916,0.7697,0.8129,0.0
R,S-RTH,LEGB,1,30,0.8055,0.7739,0.8352,0.0
R,S-RTH,LEGB,1,60,0.7984,0.7595,0.8406,0.0
R,S-RTH,LEGB,1,120,0.7995,0.7454,0.8479,0.0
R,S-RTH,LEGB,15,2,1.0176,0.9889,1.0429,0.887
R,S-RTH,LEGB,15,5,1.0191,0.9644,1.0687,0.755
R,S-RTH,LEGB,15,15,1.1458,1.0328,1.2599,0.993
R,S-RTH,LEGB,15,30,,,,
R,S-RTH,LEGB,15,60,,,,
R,S-RTH,LEGB,15,120,,,,
S,S-SETTLE,LEGA,1,2,0.9001,0.8844,0.9158,0.0
S,S-SETTLE,LEGA,1,5,0.7897,0.7686,0.8091,0.0
S,S-SETTLE,LEGA,1,15,0.7526,0.7257,0.7769,0.0
S,S-SETTLE,LEGA,1,30,0.7236,0.6841,0.7615,0.0
S,S-SETTLE,LEGA,1,60,0.7077,0.6623,0.7578,0.0
S,S-SETTLE,LEGA,1,120,0.7367,0.6598,0.8188,0.0
S,S-SETTLE,LEGA,15,2,0.9615,0.9179,1.0049,0.048
S,S-SETTLE,LEGA,15,5,0.9951,0.9163,1.0766,0.48
S,S-SETTLE,LEGA,15,15,0.9506,0.8223,1.0814,0.198
S,S-SETTLE,LEGA,15,30,,,,
S,S-SETTLE,LEGA,15,60,,,,
S,S-SETTLE,LEGA,15,120,,,,
S,S-SETTLE,LEGB,1,2,0.913,0.9025,0.9234,0.0
S,S-SETTLE,LEGB,1,5,0.8328,0.8183,0.8474,0.0
S,S-SETTLE,LEGB,1,15,0.7986,0.7751,0.819,0.0
S,S-SETTLE,LEGB,1,30,0.7885,0.7511,0.8218,0.0
S,S-SETTLE,LEGB,1,60,0.7802,0.7372,0.8235,0.0
S,S-SETTLE,LEGB,1,120,0.8462,0.7755,0.9126,0.0
S,S-SETTLE,LEGB,15,2,0.9874,0.9531,1.0218,0.225
S,S-SETTLE,LEGB,15,5,1.02,0.9631,1.0743,0.733
S,S-SETTLE,LEGB,15,15,1.0723,0.9695,1.1742,0.905
S,S-SETTLE,LEGB,15,30,,,,
S,S-SETTLE,LEGB,15,60,,,,
S,S-SETTLE,LEGB,15,120,,,,
R,S-RTH,RES1,1,2,0.6291,0.6213,0.6382,0.0
R,S-RTH,RES1,1,5,0.3891,0.3767,0.4017,0.0
R,S-RTH,RES1,1,15,0.2835,0.2655,0.3031,0.0
R,S-RTH,RES1,1,30,0.2597,0.2382,0.2838,0.0
R,S-RTH,RES1,1,60,0.2322,0.209,0.2535,0.0
R,S-RTH,RES1,1,120,0.2261,0.2035,0.2516,0.0
R,S-RTH,RES1,5,2,0.785,0.7695,0.8041,0.0
R,S-RTH,RES1,5,5,0.6464,0.6152,0.6794,0.0
R,S-RTH,RES1,5,15,0.5773,0.5392,0.6127,0.0
R,S-RTH,RES1,5,30,0.6102,0.5489,0.6821,0.0
R,S-RTH,RES1,5,60,0.5821,0.5203,0.6509,0.0
R,S-RTH,RES1,5,120,,,,
R,S-RTH,RES1,15,2,0.9162,0.8828,0.9521,0.0
R,S-RTH,RES1,15,5,0.7924,0.7479,0.8382,0.0
R,S-RTH,RES1,15,15,0.8119,0.73,0.9183,0.0
R,S-RTH,RES1,15,30,,,,
R,S-RTH,RES1,15,60,,,,
R,S-RTH,RES1,15,120,,,,
R,S-RTH,RES2,1,2,0.6454,0.6331,0.6587,0.0
R,S-RTH,RES2,1,5,0.4119,0.3951,0.4289,0.0
R,S-RTH,RES2,1,15,0.3176,0.2921,0.3451,0.0
R,S-RTH,RES2,1,30,0.2982,0.2696,0.3278,0.0
R,S-RTH,RES2,1,60,0.291,0.2565,0.3273,0.0
R,S-RTH,RES2,1,120,0.2879,0.2549,0.3292,0.0
U,S-USED,RES1,1,2,0.619,0.6106,0.6289,0.0
U,S-USED,RES1,1,5,0.375,0.3622,0.3888,0.0
U,S-USED,RES1,1,15,0.2663,0.2476,0.2852,0.0
U,S-USED,RES1,1,30,0.2408,0.2189,0.2633,0.0
U,S-USED,RES1,1,60,0.21,0.1917,0.2325,0.0
U,S-USED,RES1,1,120,0.203,0.1808,0.233,0.0
U,S-USED,RES1,5,2,0.7679,0.7513,0.7869,0.0
U,S-USED,RES1,5,5,0.6226,0.5889,0.6529,0.0
U,S-USED,RES1,5,15,0.5742,0.5275,0.6245,0.0
U,S-USED,RES1,5,30,0.6198,0.5541,0.6945,0.0
U,S-USED,RES1,5,60,0.5812,0.5123,0.6544,0.0
U,S-USED,RES1,5,120,,,,
U,S-USED,RES1,15,2,0.9043,0.8684,0.9416,0.0
U,S-USED,RES1,15,5,0.8087,0.759,0.8687,0.0
U,S-USED,RES1,15,15,0.8246,0.7367,0.9218,0.0
U,S-USED,RES1,15,30,,,,
U,S-USED,RES1,15,60,,,,
U,S-USED,RES1,15,120,,,,
U,S-USED,RES2,1,2,0.6301,0.6181,0.6447,0.0
U,S-USED,RES2,1,5,0.3904,0.3752,0.4086,0.0
U,S-USED,RES2,1,15,0.2913,0.2662,0.3195,0.0
U,S-USED,RES2,1,30,0.2743,0.2454,0.3052,0.0
U,S-USED,RES2,1,60,0.2651,0.2355,0.3026,0.0
U,S-USED,RES2,1,120,0.2778,0.2334,0.3306,0.0
U,S-USED,LEGA,1,2,0.8725,0.8537,0.8901,0.0
U,S-USED,LEGA,1,5,0.7492,0.7213,0.7743,0.0
U,S-USED,LEGA,1,15,0.7127,0.6779,0.7457,0.0
U,S-USED,LEGA,1,30,0.718,0.6816,0.7539,0.0
U,S-USED,LEGA,1,60,0.6849,0.6349,0.7269,0.0
U,S-USED,LEGA,1,120,0.6662,0.6172,0.7189,0.0
U,S-USED,LEGA,15,2,1.0075,0.9715,1.0427,0.682
U,S-USED,LEGA,15,5,0.9368,0.8711,1.003,0.035
U,S-USED,LEGA,15,15,1.0488,0.9241,1.1573,0.777
U,S-USED,LEGA,15,30,,,,
U,S-USED,LEGA,15,60,,,,
U,S-USED,LEGA,15,120,,,,
U,S-USED,LEGB,1,2,0.8887,0.8771,0.8988,0.0
U,S-USED,LEGB,1,5,0.7871,0.7687,0.8063,0.0
U,S-USED,LEGB,1,15,0.7493,0.7257,0.7729,0.0
U,S-USED,LEGB,1,30,0.7551,0.7243,0.7851,0.0
U,S-USED,LEGB,1,60,0.7271,0.6851,0.7683,0.0
U,S-USED,LEGB,1,120,0.7224,0.6702,0.776,0.0
U,S-USED,LEGB,15,2,1.0077,0.9808,1.0351,0.693
U,S-USED,LEGB,15,5,0.9506,0.9022,1.005,0.04
U,S-USED,LEGB,15,15,1.0952,0.992,1.2081,0.953
U,S-USED,LEGB,15,30,,,,
U,S-USED,LEGB,15,60,,,,
U,S-USED,LEGB,15,120,,,,
