window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
C,S-CASH,S1,1.5,5,0.006,0.006,1.32,0.451,32601.0
C,S-CASH,S1,1.5,15,0.015,0.021,2.39,0.479,31677.0
C,S-CASH,S1,1.5,30,0.014,0.017,1.24,0.49,30471.0
C,S-CASH,S1,1.5,60,0.015,0.053,2.61,0.495,28215.0
C,S-CASH,S1,1.5,120,0.011,0.079,2.73,0.498,23991.0
C,S-CASH,S1,2.0,5,0.006,0.021,3.64,0.456,20200.0
C,S-CASH,S1,2.0,15,0.008,0.036,3.66,0.481,19752.0
C,S-CASH,S1,2.0,30,-0.001,0.051,3.56,0.487,19183.0
C,S-CASH,S1,2.0,60,-0.004,0.114,5.2,0.494,18171.0
C,S-CASH,S1,2.0,120,-0.041,0.163,5.2,0.489,16174.0
C,S-CASH,S1,2.5,5,0.007,0.045,5.43,0.459,10185.0
C,S-CASH,S1,2.5,15,0.012,0.093,6.04,0.484,10003.0
C,S-CASH,S1,2.5,30,0.008,0.133,7.06,0.493,9812.0
C,S-CASH,S1,2.5,60,0.014,0.218,8.2,0.497,9414.0
C,S-CASH,S1,2.5,120,-0.016,0.259,6.63,0.503,8757.0
C,S-CASH,S1,3.0,5,-0.002,0.048,4.62,0.458,4925.0
C,S-CASH,S1,3.0,15,-0.001,0.118,5.71,0.476,4846.0
C,S-CASH,S1,3.0,30,-0.02,0.151,5.83,0.479,4769.0
C,S-CASH,S1,3.0,60,-0.046,0.223,6.32,0.474,4617.0
C,S-CASH,S1,3.0,120,-0.087,0.209,4.39,0.482,4397.0
C,S-CASH,S2,1.5,5,0.012,0.008,1.3,0.458,35834.0
C,S-CASH,S2,1.5,15,0.013,0.003,0.33,0.484,34777.0
C,S-CASH,S2,1.5,30,0.006,-0.002,-0.13,0.489,33474.0
C,S-CASH,S2,1.5,60,0.012,0.026,0.99,0.497,31063.0
C,S-CASH,S2,1.5,120,0.025,0.057,1.64,0.499,26422.0
C,S-CASH,S2,2.0,5,0.014,0.024,3.76,0.461,21594.0
C,S-CASH,S2,2.0,15,0.019,0.033,2.12,0.49,21022.0
C,S-CASH,S2,2.0,30,0.023,0.077,3.95,0.505,20389.0
C,S-CASH,S2,2.0,60,0.02,0.111,4.19,0.498,19230.0
C,S-CASH,S2,2.0,120,0.016,0.174,4.85,0.502,17094.0
C,S-CASH,S2,2.5,5,0.013,0.049,5.07,0.47,10552.0
C,S-CASH,S2,2.5,15,0.011,0.069,3.55,0.496,10363.0
C,S-CASH,S2,2.5,30,0.01,0.116,4.77,0.499,10123.0
C,S-CASH,S2,2.5,60,0.003,0.169,5.43,0.491,9704.0
C,S-CASH,S2,2.5,120,0.004,0.246,5.47,0.493,8935.0
C,S-CASH,S2,3.0,5,0.017,0.056,3.8,0.473,4670.0
C,S-CASH,S2,3.0,15,0.024,0.102,4.18,0.499,4606.0
C,S-CASH,S2,3.0,30,0.037,0.165,5.46,0.499,4551.0
C,S-CASH,S2,3.0,60,0.047,0.218,5.54,0.495,4414.0
C,S-CASH,S2,3.0,120,0.067,0.26,4.66,0.501,4123.0
C,S-CASH,S3,1.5,5,0.009,0.003,0.44,0.457,25940.0
C,S-CASH,S3,1.5,15,0.011,0.012,0.91,0.477,25275.0
C,S-CASH,S3,1.5,30,0.019,0.029,1.57,0.49,24391.0
C,S-CASH,S3,1.5,60,0.016,0.075,2.72,0.493,22875.0
C,S-CASH,S3,1.5,120,0.009,0.147,3.58,0.49,19680.0
C,S-CASH,S3,2.0,5,0.009,0.028,3.21,0.461,16476.0
C,S-CASH,S3,2.0,15,0.01,0.039,2.25,0.479,16177.0
C,S-CASH,S3,2.0,30,0.016,0.079,3.47,0.489,15863.0
C,S-CASH,S3,2.0,60,0.03,0.188,5.62,0.501,15207.0
C,S-CASH,S3,2.0,120,0.043,0.308,6.71,0.5,13783.0
C,S-CASH,S3,2.5,5,0.016,0.049,4.0,0.469,8905.0
C,S-CASH,S3,2.5,15,0.036,0.121,5.99,0.491,8819.0
C,S-CASH,S3,2.5,30,0.033,0.162,5.98,0.496,8684.0
C,S-CASH,S3,2.5,60,0.043,0.298,7.83,0.505,8464.0
C,S-CASH,S3,2.5,120,0.094,0.436,8.2,0.511,7982.0
C,S-CASH,S3,3.0,5,0.012,0.064,3.99,0.466,4546.0
C,S-CASH,S3,3.0,15,0.025,0.159,5.88,0.486,4507.0
C,S-CASH,S3,3.0,30,0.01,0.215,5.96,0.483,4460.0
C,S-CASH,S3,3.0,60,0.042,0.355,7.22,0.499,4377.0
C,S-CASH,S3,3.0,120,0.019,0.39,5.51,0.49,4211.0
H,S-HALF,S1,1.5,5,0.016,0.024,5.71,0.447,30618.0
H,S-HALF,S1,1.5,15,0.022,0.037,4.94,0.479,29721.0
H,S-HALF,S1,1.5,30,0.022,0.05,4.23,0.492,28506.0
H,S-HALF,S1,1.5,60,0.025,0.072,3.63,0.497,26374.0
H,S-HALF,S1,1.5,120,0.019,0.099,3.6,0.502,22471.0
H,S-HALF,S1,2.0,5,0.019,0.032,5.14,0.455,19047.0
H,S-HALF,S1,2.0,15,0.022,0.05,5.17,0.48,18657.0
H,S-HALF,S1,2.0,30,0.022,0.082,5.57,0.492,18071.0
H,S-HALF,S1,2.0,60,0.018,0.126,5.78,0.495,17208.0
H,S-HALF,S1,2.0,120,-0.008,0.173,5.52,0.484,15297.0
H,S-HALF,S1,2.5,5,0.016,0.051,6.14,0.458,9920.0
H,S-HALF,S1,2.5,15,0.008,0.073,5.62,0.477,9790.0
H,S-HALF,S1,2.5,30,-0.006,0.107,5.67,0.476,9595.0
