window,window_name,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events,label
C,S-CASH,1.5,5,-0.003,-0.023,-1.11,0.463,2446.0,EXPLORATORY_open_subset
C,S-CASH,1.5,15,-0.0,-0.064,-1.86,0.464,2446.0,EXPLORATORY_open_subset
C,S-CASH,1.5,30,-0.006,-0.085,-1.96,0.469,2446.0,EXPLORATORY_open_subset
C,S-CASH,1.5,60,-0.007,-0.09,-1.6,0.491,2446.0,EXPLORATORY_open_subset
C,S-CASH,1.5,120,-0.075,-0.163,-2.19,0.476,2446.0,EXPLORATORY_open_subset
C,S-CASH,2.0,5,-0.009,-0.015,-0.69,0.462,2334.0,EXPLORATORY_open_subset
C,S-CASH,2.0,15,0.024,-0.018,-0.48,0.485,2334.0,EXPLORATORY_open_subset
C,S-CASH,2.0,30,0.009,-0.038,-0.79,0.483,2334.0,EXPLORATORY_open_subset
C,S-CASH,2.0,60,0.048,0.002,0.04,0.5,2334.0,EXPLORATORY_open_subset
C,S-CASH,2.0,120,0.003,-0.071,-0.91,0.481,2334.0,EXPLORATORY_open_subset
C,S-CASH,2.5,5,0.007,0.027,1.17,0.477,1996.0,EXPLORATORY_open_subset
C,S-CASH,2.5,15,0.023,0.039,0.94,0.492,1996.0,EXPLORATORY_open_subset
C,S-CASH,2.5,30,0.03,0.045,0.83,0.496,1996.0,EXPLORATORY_open_subset
C,S-CASH,2.5,60,0.059,0.082,1.14,0.51,1996.0,EXPLORATORY_open_subset
C,S-CASH,2.5,120,-0.039,-0.009,-0.1,0.479,1996.0,EXPLORATORY_open_subset
C,S-CASH,3.0,5,-0.013,0.026,0.97,0.462,1673.0,EXPLORATORY_open_subset
C,S-CASH,3.0,15,-0.011,0.079,1.48,0.469,1673.0,EXPLORATORY_open_subset
C,S-CASH,3.0,30,-0.018,0.057,0.9,0.48,1673.0,EXPLORATORY_open_subset
C,S-CASH,3.0,60,-0.021,0.091,1.09,0.484,1673.0,EXPLORATORY_open_subset
C,S-CASH,3.0,120,-0.106,0.015,0.15,0.467,1673.0,EXPLORATORY_open_subset
R,S-RTH,1.5,5,0.005,0.001,0.08,0.472,2320.0,EXPLORATORY_open_subset
R,S-RTH,1.5,15,-0.004,-0.032,-1.2,0.5,2320.0,EXPLORATORY_open_subset
R,S-RTH,1.5,30,-0.048,-0.098,-2.54,0.486,2320.0,EXPLORATORY_open_subset
R,S-RTH,1.5,60,-0.13,-0.158,-3.21,0.463,2320.0,EXPLORATORY_open_subset
R,S-RTH,1.5,120,-0.178,-0.18,-2.63,0.453,2318.0,EXPLORATORY_open_subset
R,S-RTH,2.0,5,0.011,0.011,0.65,0.48,2248.0,EXPLORATORY_open_subset
R,S-RTH,2.0,15,0.014,-0.008,-0.3,0.502,2248.0,EXPLORATORY_open_subset
R,S-RTH,2.0,30,-0.014,-0.062,-1.52,0.503,2248.0,EXPLORATORY_open_subset
R,S-RTH,2.0,60,-0.1,-0.117,-2.28,0.462,2248.0,EXPLORATORY_open_subset
R,S-RTH,2.0,120,-0.143,-0.191,-2.7,0.458,2244.0,EXPLORATORY_open_subset
R,S-RTH,2.5,5,0.019,0.018,1.05,0.494,2074.0,EXPLORATORY_open_subset
R,S-RTH,2.5,15,-0.013,-0.014,-0.48,0.488,2074.0,EXPLORATORY_open_subset
R,S-RTH,2.5,30,-0.037,-0.074,-1.73,0.502,2074.0,EXPLORATORY_open_subset
R,S-RTH,2.5,60,-0.097,-0.109,-2.08,0.469,2074.0,EXPLORATORY_open_subset
R,S-RTH,2.5,120,-0.111,-0.163,-2.32,0.48,2069.0,EXPLORATORY_open_subset
R,S-RTH,3.0,5,-0.005,0.01,0.48,0.463,1768.0,EXPLORATORY_open_subset
R,S-RTH,3.0,15,-0.014,0.015,0.44,0.479,1768.0,EXPLORATORY_open_subset
R,S-RTH,3.0,30,-0.076,-0.037,-0.81,0.483,1768.0,EXPLORATORY_open_subset
R,S-RTH,3.0,60,-0.068,-0.027,-0.46,0.475,1768.0,EXPLORATORY_open_subset
R,S-RTH,3.0,120,-0.04,-0.086,-1.11,0.503,1763.0,EXPLORATORY_open_subset
S,S-SETTLE,1.5,5,0.01,0.003,0.17,0.478,2122.0,EXPLORATORY_open_subset
