key,value
S_FILLWIT_ZT,analysis_fetch=regular_default|factor_fetch=regular_default|n_fac=27
S_FACTAB_ZT,"1.002015,0.999646,0.996344,1.001921,1.004793,1.002464,1.001535,1.001205,0.999363,0.995656,1.006311,1.003388,1.00291,1.002392,1.000425,0.998548,0.998951,1.004312,1.005142,1.002781,1.001925,0.999965,0.997116,1.002791,1.004869,1.002167,1.001742"
S_GEOC,bars=695167|sessions=1745|medbars=400|want=400|blocks_q120=3.0|dropA=40|dropB=72
S_CLKC,0:0.126|30:0.105|60:0.115|90:0.101|120:0.088|150:0.076|180:0.062|210:0.054|240:0.052|270:0.049|300:0.044|330:0.044|360:0.053|390:0.031
S_SPECS,anchor=vol_ratio|S1_beta_med=0.2597|S1_beta_p5=0.1973|S1_beta_p95=0.3558|win=U
S_ACT,0:29.1/29.9|30:29.3/29.9|60:29.9/30.0|90:29.9/30.0|120:30.0/30.0|150:30.0/30.0|180:30.0/30.0|210:29.9/30.0|240:29.9/30.0|270:29.9/30.0|300:29.9/30.0|330:29.9/30.0|360:30.0/30.0|390:30.0/30.0|420:30.0/30.0|450:30.0/30.0|480:30.0/30.0|510:30.0/30.0|540:30.0/30.0|570:30.0/30.0|600:30.0/30.0|630:30.0/30.0|660:30.0/30.0|690:30.0/30.0|720:29.7/29.7|750:29.6/29.6|780:29.6/29.6|810:29.6/29.6|840:29.6/29.6|870:29.6/29.6|900:29.6/29.6|930:29.6/29.6|960:1.0/1.0|1020:27.7/28.8|1050:28.5/29.8|1080:28.3/29.7|1110:29.0/29.9|1140:29.5/29.9|1170:29.4/29.9|1200:29.4/29.9|1230:29.2/29.9|1260:29.1/29.8|1290:28.9/29.8|1320:28.6/29.8|1350:28.6/29.8|1380:28.5/29.8|1410:28.6/29.8
S_FILLWIT_ZN,analysis_fetch=regular_default|factor_fetch=regular_default|n_fac=27
S_PAIR,ZT_ZN|markets=cbot/cbot|anchor=vol_ratio|rolls=treasury|nb=15|part=1|fetch=regular
S_TZWIT,ZT=08:31-16:00:450|ZN=08:31-16:00:450|note=stamps_are_exchange_tz_not_ET
S_FACTAB_ZN,"0.999188,0.991923,0.999382,1.00423,1.004836,1.000283,0.999449,0.997755,0.99306,0.997149,1.007576,1.002876,1.000283,1.005126,0.998989,0.995575,1.000534,1.004385,1.004824,1.000417,1.000725,0.997293,0.994157,1.002358,1.003268,1.001552,0.99945"
S_CASHCOV,ZT=1.000|ZN=1.000|span_min=70|floor=0.80
S_SESSCFG,U=S-USED@0930-1600:390|H=S-HALF@0900-1530:390|R=S-RTH@0830-1500:390|S=S-SETTLE@0830-1400:330|C=S-CASH@0720-1400:400|part=1|z=rolling390|beta_lb=1950|anchor=vol_ratio|stamps=data_native
S_BUILD_ZN,rolls=27|flags=0|med_ovl=390|nonmedian=0
