window,window_name,series,base_step,q,vr,ci_lo,ci_hi,p_lt_1
C,S-CASH,LEGA,1,2,0.921,0.9034,0.9383,0.0
C,S-CASH,LEGA,1,5,0.8422,0.8189,0.8676,0.0
C,S-CASH,LEGA,1,15,0.8194,0.788,0.8504,0.0
C,S-CASH,LEGA,1,30,0.7992,0.7616,0.8404,0.0
C,S-CASH,LEGA,1,60,0.8109,0.7518,0.8708,0.0
C,S-CASH,LEGA,1,120,0.8129,0.7538,0.868,0.0
C,S-CASH,LEGA,15,2,0.9753,0.9438,1.0149,0.107
C,S-CASH,LEGA,15,5,0.9405,0.8776,0.9973,0.02
C,S-CASH,LEGA,15,15,1.2694,1.1424,1.4141,1.0
C,S-CASH,LEGA,15,30,,,,
C,S-CASH,LEGA,15,60,,,,
C,S-CASH,LEGA,15,120,,,,
C,S-CASH,LEGB,1,2,0.8797,0.8716,0.8903,0.0
C,S-CASH,LEGB,1,5,0.7897,0.7735,0.804,0.0
C,S-CASH,LEGB,1,15,0.7631,0.7415,0.7864,0.0
C,S-CASH,LEGB,1,30,0.7435,0.7142,0.7715,0.0
C,S-CASH,LEGB,1,60,0.7652,0.7241,0.8086,0.0
C,S-CASH,LEGB,1,120,0.7688,0.722,0.8171,0.0
C,S-CASH,LEGB,15,2,0.9742,0.9471,1.0012,0.03
C,S-CASH,LEGB,15,5,0.9676,0.924,1.0089,0.06
C,S-CASH,LEGB,15,15,1.3143,1.2248,1.4172,1.0
C,S-CASH,LEGB,15,30,,,,
C,S-CASH,LEGB,15,60,,,,
C,S-CASH,LEGB,15,120,,,,
C,S-CASH,RES1,1,2,0.6831,0.6703,0.6973,0.0
C,S-CASH,RES1,1,5,0.4818,0.4605,0.5069,0.0
C,S-CASH,RES1,1,15,0.3645,0.3464,0.3845,0.0
C,S-CASH,RES1,1,30,0.3383,0.3154,0.3603,0.0
C,S-CASH,RES1,1,60,0.3341,0.308,0.3616,0.0
C,S-CASH,RES1,1,120,0.3286,0.2971,0.3703,0.0
C,S-CASH,RES1,5,2,0.8549,0.8373,0.8713,0.0
C,S-CASH,RES1,5,5,0.7169,0.6712,0.7654,0.0
C,S-CASH,RES1,5,15,0.67,0.6179,0.7231,0.0
C,S-CASH,RES1,5,30,0.6665,0.6054,0.7222,0.0
C,S-CASH,RES1,5,60,0.7078,0.6374,0.7924,0.0
C,S-CASH,RES1,5,120,,,,
C,S-CASH,RES1,15,2,0.9281,0.8947,0.9565,0.0
C,S-CASH,RES1,15,5,0.8855,0.8361,0.9447,0.0
C,S-CASH,RES1,15,15,1.0054,0.906,1.1198,0.578
C,S-CASH,RES1,15,30,,,,
C,S-CASH,RES1,15,60,,,,
C,S-CASH,RES1,15,120,,,,
C,S-CASH,RES2,1,2,0.7068,0.6903,0.7222,0.0
C,S-CASH,RES2,1,5,0.5146,0.4972,0.5337,0.0
C,S-CASH,RES2,1,15,0.4248,0.4016,0.4445,0.0
C,S-CASH,RES2,1,30,0.3987,0.3754,0.4219,0.0
C,S-CASH,RES2,1,60,0.4073,0.3744,0.444,0.0
C,S-CASH,RES2,1,120,0.3977,0.3522,0.457,0.0
S,S-SETTLE,RES1,1,2,0.6696,0.6577,0.684,0.0
S,S-SETTLE,RES1,1,5,0.4555,0.4354,0.4743,0.0
S,S-SETTLE,RES1,1,15,0.3608,0.3362,0.3893,0.0
S,S-SETTLE,RES1,1,30,0.335,0.3071,0.3721,0.0
S,S-SETTLE,RES1,1,60,0.3202,0.29,0.3495,0.0
S,S-SETTLE,RES1,1,120,0.3366,0.298,0.3882,0.0
S,S-SETTLE,RES1,5,2,0.8343,0.8142,0.8564,0.0
S,S-SETTLE,RES1,5,5,0.7539,0.7058,0.7958,0.0
S,S-SETTLE,RES1,5,15,0.713,0.6443,0.7777,0.0
S,S-SETTLE,RES1,5,30,0.7428,0.6434,0.8436,0.0
S,S-SETTLE,RES1,5,60,0.7455,0.6627,0.8432,0.0
S,S-SETTLE,RES1,5,120,,,,
S,S-SETTLE,RES1,15,2,0.9285,0.8702,0.972,0.003
S,S-SETTLE,RES1,15,5,0.9002,0.8196,0.9763,0.005
S,S-SETTLE,RES1,15,15,0.8924,0.7966,1.0138,0.052
S,S-SETTLE,RES1,15,30,,,,
S,S-SETTLE,RES1,15,60,,,,
S,S-SETTLE,RES1,15,120,,,,
S,S-SETTLE,RES2,1,2,0.6946,0.6805,0.7128,0.0
S,S-SETTLE,RES2,1,5,0.4855,0.4641,0.5049,0.0
S,S-SETTLE,RES2,1,15,0.405,0.3767,0.4371,0.0
S,S-SETTLE,RES2,1,30,0.3918,0.3565,0.435,0.0
S,S-SETTLE,RES2,1,60,0.4191,0.3657,0.4853,0.0
S,S-SETTLE,RES2,1,120,0.4958,0.4007,0.6279,0.0
R,S-RTH,LEGA,1,2,0.8933,0.8771,0.9095,0.0
R,S-RTH,LEGA,1,5,0.7806,0.7594,0.8004,0.0
R,S-RTH,LEGA,1,15,0.75,0.7221,0.7753,0.0
R,S-RTH,LEGA,1,30,0.7531,0.7195,0.785,0.0
R,S-RTH,LEGA,1,60,0.7367,0.6906,0.7826,0.0
R,S-RTH,LEGA,1,120,0.7419,0.6858,0.7933,0.0
R,S-RTH,LEGA,15,2,1.0041,0.9648,1.0394,0.615
R,S-RTH,LEGA,15,5,1.0016,0.9301,1.0717,0.542
R,S-RTH,LEGA,15,15,1.0072,0.8713,1.1535,0.505
R,S-RTH,LEGA,15,30,,,,
R,S-RTH,LEGA,15,60,,,,
R,S-RTH,LEGA,15,120,,,,
R,S-RTH,LEGB,1,2,0.8472,0.8378,0.8558,0.0
R,S-RTH,LEGB,1,5,0.7265,0.713,0.7382,0.0
R,S-RTH,LEGB,1,15,0.6677,0.6516,0.6837,0.0
R,S-RTH,LEGB,1,30,0.674,0.651,0.6977,0.0
R,S-RTH,LEGB,1,60,0.6646,0.6355,0.6954,0.0
R,S-RTH,LEGB,1,120,0.6615,0.6221,0.7001,0.0
R,S-RTH,LEGB,15,2,1.0093,0.9853,1.0318,0.755
R,S-RTH,LEGB,15,5,0.9986,0.954,1.0385,0.465
R,S-RTH,LEGB,15,15,1.1752,1.0755,1.272,1.0
R,S-RTH,LEGB,15,30,,,,
R,S-RTH,LEGB,15,60,,,,
R,S-RTH,LEGB,15,120,,,,
S,S-SETTLE,LEGA,1,2,0.9001,0.8844,0.9158,0.0
S,S-SETTLE,LEGA,1,5,0.7897,0.7686,0.8091,0.0
S,S-SETTLE,LEGA,1,15,0.7526,0.7257,0.7769,0.0
S,S-SETTLE,LEGA,1,30,0.7236,0.6841,0.7615,0.0
S,S-SETTLE,LEGA,1,60,0.7077,0.6623,0.7578,0.0
S,S-SETTLE,LEGA,1,120,0.7367,0.6598,0.8188,0.0
S,S-SETTLE,LEGA,15,2,0.9615,0.9179,1.0049,0.048
S,S-SETTLE,LEGA,15,5,0.9951,0.9163,1.0766,0.48
S,S-SETTLE,LEGA,15,15,0.9506,0.8223,1.0814,0.198
S,S-SETTLE,LEGA,15,30,,,,
S,S-SETTLE,LEGA,15,60,,,,
S,S-SETTLE,LEGA,15,120,,,,
S,S-SETTLE,LEGB,1,2,0.8531,0.8439,0.8617,0.0
S,S-SETTLE,LEGB,1,5,0.7381,0.7244,0.7508,0.0
S,S-SETTLE,LEGB,1,15,0.6788,0.6605,0.6954,0.0
S,S-SETTLE,LEGB,1,30,0.6733,0.6487,0.6986,0.0
S,S-SETTLE,LEGB,1,60,0.6639,0.6311,0.696,0.0
S,S-SETTLE,LEGB,1,120,0.7276,0.6751,0.7773,0.0
S,S-SETTLE,LEGB,15,2,0.992,0.9647,1.0181,0.255
S,S-SETTLE,LEGB,15,5,1.01,0.9601,1.0549,0.635
S,S-SETTLE,LEGB,15,15,1.1009,1.004,1.192,0.98
S,S-SETTLE,LEGB,15,30,,,,
S,S-SETTLE,LEGB,15,60,,,,
S,S-SETTLE,LEGB,15,120,,,,
R,S-RTH,RES1,1,2,0.6648,0.653,0.678,0.0
R,S-RTH,RES1,1,5,0.4465,0.4286,0.4642,0.0
R,S-RTH,RES1,1,15,0.3531,0.3287,0.3789,0.0
R,S-RTH,RES1,1,30,0.3374,0.3079,0.3688,0.0
R,S-RTH,RES1,1,60,0.3123,0.2832,0.3392,0.0
R,S-RTH,RES1,1,120,0.3195,0.285,0.3617,0.0
R,S-RTH,RES1,5,2,0.8326,0.8148,0.8516,0.0
R,S-RTH,RES1,5,5,0.7368,0.6948,0.7751,0.0
R,S-RTH,RES1,5,15,0.6888,0.6282,0.7421,0.0
R,S-RTH,RES1,5,30,0.7376,0.6532,0.8458,0.0
R,S-RTH,RES1,5,60,0.7243,0.6461,0.8252,0.0
R,S-RTH,RES1,5,120,,,,
R,S-RTH,RES1,15,2,0.9554,0.9198,0.9936,0.013
R,S-RTH,RES1,15,5,0.8709,0.8029,0.9351,0.0
R,S-RTH,RES1,15,15,0.8989,0.7958,1.0286,0.07
R,S-RTH,RES1,15,30,,,,
R,S-RTH,RES1,15,60,,,,
R,S-RTH,RES1,15,120,,,,
R,S-RTH,RES2,1,2,0.689,0.6742,0.7034,0.0
R,S-RTH,RES2,1,5,0.4779,0.4588,0.4982,0.0
R,S-RTH,RES2,1,15,0.3974,0.3706,0.4283,0.0
R,S-RTH,RES2,1,30,0.3841,0.3512,0.4193,0.0
R,S-RTH,RES2,1,60,0.3866,0.3451,0.4258,0.0
R,S-RTH,RES2,1,120,0.4081,0.3574,0.4666,0.0
U,S-USED,RES1,1,2,0.6541,0.6424,0.6668,0.0
U,S-USED,RES1,1,5,0.4302,0.4117,0.4486,0.0
U,S-USED,RES1,1,15,0.3345,0.3079,0.3638,0.0
U,S-USED,RES1,1,30,0.322,0.2894,0.355,0.0
U,S-USED,RES1,1,60,0.294,0.2667,0.3295,0.0
U,S-USED,RES1,1,120,0.2885,0.2534,0.3306,0.0
U,S-USED,RES1,5,2,0.8189,0.7986,0.8431,0.0
U,S-USED,RES1,5,5,0.7124,0.6713,0.7531,0.0
U,S-USED,RES1,5,15,0.7033,0.6269,0.799,0.0
U,S-USED,RES1,5,30,0.7952,0.7012,0.9181,0.0
U,S-USED,RES1,5,60,0.7621,0.6619,0.8733,0.0
U,S-USED,RES1,5,120,,,,
U,S-USED,RES1,15,2,0.9625,0.9236,1.0068,0.04
U,S-USED,RES1,15,5,0.9044,0.8239,1.0169,0.043
U,S-USED,RES1,15,15,0.9744,0.8517,1.1048,0.32
U,S-USED,RES1,15,30,,,,
U,S-USED,RES1,15,60,,,,
U,S-USED,RES1,15,120,,,,
U,S-USED,RES2,1,2,0.6709,0.6568,0.6867,0.0
U,S-USED,RES2,1,5,0.4484,0.4287,0.4692,0.0
U,S-USED,RES2,1,15,0.3633,0.3346,0.3951,0.0
U,S-USED,RES2,1,30,0.3552,0.3239,0.3907,0.0
U,S-USED,RES2,1,60,0.354,0.3178,0.393,0.0
U,S-USED,RES2,1,120,0.376,0.3283,0.4323,0.0
U,S-USED,LEGA,1,2,0.8725,0.8537,0.8901,0.0
U,S-USED,LEGA,1,5,0.7492,0.7213,0.7743,0.0
U,S-USED,LEGA,1,15,0.7127,0.6779,0.7457,0.0
U,S-USED,LEGA,1,30,0.718,0.6816,0.7539,0.0
U,S-USED,LEGA,1,60,0.6849,0.6349,0.7269,0.0
U,S-USED,LEGA,1,120,0.6662,0.6172,0.7189,0.0
U,S-USED,LEGA,15,2,1.0075,0.9715,1.0427,0.682
U,S-USED,LEGA,15,5,0.9368,0.8711,1.003,0.035
U,S-USED,LEGA,15,15,1.0488,0.9241,1.1573,0.777
U,S-USED,LEGA,15,30,,,,
U,S-USED,LEGA,15,60,,,,
