window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
C,S-CASH,S1,1.5,5,0.01,0.004,0.54,0.456,29330.0
C,S-CASH,S1,1.5,15,0.005,0.008,0.6,0.475,28422.0
C,S-CASH,S1,1.5,30,-0.008,-0.01,-0.46,0.478,27295.0
C,S-CASH,S1,1.5,60,-0.037,-0.02,-0.65,0.478,25282.0
C,S-CASH,S1,1.5,120,-0.078,-0.02,-0.5,0.475,21481.0
C,S-CASH,S1,2.0,5,0.006,0.016,1.97,0.455,18131.0
C,S-CASH,S1,2.0,15,0.01,0.033,2.22,0.483,17662.0
C,S-CASH,S1,2.0,30,-0.018,0.029,1.33,0.482,17147.0
C,S-CASH,S1,2.0,60,-0.023,0.087,2.64,0.484,16334.0
C,S-CASH,S1,2.0,120,-0.048,0.177,3.98,0.478,14617.0
C,S-CASH,S1,2.5,5,0.003,0.036,3.22,0.462,9430.0
C,S-CASH,S1,2.5,15,-0.011,0.071,3.32,0.476,9261.0
C,S-CASH,S1,2.5,30,-0.025,0.102,3.57,0.479,9089.0
C,S-CASH,S1,2.5,60,-0.046,0.183,4.58,0.472,8783.0
C,S-CASH,S1,2.5,120,-0.112,0.212,4.0,0.47,8176.0
C,S-CASH,S1,3.0,5,0.007,0.061,3.91,0.475,4573.0
C,S-CASH,S1,3.0,15,-0.006,0.144,4.37,0.466,4520.0
C,S-CASH,S1,3.0,30,-0.033,0.177,4.38,0.474,4453.0
C,S-CASH,S1,3.0,60,-0.066,0.232,4.33,0.471,4317.0
C,S-CASH,S1,3.0,120,-0.149,0.186,2.66,0.464,4104.0
C,S-CASH,S2,1.5,5,0.004,-0.005,-0.66,0.456,30477.0
C,S-CASH,S2,1.5,15,-0.002,-0.018,-0.85,0.479,29566.0
C,S-CASH,S2,1.5,30,-0.018,-0.019,-0.71,0.48,28469.0
C,S-CASH,S2,1.5,60,-0.04,-0.026,-0.67,0.481,26414.0
C,S-CASH,S2,1.5,120,-0.061,-0.005,-0.11,0.486,22523.0
C,S-CASH,S2,2.0,5,0.007,0.012,1.13,0.462,18358.0
C,S-CASH,S2,2.0,15,0.011,0.024,0.97,0.488,17923.0
C,S-CASH,S2,2.0,30,0.01,0.052,1.65,0.494,17391.0
C,S-CASH,S2,2.0,60,0.009,0.12,2.79,0.497,16459.0
C,S-CASH,S2,2.0,120,0.011,0.209,3.84,0.504,14626.0
C,S-CASH,S2,2.5,5,-0.001,0.017,1.12,0.462,9271.0
C,S-CASH,S2,2.5,15,0.009,0.045,1.42,0.486,9098.0
C,S-CASH,S2,2.5,30,0.008,0.105,2.8,0.486,8884.0
C,S-CASH,S2,2.5,60,-0.01,0.181,3.84,0.494,8560.0
C,S-CASH,S2,2.5,120,-0.01,0.252,3.94,0.499,7925.0
C,S-CASH,S2,3.0,5,-0.002,0.026,1.3,0.469,4457.0
C,S-CASH,S2,3.0,15,-0.014,0.072,1.68,0.481,4413.0
C,S-CASH,S2,3.0,30,-0.022,0.129,2.53,0.493,4356.0
C,S-CASH,S2,3.0,60,-0.016,0.222,3.5,0.496,4215.0
C,S-CASH,S2,3.0,120,-0.042,0.27,3.29,0.49,3979.0
C,S-CASH,S3,1.5,5,0.009,0.02,2.04,0.453,23651.0
C,S-CASH,S3,1.5,15,0.011,0.02,1.02,0.478,22993.0
C,S-CASH,S3,1.5,30,0.009,0.05,1.67,0.49,22191.0
C,S-CASH,S3,1.5,60,0.001,0.085,1.94,0.493,20835.0
C,S-CASH,S3,1.5,120,-0.002,0.137,2.08,0.49,17946.0
C,S-CASH,S3,2.0,5,0.016,0.03,2.37,0.464,15266.0
C,S-CASH,S3,2.0,15,0.034,0.081,3.12,0.497,14993.0
C,S-CASH,S3,2.0,30,0.033,0.129,3.65,0.495,14703.0
