sym,date,old,new,dte,gp,ar,vs,on_med,leak_ratio,splice,elevated,refetch_ar,final
M2K,2019-06-21,M2KM19,M2KU19,0,0.1957,-0.1083,0.905,0.0106,-0.553,clean,True,0.1957,data_side_leak
M2K,2019-09-20,M2KU19,M2KZ19,0,0.1599,0.0958,0.89,0.0106,0.599,partial,False,-0.0096,streaming_only_artifact
M2K,2019-12-20,M2KZ19,M2KH20,0,0.2457,0.2157,0.9,0.0106,0.878,leaked,True,0.2457,data_side_leak
M2K,2020-03-20,M2KH20,M2KM20,0,-1.0045,-0.4928,0.932,0.0106,0.491,partial,True,-1.0805,data_side_leak
M2K,2020-06-19,M2KM20,M2KU20,0,-0.2384,-0.2384,0.864,0.0106,1.0,leaked,True,-0.2489,data_side_leak
M2K,2020-09-18,M2KU20,M2KZ20,0,-0.3441,0.0065,0.925,0.0106,-0.019,clean,False,0.0065,clean
M2K,2020-12-18,M2KZ20,M2KH21,0,-0.162,-0.1519,0.874,0.0106,0.938,leaked,True,-0.1519,data_side_leak
M2K,2021-03-19,M2KH21,M2KM21,0,-0.1301,-0.1015,0.908,0.0106,0.78,leaked,False,-0.1213,data_side_leak
M2K,2021-06-18,M2KM21,M2KU21,0,-0.1789,-0.2311,0.89,0.0106,1.292,leaked,True,-0.1876,data_side_leak
M2K,2021-09-17,M2KU21,M2KZ21,0,-0.2397,-0.2285,0.804,0.0106,0.953,leaked,True,-0.2419,data_side_leak
M2K,2021-12-17,M2KZ21,M2KH22,0,-0.156,0.0093,0.831,0.0106,-0.06,clean,False,-0.1304,data_side_leak
M2K,2022-03-18,M2KH22,M2KM22,0,-0.229,-0.1317,0.825,0.0106,0.575,partial,True,-0.2144,data_side_leak
M2K,2022-06-17,M2KM22,M2KU22,0,-0.0542,0.0361,0.824,0.0106,,clean,False,0.0451,clean
M2K,2022-09-16,M2KU22,M2KZ22,0,0.3749,0.3915,0.708,0.0106,1.044,leaked,True,0.3749,data_side_leak
M2K,2022-12-16,M2KZ22,M2KH23,0,0.7217,0.6933,0.796,0.0106,0.961,leaked,True,0.7046,data_side_leak
M2K,2023-03-17,M2KH23,M2KM23,0,0.8766,-0.017,0.88,0.0106,-0.019,clean,False,-0.017,clean
M2K,2023-06-16,M2KM23,M2KU23,0,0.9485,0.0689,0.915,0.0106,0.073,clean,False,0.0186,clean
M2K,2023-09-15,M2KU23,M2KZ23,0,0.9956,1.0037,0.8,0.0106,1.008,leaked,True,1.0037,data_side_leak
M2K,2023-12-15,M2KZ23,M2KH24,0,1.0778,-0.0249,0.917,0.0106,-0.023,clean,False,0.0125,clean
M2K,2024-03-15,M2KH24,M2KM24,0,1.1787,0.0147,0.877,0.0106,0.012,clean,False,0.0098,clean
M2K,2024-06-21,M2KM24,M2KU24,0,1.1391,1.1592,0.855,0.0106,1.018,leaked,True,1.1592,data_side_leak
M2K,2024-09-20,M2KU24,M2KZ24,0,0.979,0.9454,0.856,0.0106,0.966,leaked,True,0.9902,data_side_leak
M2K,2024-12-20,M2KZ24,M2KH25,0,1.0419,1.1107,0.829,0.0106,1.066,leaked,True,1.0419,data_side_leak
M2K,2025-03-21,M2KH25,M2KM25,0,0.771,0.7588,0.864,0.0106,0.984,leaked,True,0.7588,data_side_leak
M2K,2025-06-20,M2KM25,M2KU25,0,0.7556,0.0,0.834,0.0106,0.0,clean,False,0.0,clean
M2K,2025-09-19,M2KU25,M2KZ25,0,0.7351,-0.004,0.871,0.0106,-0.005,clean,False,0.0263,clean
M2K,2025-12-19,M2KZ25,M2KH26,0,0.7437,0.7899,0.876,0.0106,1.062,leaked,True,0.7357,data_side_leak
M2K,2026-03-20,M2KH26,M2KM26,0,0.6161,0.6341,0.897,0.0106,1.029,leaked,True,0.6341,data_side_leak
MES,2019-06-21,MESM19,MESU19,0,0.1272,0.0088,0.946,0.0065,0.069,clean,False,0.1272,data_side_leak
MES,2019-09-20,MESU19,MESZ19,0,0.0332,0.0166,0.926,0.0065,,clean,False,0.0332,clean
MES,2019-12-20,MESZ19,MESH20,0,0.0935,0.0312,0.941,0.0065,,clean,False,0.0156,clean
MES,2020-03-18,MESH20,MESM20,2,-0.5277,-0.0414,0.855,0.0065,0.078,clean,False,-0.0414,clean
MES,2020-06-19,MESM20,MESU20,0,-0.345,-0.016,0.867,0.0065,0.046,clean,False,-0.016,clean
MES,2020-09-18,MESU20,MESZ20,0,-0.313,-0.0149,0.903,0.0065,0.048,clean,False,-0.0149,clean
MES,2020-12-18,MESZ20,MESH21,0,-0.2289,-0.2356,0.884,0.0065,1.029,leaked,True,-0.2356,data_side_leak
MES,2021-03-19,MESH21,MESM21,0,-0.2806,0.0319,0.894,0.0065,-0.114,clean,False,0.0319,clean
MES,2021-06-18,MESM21,MESU21,0,-0.2719,0.0177,0.919,0.0065,-0.065,clean,False,0.0177,clean
MES,2021-09-17,MESU21,MESZ21,0,-0.2347,0.0,0.875,0.0065,-0.0,clean,False,0.0,clean
MES,2021-12-17,MESZ21,MESH22,0,-0.2251,0.0322,0.878,0.0065,-0.143,clean,False,0.0161,clean
MES,2022-03-18,MESH22,MESM22,0,-0.1997,0.04,0.843,0.0065,-0.2,clean,False,0.0285,clean
MES,2022-06-17,MESM22,MESU22,0,0.1153,-0.0068,0.819,0.0065,-0.059,clean,False,-0.0068,clean
MES,2022-09-16,MESU22,MESZ22,0,0.4258,-0.0065,0.835,0.0065,-0.015,clean,False,-0.0065,clean
MES,2022-12-16,MESZ22,MESH23,0,0.7707,0.0064,0.82,0.0065,0.008,clean,False,0.0064,clean
MES,2023-03-17,MESH23,MESM23,0,0.8459,0.8395,0.848,0.0065,0.992,leaked,True,0.8459,data_side_leak
MES,2023-06-16,MESM23,MESU23,0,1.0066,-0.0113,0.845,0.0065,-0.011,clean,False,-0.0113,clean
MES,2023-09-15,MESU23,MESZ23,0,1.0796,0.0055,0.824,0.0065,0.005,clean,False,0.0055,clean
MES,2023-12-15,MESZ23,MESH24,0,1.1108,0.0,0.826,0.0065,0.0,clean,False,0.0,clean
MES,2024-03-15,MESH24,MESM24,0,1.2175,0.0,0.829,0.0065,0.0,clean,False,0.0,clean
MES,2024-06-21,MESM24,MESU24,0,1.2183,-0.0046,0.866,0.0065,-0.004,clean,False,-0.0046,clean
MES,2024-09-20,MESU24,MESZ24,0,1.0241,0.0044,0.832,0.0065,0.004,clean,False,0.0044,clean
